fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.8888888888888888,0.8444444444444444,0.7916666666666666,0.9047619047619048,0.7586206896551724
1,821,63,0.8571428571428571,0.7804878048780488,0.7272727272727273,0.8421052631578947,0.6754436176302232
2,842,63,0.8571428571428571,0.8,0.8181818181818182,0.782608695652174,0.6889742183214482
3,863,63,0.9365079365079365,0.8,0.8,0.8,0.7622641509433963
4,884,63,0.9682539682539683,0.8571428571428571,1.0,0.75,0.8396946564885497
5,905,63,0.9206349206349206,0.6666666666666666,1.0,0.5,0.6272189349112426
6,926,63,0.9841269841269841,0.9473684210526315,1.0,0.9,0.9380530973451328
7,947,63,1.0,1.0,1.0,1.0,1.0
8,968,63,0.9682539682539683,0.8,0.8,0.8,0.7827586206896552
9,989,63,0.9206349206349206,0.8387096774193549,0.8125,0.8666666666666667,0.7861507128309573
10,1010,63,0.8888888888888888,0.8571428571428571,0.84,0.875,0.7662957074721781
11,1031,63,0.9365079365079365,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.8446362515413071
12,1052,63,0.9047619047619048,0.75,0.6428571428571429,0.9,0.6931818181818182
13,1073,63,0.9206349206349206,0.782608695652174,0.8181818181818182,0.75,0.7341772151898734
14,1094,63,0.9206349206349206,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.8087431693989071
15,1115,63,0.9523809523809523,0.9032258064516129,1.0,0.8235294117647058,0.8720379146919431
16,1136,63,0.9206349206349206,0.5454545454545454,0.6,0.5,0.5023696682464455
17,1157,63,0.9841269841269841,0.0,0.0,0.0,0.0
18,1178,63,1.0,0.0,0.0,0.0,
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9682539682539683,0.8,0.6666666666666666,1.0,0.7835051546391752
21,1241,63,1.0,1.0,1.0,1.0,1.0
22,1262,63,1.0,1.0,1.0,1.0,1.0
23,1283,63,0.9841269841269841,0.8888888888888888,1.0,0.8,0.8804554079696395
24,1304,63,1.0,1.0,1.0,1.0,1.0
25,1325,63,0.8888888888888888,0.7407407407407407,0.5882352941176471,1.0,0.6759735488611316
26,1346,63,0.9206349206349206,0.8571428571428571,0.75,1.0,0.8037383177570093
27,1367,63,0.9047619047619048,0.8,0.75,0.8571428571428571,0.7378640776699029
28,1388,63,0.9523809523809523,0.9142857142857143,1.0,0.8421052631578947,0.8816530995616781
29,1409,63,0.9047619047619048,0.8333333333333334,1.0,0.7142857142857143,0.7692307692307692
30,1430,63,0.7936507936507936,0.7796610169491526,0.9583333333333334,0.6571428571428571,0.597938144329897
31,1451,63,0.9523809523809523,0.9411764705882353,0.96,0.9230769230769231,0.9012023000522739
32,1472,63,0.9682539682539683,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9301552106430155
33,1493,63,0.9523809523809523,0.8421052631578947,0.8888888888888888,0.8,0.8141592920353982
34,1514,63,0.9841269841269841,0.8888888888888888,1.0,0.8,0.8804554079696395
35,1535,63,0.9682539682539683,0.0,0.0,0.0,0.0
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
38,1598,63,0.9206349206349206,0.6153846153846154,1.0,0.4444444444444444,0.5783132530120483
39,1619,63,0.873015873015873,0.5,0.5714285714285714,0.4444444444444444,0.4285714285714286
40,1640,63,0.873015873015873,0.7333333333333333,0.6111111111111112,0.9166666666666666,0.654320987654321
41,1661,63,0.7777777777777778,0.6818181818181818,0.5172413793103449,1.0,0.5362776025236593
42,1682,63,0.873015873015873,0.8260869565217391,0.7037037037037037,1.0,0.7307692307692308
43,1703,63,0.9682539682539683,0.8888888888888888,0.8,1.0,0.8706365503080082
44,1724,63,1.0,1.0,1.0,1.0,1.0
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.873015873015873,0.0,0.0,0.0,0.0
49,1829,63,0.8571428571428571,0.47058823529411764,1.0,0.3076923076923077,0.4136504653567735
50,1850,63,0.8095238095238095,0.45454545454545453,1.0,0.29411764705882354,0.3782894736842105
51,1871,63,0.873015873015873,0.7142857142857143,1.0,0.5555555555555556,0.641025641025641
52,1892,63,0.7936507936507936,0.7636363636363637,0.6176470588235294,1.0,0.597938144329897
