date,funding_rate_mean,funding_rate_sum,funding_rate_max,funding_rate_min
2019-09-10,0.0001,0.0002,0.0001,0.0001
2019-09-11,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-12,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-13,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-14,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-15,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-16,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-17,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-18,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-19,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-20,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-21,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-22,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-23,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-24,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-25,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-26,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-27,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-28,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-29,0.0001,0.00030000000000000003,0.0001,0.0001
2019-09-30,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-01,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-02,-0.00010819333333333333,-0.00032458,0.0001,-0.00052458
2019-10-03,-9.698666666666668e-05,-0.00029096000000000005,0.0001,-0.0003222
2019-10-04,-3.7333333333332974e-07,-1.1199999999999893e-06,0.0001,-0.00013704
2019-10-05,-0.0001652466666666667,-0.00049574,-1.226e-05,-0.00025688
2019-10-06,-3.995333333333333e-05,-0.00011986,2.715e-05,-0.00011057
2019-10-07,-0.00016642666666666665,-0.00049928,-5.063e-05,-0.00024859
2019-10-08,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-09,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-10,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-11,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-12,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-13,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-14,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-15,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-16,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-17,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-18,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-19,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-20,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-21,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-22,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-23,0.0001,0.00030000000000000003,0.0001,0.0001
2019-10-24,5.201666666666667e-05,0.00015605000000000003,0.0001,-4.395e-05
2019-10-25,1.763666666666667e-05,5.291000000000001e-05,0.0001,-0.00014709
2019-10-26,0.00018194333333333332,0.00054583,0.00030874,0.0001
2019-10-27,0.00012853666666666667,0.00038561,0.00018561,0.0001
2019-10-28,0.0005485300000000001,0.0016455900000000002,0.00078363,0.00012485
2019-10-29,0.00039043333333333335,0.0011713000000000001,0.00053797,0.00016366
2019-10-30,0.0003554533333333333,0.00106636,0.00052312,0.00025294
2019-10-31,0.00030943,0.00092829,0.00041061,0.0001317
2019-11-01,0.00024867,0.00074601,0.00048728,0.0001
2019-11-02,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-03,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-04,0.00010023999999999999,0.00030072,0.00010072,0.0001
2019-11-05,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-06,0.00011292333333333334,0.00033877,0.00013877,0.0001
2019-11-07,0.00021519666666666663,0.0006455899999999999,0.00027025,0.00018004
2019-11-08,0.00010833333333333333,0.000325,0.000125,0.0001
2019-11-09,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-10,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-11,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-12,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-13,-6.9633333333333325e-06,-2.0889999999999998e-05,0.0001,-0.00022089
2019-11-14,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-15,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-16,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-17,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-18,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-19,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-20,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-21,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-22,-3.0629999999999996e-05,-9.188999999999999e-05,9.601e-05,-0.00025622
2019-11-23,-0.00020002666666666668,-0.00060008,-0.0001429,-0.0002867
2019-11-24,3.2613333333333335e-05,9.784000000000001e-05,0.0001,-0.00010216
2019-11-25,-1.3783333333333334e-05,-4.135e-05,0.0001,-0.00011089
2019-11-26,-0.00030499333333333336,-0.00091498,-8.462e-05,-0.00046229
2019-11-27,-7.947333333333332e-05,-0.00023841999999999998,0.0001,-0.00018098
2019-11-28,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-29,0.0001,0.00030000000000000003,0.0001,0.0001
2019-11-30,6.024666666666667e-05,0.00018074,0.0001,-1.926e-05
2019-12-01,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-02,7.240333333333334e-05,0.00021721000000000002,0.0001,1.721e-05
2019-12-03,3.098333333333333e-05,9.295e-05,8.902e-05,-1.025e-05
2019-12-04,-7.633333333333332e-06,-2.2899999999999994e-05,3.333e-05,-5.268e-05
2019-12-05,-1.804e-05,-5.412e-05,2.564e-05,-9.765e-05
2019-12-06,6.715333333333333e-05,0.00020145999999999999,7.761e-05,5.834e-05
2019-12-07,7.936333333333334e-05,0.00023809000000000002,0.0001,3.809e-05
2019-12-08,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-09,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-10,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-11,2.79e-05,8.37e-05,0.0001,-5.692e-05
2019-12-12,-1.8933333333333334e-05,-5.68e-05,3.16e-05,-8.52e-05
2019-12-13,-9.443333333333333e-05,-0.0002833,-7.162e-05,-0.00011387
2019-12-14,2.298e-05,6.894e-05,0.0001,-5.358e-05
2019-12-15,2.8063333333333336e-05,8.419e-05,7.982e-05,-1.788e-05
2019-12-16,-9.299666666666667e-05,-0.00027899,-3.652e-05,-0.00013465
2019-12-17,-6.547e-05,-0.00019641,-1.606e-05,-0.00013429
2019-12-18,-0.00017045000000000002,-0.00051135,-0.00013767,-0.00022278
2019-12-19,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-20,2.2023333333333333e-05,6.607e-05,3.19e-05,1.034e-05
2019-12-21,6.587666666666667e-05,0.00019763000000000002,0.0001,-2.37e-06
2019-12-22,7.19e-05,0.0002157,0.0001,1.57e-05
2019-12-23,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-24,0.0001,0.00030000000000000003,0.0001,0.0001
2019-12-25,8.702333333333334e-05,0.00026107,0.0001,6.107e-05
2019-12-26,5.715333333333334e-05,0.00017146000000000002,0.0001,-2.854e-05
