date,long_account,short_account,long_short_ratio
2026-02-09,0.6648,0.3352,1.9833
2026-02-10,0.6622,0.3378,1.9603
2026-02-11,0.6933,0.3067,2.2605
2026-02-12,0.6957,0.3043,2.2862
2026-02-13,0.7305,0.2695,2.7106
2026-02-14,0.6459,0.3541,1.8241
2026-02-15,0.6643,0.3357,1.9789
2026-02-16,0.6918,0.3082,2.2446
2026-02-17,0.7033,0.2967,2.3704
2026-02-18,0.7188,0.2812,2.5562
2026-02-19,0.7536,0.2464,3.0584
2026-02-20,0.7165,0.2835,2.5273
2026-02-21,0.6962,0.3038,2.2916
2026-02-22,0.669,0.331,2.0211
2026-02-23,0.6952,0.3048,2.2808
2026-02-24,0.7413,0.2587,2.8655
2026-02-25,0.7099,0.2901,2.4471
2026-02-26,0.627,0.373,1.681
2026-02-27,0.6845,0.3155,2.1696
2026-02-28,0.7312,0.2688,2.7202
2026-03-01,0.6791,0.3209,2.1162
2026-03-02,0.6748,0.3252,2.075
2026-03-03,0.5508,0.4492,1.2262
2026-03-04,0.6274,0.3726,1.6838
2026-03-05,0.4749,0.5251,0.9044
2026-03-06,0.5739,0.4261,1.3469
2026-03-07,0.671,0.329,2.0395
2026-03-08,0.6734,0.3266,2.0618
