date,value
2010-07-19,0.0
2010-07-20,0.0
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.0
2010-08-17,0.003604
2010-08-18,0.014107
2010-08-19,0.015838
2010-08-20,0.017697
2010-08-21,0.026703
2010-08-22,0.035479
2010-08-23,0.035828
2010-08-24,0.038177
2010-08-25,0.038857
2010-08-26,0.039247
2010-08-27,0.047835
2010-08-28,0.048632
2010-08-29,0.049578
2010-08-30,0.051764
2010-08-31,0.064176
2010-09-01,0.07125
2010-09-02,0.074909
2010-09-03,0.07882
2010-09-04,0.082295
2010-09-05,0.116607
2010-09-06,0.123104
2010-09-07,0.126267
2010-09-08,0.127162
2010-09-09,0.135994
2010-09-10,0.136206
2010-09-11,0.143288
2010-09-12,0.142871
2010-09-13,0.151799
2010-09-14,0.153597
2010-09-15,0.156735
2010-09-16,0.167944
2010-09-17,0.277419
2010-09-18,0.285539
2010-09-19,0.092626
2010-09-20,0.296792
2010-09-21,0.300025
2010-09-22,0.299062
2010-09-23,0.310246
2010-09-24,0.310599
2010-09-25,0.3131
2010-09-26,0.314269
2010-09-27,0.336976
2010-09-28,0.162059
2010-09-29,0.493966
2010-09-30,0.469761
2010-10-01,0.184265
2010-10-02,0.520849
2010-10-03,0.519617
2010-10-04,0.531591
2010-10-05,0.554265
2010-10-06,0.221513
2010-10-07,0.600972
2010-10-08,0.723587
2010-10-09,0.745411
2010-10-10,0.752859
2010-10-11,0.719186
2010-10-12,0.714474
2010-10-13,0.787028
2010-10-14,0.759756
2010-10-15,0.752776
2010-10-16,0.728656
2010-10-17,0.734318
2010-10-18,0.732728
2010-10-19,0.699947
2010-10-20,0.707487
2010-10-21,0.735993
2010-10-22,0.705536
2010-10-23,0.715007
2010-10-24,0.341512
2010-10-25,0.40417
2010-10-26,0.940732
2010-10-27,1.076482
2010-10-28,0.923887
2010-10-29,0.990985
2010-10-30,1.014214
2010-10-31,0.960246
2010-11-01,0.961979
2010-11-02,0.939971
2010-11-03,0.925625
2010-11-04,0.986813
2010-11-05,1.085202
2010-11-06,1.353047
2010-11-07,0.630365
2010-11-08,0.791487
2010-11-09,0.706512
2010-11-10,0.746109
2010-11-11,0.723852
2010-11-12,0.865534
2010-11-13,0.878517
2010-11-14,0.880277
2010-11-15,0.853936
2010-11-16,0.717367
2010-11-17,0.769583
2010-11-18,0.850883
2010-11-19,0.870792
2010-11-20,0.873503
2010-11-21,0.459658
2010-11-22,0.87204
2010-11-23,0.861759
2010-11-24,0.857787
2010-11-25,0.843073
2010-11-26,0.451224
2010-11-27,0.445522
2010-11-28,0.806175
2010-11-29,0.689099
2010-11-30,0.628016
2010-12-01,0.690618
2010-12-02,0.765382
2010-12-03,0.754112
2010-12-04,0.619429
2010-12-05,0.613972
2010-12-06,0.617656
2010-12-07,0.703876
2010-12-08,0.718765
2010-12-09,0.603302
2010-12-10,0.618252
2010-12-11,0.691261
2010-12-12,0.665801
2010-12-13,0.689064
2010-12-14,0.744895
2010-12-15,0.720302
2010-12-16,0.363402
2010-12-17,0.724567
2010-12-18,0.718533
2010-12-19,0.344304
2010-12-20,0.384008
2010-12-21,0.355612
2010-12-22,0.755397
2010-12-23,0.75353
2010-12-24,0.745909
2010-12-25,0.750472
2010-12-26,0.793135
2010-12-27,0.795148
2010-12-28,0.839773
2010-12-29,0.875382
2010-12-30,0.871157
2010-12-31,0.870908
2011-01-01,0.413438
2011-01-02,0.41431
2011-01-03,0.407045
2011-01-04,0.411713
2011-01-05,0.41117
2011-01-06,0.40983
2011-01-07,0.439404
2011-01-08,0.443483
2011-01-09,0.442974
2011-01-10,0.446923
2011-01-11,0.457241
2011-01-12,0.445941
2011-01-13,0.443859
2011-01-14,0.555649
2011-01-15,0.534414
2011-01-16,0.534589
2011-01-17,0.481671
2011-01-18,0.432072
2011-01-19,0.435211
2011-01-20,0.539682
2011-01-21,0.578064
2011-01-22,0.602017
2011-01-23,0.600636
2011-01-24,0.568253
2011-01-25,0.553693
2011-01-26,0.485172
2011-01-27,0.555368
2011-01-28,0.585473
2011-01-29,0.577404
2011-01-30,0.625034
2011-01-31,0.676609
2011-02-01,0.87884
2011-02-02,0.872703
2011-02-03,0.829996
2011-02-04,0.957154
2011-02-05,1.037722
2011-02-06,1.013353
2011-02-07,0.968363
2011-02-08,0.99277
2011-02-09,1.06524
2011-02-10,1.013736
2011-02-11,1.071192
2011-02-12,1.087874
2011-02-13,1.050092
2011-02-14,1.057652
2011-02-15,1.035037
2011-02-16,1.014736
2011-02-17,1.018632
2011-02-18,0.87843
2011-02-19,0.920518
2011-02-20,0.839466
2011-02-21,0.811356
2011-02-22,0.849251
2011-02-23,0.871563
2011-02-24,0.952659
2011-02-25,0.882054
2011-02-26,0.91992
2011-02-27,0.852571
2011-02-28,0.813267
2011-03-01,0.786279
2011-03-02,0.798139
2011-03-03,0.794997
2011-03-04,0.762816
2011-03-05,0.767743
2011-03-06,0.74884
2011-03-07,0.744056
2011-03-08,0.733326
2011-03-09,0.72789
2011-03-10,0.775952
2011-03-11,0.741675
2011-03-12,0.767734
2011-03-13,0.7436
2011-03-14,0.74281
2011-03-15,0.723288
2011-03-16,0.707919
2011-03-17,0.685131
2011-03-18,0.665864
2011-03-19,0.634546
2011-03-20,0.614845
2011-03-21,0.629746
2011-03-22,0.669164
2011-03-23,0.70371
2011-03-24,0.719396
2011-03-25,0.727553
2011-03-26,0.702318
2011-03-27,0.676141
2011-03-28,0.65415
2011-03-29,0.652247
2011-03-30,0.649946
2011-03-31,0.64609
2011-04-01,0.637388
2011-04-02,0.644421
2011-04-03,0.641193
2011-04-04,0.560492
2011-04-05,0.592676
2011-04-06,0.613451
2011-04-07,0.624765
2011-04-08,0.622164
2011-04-09,0.608564
2011-04-10,0.608038
2011-04-11,0.638311
2011-04-12,0.712914
2011-04-13,0.767999
2011-04-14,0.816847
2011-04-15,0.799098
2011-04-16,0.847958
2011-04-17,0.880028
2011-04-18,0.910005
2011-04-19,0.923157
2011-04-20,0.888976
2011-04-21,0.93182
2011-04-22,1.060849
2011-04-23,1.314303
2011-04-24,1.15861
2011-04-25,1.109422
2011-04-26,1.237584
2011-04-27,1.314966
2011-04-28,1.531078
2011-04-29,1.409591
2011-04-30,1.494951
2011-05-01,1.299953
2011-05-02,1.334896
2011-05-03,1.363362
2011-05-04,1.29162
2011-05-05,1.254845
2011-05-06,1.248861
2011-05-07,1.304306
