date,value
2012-01-01,2744602.17
2012-01-02,1299819.83
2012-01-03,776926.37
2012-01-04,701379.49
2012-01-05,1578864.17
2012-01-06,1008612.4
2012-01-07,812679.65
2012-01-08,1018499.02
2012-01-09,1126917.57
2012-01-10,1633134.3
2012-01-11,542831.41
2012-01-12,3908731.91
2012-01-13,985353.7
2012-01-14,736174.22
2012-01-15,878993.17
2012-01-16,757380.98
2012-01-17,1351364.92
2012-01-18,875687.41
2012-01-19,1152399.04
2012-01-20,613448.64
2012-01-21,425024.96
2012-01-22,371813.24
2012-01-23,433097.39
2012-01-24,633984.52
2012-01-25,777940.05
2012-01-26,1309593.43
2012-01-27,661375.63
2012-01-28,794629.59
2012-01-29,636227.79
2012-01-30,490384.37
2012-01-31,704677.04
2012-02-01,841776.81
2012-02-02,646337.31
2012-02-03,518683.15
2012-02-04,766264.73
2012-02-05,441329.22
2012-02-06,728300.42
2012-02-07,659499.53
2012-02-08,477105.9
2012-02-09,307929.86
2012-02-10,885648.59
2012-02-11,5320220.3
2012-02-12,560819.71
2012-02-13,4955665.79
2012-02-14,7349963.23
2012-02-15,692541.34
2012-02-16,1016852.43
2012-02-17,464571.59
2012-02-18,1044162.51
2012-02-19,382119.33
2012-02-20,518466.06
2012-02-21,489298.58
2012-02-22,703321.62
2012-02-23,682819.59
2012-02-24,1254388.08
2012-02-25,590764.2
2012-02-26,428273.64
2012-02-27,542947.3
2012-02-28,640771.47
2012-02-29,2511664.27
2012-03-01,922748.28
2012-03-02,951395.26
2012-03-03,1191016.79
2012-03-04,818007.3
2012-03-05,573929.35
2012-03-06,523136.67
2012-03-07,532672.67
2012-03-08,754205.8
2012-03-09,557932.23
2012-03-10,760017.3
2012-03-11,575855.72
2012-03-12,491528.37
2012-03-13,846092.91
2012-03-14,1091891.66
2012-03-15,562019.84
2012-03-16,1781095.08
2012-03-17,613966.71
2012-03-18,1721685.2
2012-03-19,767346.59
2012-03-20,846687.72
2012-03-21,1249115.61
2012-03-22,640158.01
2012-03-23,1783657.66
2012-03-24,739488.23
2012-03-25,601557.15
2012-03-26,591686.95
2012-03-27,742821.42
2012-03-28,650103.16
2012-03-29,702285.45
2012-03-30,6503410.18
2012-03-31,469966.02
2012-04-01,445211.4
2012-04-02,613161.12
2012-04-03,2020275.51
2012-04-04,1391645.47
2012-04-05,908502.79
2012-04-06,1459244.36
2012-04-07,688362.15
2012-04-08,361522.03
2012-04-09,2194193.87
2012-04-10,644347.32
2012-04-11,2396840.35
2012-04-12,2278585.79
2012-04-13,1027803.91
2012-04-14,628897.91
2012-04-15,1213442.96
2012-04-16,1362349.6
2012-04-17,742777.77
2012-04-18,1036775.75
2012-04-19,849571.3
2012-04-20,1170688.4
2012-04-21,683025.43
2012-04-22,1196712.46
2012-04-23,863614.85
2012-04-24,1022254.09
2012-04-25,8649136.88
2012-04-26,1079065.85
2012-04-27,495864.46
2012-04-28,532914.99
2012-04-29,411584.65
2012-04-30,1877553.14
2012-05-01,1072603.06
2012-05-02,657518.98
2012-05-03,742547.21
2012-05-04,1104872.13
2012-05-05,512013.18
2012-05-06,3009748.13
2012-05-07,701481.39
2012-05-08,942535.96
2012-05-09,1062673.03
2012-05-10,1157443.39
2012-05-11,1072874.45
2012-05-12,6762782.99
2012-05-13,1310550.48
2012-05-14,2959603.09
2012-05-15,1331702.52
2012-05-16,1338569.74
2012-05-17,2322083.15
2012-05-18,1197091.61
2012-05-19,1526979.94
2012-05-20,1731116.32
2012-05-21,1613583.25
2012-05-22,2014816.89
2012-05-23,1149743.17
2012-05-24,1288950.05
2012-05-25,620465.14
2012-05-26,1361337.74
2012-05-27,1003097.26
2012-05-28,912123.38
2012-05-29,890442.92
2012-05-30,705985.43
2012-05-31,6340652.83
2012-06-01,875622.39
2012-06-02,661557.07
2012-06-03,841207.64
2012-06-04,2286744.39
2012-06-05,946477.13
2012-06-06,1344887.56
2012-06-07,809352.47
2012-06-08,858752.43
2012-06-09,555804.72
2012-06-10,421224.91
2012-06-11,976186.73
2012-06-12,1583285.27
2012-06-13,733501.28
2012-06-14,925154.63
2012-06-15,875535.44
2012-06-16,959065.68
2012-06-17,1107587.98
2012-06-18,951792.13
2012-06-19,1212174.46
2012-06-20,2990336.88
