date,value
2013-01-01,0.7816
2013-01-02,0.783
2013-01-03,0.7838
2013-01-04,0.7833
2013-01-05,0.7838
2013-01-06,0.7844
2013-01-07,0.7878
2013-01-08,0.7882
2013-01-09,0.7917
2013-01-10,0.7929
2013-01-11,0.7925
2013-01-12,0.7916
2013-01-13,0.7938
2013-01-14,0.7934
2013-01-15,0.7987
2013-01-16,0.8101
2013-01-17,0.8111
2013-01-18,0.8087
2013-01-19,0.8092
2013-01-20,0.8211
2013-01-21,0.8266
2013-01-22,0.8287
2013-01-23,0.8221
2013-01-24,0.8271
2013-01-25,0.8287
2013-01-26,0.8318
2013-01-27,0.8397
2013-01-28,0.8458
2013-01-29,0.8477
2013-01-30,0.8537
2013-01-31,0.8537
2013-02-01,0.8474
2013-02-02,0.8545
2013-02-03,0.8534
2013-02-04,0.8548
2013-02-05,0.8584
2013-02-06,0.8641
2013-02-07,0.868
2013-02-08,0.8732
2013-02-09,0.8739
2013-02-10,0.8769
2013-02-11,0.8791
2013-02-12,0.8773
2013-02-13,0.8891
2013-02-14,0.8883
2013-02-15,0.8888
2013-02-16,0.8863
2013-02-17,0.8863
2013-02-18,0.8949
2013-02-19,0.8953
2013-02-20,0.895
2013-02-21,0.8971
2013-02-22,0.8944
2013-02-23,0.8942
2013-02-24,0.8958
2013-02-25,0.8979
2013-02-26,0.8978
2013-02-27,0.904
2013-02-28,0.907
2013-03-01,0.9051
2013-03-02,0.9056
2013-03-03,0.9101
2013-03-04,0.9194
2013-03-05,0.924
2013-03-06,0.9211
2013-03-07,0.9245
2013-03-08,0.9291
2013-03-09,0.9276
2013-03-10,0.9309
2013-03-11,0.9249
2013-03-12,0.9291
2013-03-13,0.9286
2013-03-14,0.9286
2013-03-15,0.9287
2013-03-16,0.9289
2013-03-17,0.9343
2013-03-18,0.9432
2013-03-19,0.9467
2013-03-20,0.952
2013-03-21,0.9513
2013-03-22,0.9472
2013-03-23,0.9525
2013-03-24,0.9544
2013-03-25,0.9569
2013-03-26,0.9619
2013-03-27,0.9614
2013-03-28,0.9625
2013-03-29,0.9635
