date,value
2012-01-01,1.075975706
2012-01-02,1.0590509002
2012-01-03,0.9904601315
2012-01-04,1.1314905136
2012-01-05,1.3748894307
2012-01-06,1.3293350349
2012-01-07,1.3476613601
2012-01-08,1.4014316835
2012-01-09,1.238145945
2012-01-10,1.2848515466
2012-01-11,1.3515510012
2012-01-12,1.3221102938
2012-01-13,1.2582991298
2012-01-14,1.3150849785
2012-01-15,1.3680238934
2012-01-16,1.3021182523
2012-01-17,1.0881765273
2012-01-18,1.1471983582
2012-01-19,1.223921146
2012-01-20,1.2587454672
2012-01-21,1.1964133264
2012-01-22,1.219505744
2012-01-23,1.2324280314
2012-01-24,1.2123855558
2012-01-25,1.1236556826
2012-01-26,1.0410799931
2012-01-27,1.0303591645
2012-01-28,1.0997613111
2012-01-29,1.0486637803
2012-01-30,1.0709574805
2012-01-31,1.0787535681
2012-02-01,1.1810040055
2012-02-02,1.1846464556
2012-02-03,1.1556551653
2012-02-04,1.1447589893
2012-02-05,1.1029610507
2012-02-06,1.0669218062
2012-02-07,1.1018211165
2012-02-08,1.0935792626
2012-02-09,1.1354600739
2012-02-10,1.1554558428
2012-02-11,1.0902045161
2012-02-12,1.0723673289
2012-02-13,1.0480319728
2012-02-14,0.8861947705
2012-02-15,0.8586487644
2012-02-16,0.8474343791
2012-02-17,0.8755829985
2012-02-18,0.8542781876
2012-02-19,0.8790743462
2012-02-20,0.8749333303
2012-02-21,0.866036197
2012-02-22,0.8878180775
2012-02-23,1.0105329789
2012-02-24,1.0071004339
2012-02-25,0.9563219304
2012-02-26,0.9872010524
2012-02-27,0.9921701988
2012-02-28,0.9728462488
2012-02-29,0.9831277786
2012-03-01,0.9927427626
2012-03-02,0.9519996426
2012-03-03,0.9357078151
2012-03-04,0.9771866047
2012-03-05,1.0067202968
2012-03-06,1.0074287804
2012-03-07,0.9994457567
2012-03-08,0.9967585718
2012-03-09,0.9845807663
2012-03-10,0.9786961872
2012-03-11,0.9895382064
2012-03-12,0.9935359324
2012-03-13,1.0688804545
2012-03-14,1.0872904132
2012-03-15,1.0763009675
2012-03-16,1.0747645608
2012-03-17,1.0540103164
2012-03-18,1.0615846589
2012-03-19,0.9446183915
2012-03-20,0.9758804195
2012-03-21,0.9752532768
2012-03-22,0.9587374547
2012-03-23,0.9511275637
2012-03-24,0.944337184
2012-03-25,0.9251902522
2012-03-26,0.9421052094
2012-03-27,0.9783965957
2012-03-28,0.9741835397
2012-03-29,0.9755122145
2012-03-30,1.0038607817
2012-03-31,1.0095153416
2012-04-01,0.9898373774
2012-04-02,1.0285341271
2012-04-03,1.0261543677
2012-04-04,1.018149625
2012-04-05,1.0185467473
2012-04-06,1.0237179017
2012-04-07,0.9748027206
2012-04-08,0.9891761258
2012-04-09,1.0035295931
2012-04-10,1.0014903354
2012-04-11,1.0163054039
2012-04-12,1.0127983362
2012-04-13,1.0192904159
2012-04-14,1.0234765334
2012-04-15,1.0239875289
2012-04-16,1.0212359116
2012-04-17,1.0247354583
2012-04-18,1.0557390393
2012-04-19,1.0563177736
2012-04-20,1.1025096082
2012-04-21,1.08509422
2012-04-22,1.0664304846
2012-04-23,1.0503574712
2012-04-24,1.0456035092
2012-04-25,1.0527251387
2012-04-26,1.0436274857
2012-04-27,1.0433122631
2012-04-28,1.0180675784
