date,value
2011-01-01,2.3448694053
2011-01-02,2.3226670213
2011-01-03,2.2511830177
2011-01-04,2.2773228445
2011-01-05,2.2603972564
2011-01-06,2.2350331385
2011-01-07,2.4451548725
2011-01-08,2.451604214
2011-01-09,2.430378799
2011-01-10,2.4362976595
2011-01-11,2.394929344
2011-01-12,2.2976471475
2011-01-13,2.2600855951
2011-01-14,3.0374573208
2011-01-15,2.8538517003
2011-01-16,2.8151069394
2011-01-17,2.4243953697
2011-01-18,2.0588215476
2011-01-19,2.0406815534
2011-01-20,2.7449269421
2011-01-21,2.9781458356
2011-01-22,3.1059950173
2011-01-23,3.0609533911
2011-01-24,2.8093113031
2011-01-25,2.6859949573
2011-01-26,2.5551577648
2011-01-27,2.5711434551
2011-01-28,2.730544953
2011-01-29,2.6373793465
2011-01-30,2.9111383087
2011-01-31,3.2228625924
2011-02-01,4.4733146579
2011-02-02,4.3758276927
2011-02-03,3.9843270901
2011-02-04,4.5891064391
2011-02-05,4.9513022563
2011-02-06,4.6095680063
2011-02-07,4.3149286839
2011-02-08,4.2905662544
2011-02-09,4.585189365
2011-02-10,4.1964626889
2011-02-11,4.3655742993
2011-02-12,4.2936452641
2011-02-13,3.9989180103
2011-02-14,3.9227098653
2011-02-15,3.7128518021
2011-02-16,3.5321615005
2011-02-17,3.4732688146
2011-02-18,2.8343268737
2011-02-19,2.9646406567
2011-02-20,2.6059569405
2011-02-21,2.4603008096
2011-02-22,2.5874321303
2011-02-23,2.6409793095
2011-02-24,2.9309159207
2011-02-25,2.6125019859
2011-02-26,2.7260371383
2011-02-27,2.4540948249
2011-02-28,2.2963425716
2011-03-01,2.3792469298
2011-03-02,2.4147526522
2011-03-03,2.3833274645
2011-03-04,2.2254696877
2011-03-05,2.2251546838
2011-03-06,2.1268143086
2011-03-07,2.0866451244
2011-03-08,2.0298393462
2011-03-09,1.9953332552
2011-03-10,2.1827160487
2011-03-11,2.0294547356
2011-03-12,2.1326397701
2011-03-13,2.0300305946
2011-03-14,2.013576482
2011-03-15,1.9268988867
2011-03-16,1.8392481744
2011-03-17,1.743670125
2011-03-18,1.6610085346
2011-03-19,1.5353391708
2011-03-20,1.4554372555
2011-03-21,1.5074001628
2011-03-22,1.6620253416
2011-03-23,1.7846337025
2011-03-24,1.8396364663
2011-03-25,1.8658073089
2011-03-26,1.7596099382
2011-03-27,1.6466134992
2011-03-28,1.5549616201
2011-03-29,1.5436355132
2011-03-30,1.5309436139
2011-03-31,1.5110090817
2011-04-01,1.4740422968
2011-04-02,1.4963951003
2011-04-03,1.4834488119
2011-04-04,1.1642516578
2011-04-05,1.2756501387
2011-04-06,1.3507691901
2011-04-07,1.3918347811
2011-04-08,1.3770672606
2011-04-09,1.3248588457
2011-04-10,1.3206932867
