date,value
2012-05-15,0.5672857143
2012-05-16,0.563
2012-05-17,0.5684285714
2012-05-18,0.5855714286
2012-05-19,0.5881428571
2012-05-20,0.5827142857
2012-05-21,0.5754285714
2012-05-22,0.5831428571
2012-05-23,0.5907142857
2012-05-24,0.5775714286
2012-05-25,0.575
2012-05-26,0.5912857143
2012-05-27,0.6041428571
2012-05-28,0.6135714286
2012-05-29,0.6158571429
2012-05-30,0.6267142857
2012-05-31,0.6507142857
2012-06-01,0.667
2012-06-02,0.6671428571
2012-06-03,0.6811428571
2012-06-04,0.7038571429
2012-06-05,0.7288571429
2012-06-06,0.742
2012-06-07,0.7475714286
2012-06-08,0.7707142857
2012-06-09,0.7931428571
2012-06-10,0.7964285714
2012-06-11,0.818
2012-06-12,0.8342857143
2012-06-13,0.8648571429
2012-06-14,0.9081428571
2012-06-15,0.9245714286
2012-06-16,0.9488571429
2012-06-17,1.0034285714
2012-06-18,1.0201428571
2012-06-19,1.0404285714
2012-06-20,1.0445714286
2012-06-21,1.0334285714
2012-06-22,1.051
2012-06-23,1.0312857143
2012-06-24,1.0202857143
2012-06-25,1.0288571429
2012-06-26,1.0534285714
2012-06-27,1.059
2012-06-28,1.0755714286
2012-06-29,1.0535714286
2012-06-30,1.0765714286
2012-07-01,1.0911428571
2012-07-02,1.109
2012-07-03,1.0984285714
2012-07-04,1.1122857143
2012-07-05,1.1274285714
2012-07-06,1.173
2012-07-07,1.1935714286
2012-07-08,1.2181428571
2012-07-09,1.2298571429
2012-07-10,1.2314285714
2012-07-11,1.2655714286
2012-07-12,1.3055714286
2012-07-13,1.3255714286
2012-07-14,1.3347142857
2012-07-15,1.3615714286
2012-07-16,1.44
2012-07-17,1.521
2012-07-18,1.5361428571
2012-07-19,1.5437142857
2012-07-20,1.5532857143
2012-07-21,1.6004285714
2012-07-22,1.592
2012-07-23,1.575
2012-07-24,1.579
2012-07-25,1.637
2012-07-26,1.6984285714
2012-07-27,1.721
2012-07-28,1.7495714286
2012-07-29,1.8247142857
2012-07-30,1.7991428571
2012-07-31,1.7818571429
2012-08-01,1.8287142857
2012-08-02,1.865
2012-08-03,1.9294285714
2012-08-04,1.939
2012-08-05,1.9244285714
2012-08-06,2.0265714286
2012-08-07,2.1227142857
2012-08-08,2.1452857143
2012-08-09,2.1445714286
2012-08-10,2.1822857143
2012-08-11,2.2391428571
2012-08-12,2.3055714286
2012-08-13,2.3227142857
2012-08-14,2.3822857143
