date,value
2012-01-01,0.003959
2012-01-02,0.003879
2012-01-03,0.003618
2012-01-04,0.004135
2012-01-05,0.005066
2012-01-06,0.004904
2012-01-07,0.004965
2012-01-08,0.005162
2012-01-09,0.004556
2012-01-10,0.004711
2012-01-11,0.004951
2012-01-12,0.004848
2012-01-13,0.004603
2012-01-14,0.004803
2012-01-15,0.004985
2012-01-16,0.004733
2012-01-17,0.003936
2012-01-18,0.004134
2012-01-19,0.004411
2012-01-20,0.004525
2012-01-21,0.004288
2012-01-22,0.004359
2012-01-23,0.004394
2012-01-24,0.004311
2012-01-25,0.003981
2012-01-26,0.003667
2012-01-27,0.003615
2012-01-28,0.003847
2012-01-29,0.003655
2012-01-30,0.003721
2012-01-31,0.003735
2012-02-01,0.004085
2012-02-02,0.004089
2012-02-03,0.003978
2012-02-04,0.003929
2012-02-05,0.003773
2012-02-06,0.003633
2012-02-07,0.003741
2012-02-08,0.003702
2012-02-09,0.003833
2012-02-10,0.003888
2012-02-11,0.003665
2012-02-12,0.003594
2012-02-13,0.003473
2012-02-14,0.002906
2012-02-15,0.002798
2012-02-16,0.002747
2012-02-17,0.002829
2012-02-18,0.002745
2012-02-19,0.002816
2012-02-20,0.002795
2012-02-21,0.002757
2012-02-22,0.002818
2012-02-23,0.003205
2012-02-24,0.003188
2012-02-25,0.003021
2012-02-26,0.003111
2012-02-27,0.003119
2012-02-28,0.003052
2012-02-29,0.003054
2012-03-01,0.003077
2012-03-02,0.002941
2012-03-03,0.00288
2012-03-04,0.003001
2012-03-05,0.003086
2012-03-06,0.003081
2012-03-07,0.00305
2012-03-08,0.003034
2012-03-09,0.002988
2012-03-10,0.002962
2012-03-11,0.002986
2012-03-12,0.00299
2012-03-13,0.003213
2012-03-14,0.003265
2012-03-15,0.003226
2012-03-16,0.003217
2012-03-17,0.003146
2012-03-18,0.003158
2012-03-19,0.002798
2012-03-20,0.002882
2012-03-21,0.002867
2012-03-22,0.002809
2012-03-23,0.002781
2012-03-24,0.002751
2012-03-25,0.002687
2012-03-26,0.002728
2012-03-27,0.002827
2012-03-28,0.002809
2012-03-29,0.002805
2012-03-30,0.002838
2012-03-31,0.002848
2012-04-01,0.002786
2012-04-02,0.002889
2012-04-03,0.002867
2012-04-04,0.002838
2012-04-05,0.002833
2012-04-06,0.002843
2012-04-07,0.0027
2012-04-08,0.002734
2012-04-09,0.00277
2012-04-10,0.002757
2012-04-11,0.002793
2012-04-12,0.002779
2012-04-13,0.002792
2012-04-14,0.002798
2012-04-15,0.002795
2012-04-16,0.002782
2012-04-17,0.002786
2012-04-18,0.002867
2012-04-19,0.002864
2012-04-20,0.002989
2012-04-21,0.002935
2012-04-22,0.00288
2012-04-23,0.002827
2012-04-24,0.002808
2012-04-25,0.002836
2012-04-26,0.002802
2012-04-27,0.002795
2012-04-28,0.002721
2012-04-29,0.002678
2012-04-30,0.002695
2012-05-01,0.002714
2012-05-02,0.002745
2012-05-03,0.002775
2012-05-04,0.002751
2012-05-05,0.00273
2012-05-06,0.00272
2012-05-07,0.002725
2012-05-08,0.002696
2012-05-09,0.0027
2012-05-10,0.002634
2012-05-11,0.002648
2012-05-12,0.002634
2012-05-13,0.002628
2012-05-14,0.002659
2012-05-15,0.002665
2012-05-16,0.002689
2012-05-17,0.002684
2012-05-18,0.002694
2012-05-19,0.002686
2012-05-20,0.002671
2012-05-21,0.002666
2012-05-22,0.002659
2012-05-23,0.002674
2012-05-24,0.002664
2012-05-25,0.002669
2012-05-26,0.002646
2012-05-27,0.002657
2012-05-28,0.002653
2012-05-29,0.002654
2012-05-30,0.002644
2012-05-31,0.002661
2012-06-01,0.0027
2012-06-02,0.002683
2012-06-03,0.002662
2012-06-04,0.002681
2012-06-05,0.00276
2012-06-06,0.002765
2012-06-07,0.002831
2012-06-08,0.002843
2012-06-09,0.002805
2012-06-10,0.002749
2012-06-11,0.002808
2012-06-12,0.002873
2012-06-13,0.002958
2012-06-14,0.002977
2012-06-15,0.003249
2012-06-16,0.003201
2012-06-17,0.003073
2012-06-18,0.00312
2012-06-19,0.003203
2012-06-20,0.003292
2012-06-21,0.003273
2012-06-22,0.003212
2012-06-23,0.003147
2012-06-24,0.003092
2012-06-25,0.003068
2012-06-26,0.003117
2012-06-27,0.003197
2012-06-28,0.003177
2012-06-29,0.003202
2012-06-30,0.003204
2012-07-01,0.00317
2012-07-02,0.003218
2012-07-03,0.00307
2012-07-04,0.003094
2012-07-05,0.003147
2012-07-06,0.003153
2012-07-07,0.003209
2012-07-08,0.003195
2012-07-09,0.003298
2012-07-10,0.003357
2012-07-11,0.003352
2012-07-12,0.003515
2012-07-13,0.00354
2012-07-14,0.003507
2012-07-15,0.003519
2012-07-16,0.003906
2012-07-17,0.004012
2012-07-18,0.004156
2012-07-19,0.004045
2012-07-20,0.003875
2012-07-21,0.004019
2012-07-22,0.003841
2012-07-23,0.003841
2012-07-24,0.003849
2012-07-25,0.003925
2012-07-26,0.003961
2012-07-27,0.003956
2012-07-28,0.003923
2012-07-29,0.00387
2012-07-30,0.004009
2012-07-31,0.004099
2012-08-01,0.004195
2012-08-02,0.00461
2012-08-03,0.004753
2012-08-04,0.004738
2012-08-05,0.004672
2012-08-06,0.004684
2012-08-07,0.004699
2012-08-08,0.004738
2012-08-09,0.004736
2012-08-10,0.004866
2012-08-11,0.004888
2012-08-12,0.004891
2012-08-13,0.005038
2012-08-14,0.005103
2012-08-15,0.005491
2012-08-16,0.005584
2012-08-17,0.004995
2012-08-18,0.004771
2012-08-19,0.003221
2012-08-20,0.004093
2012-08-21,0.004051
2012-08-22,0.003987
2012-08-23,0.004104
2012-08-24,0.004298
2012-08-25,0.004281
2012-08-26,0.004253
2012-08-27,0.004384
2012-08-28,0.004385
2012-08-29,0.004347
2012-08-30,0.00428
2012-08-31,0.004021
2012-09-01,0.003974
2012-09-02,0.004051
2012-09-03,0.004146
2012-09-04,0.004082
2012-09-05,0.00433
2012-09-06,0.004369
2012-09-07,0.004323
2012-09-08,0.004296
2012-09-09,0.004291
2012-09-10,0.004302
2012-09-11,0.004345
2012-09-12,0.00435
2012-09-13,0.004361
2012-09-14,0.004479
2012-09-15,0.00446
2012-09-16,0.004508
2012-09-17,0.004499
2012-09-18,0.004615
2012-09-19,0.00469
2012-09-20,0.004621
2012-09-21,0.004591
2012-09-22,0.00453
2012-09-23,0.004496
2012-09-24,0.004462
2012-09-25,0.004472
2012-09-26,0.004507
2012-09-27,0.004492
2012-09-28,0.004501
2012-09-29,0.004495
2012-09-30,0.004476
2012-10-01,0.004461
2012-10-02,0.004596
2012-10-03,0.004634
2012-10-04,0.004586
2012-10-05,0.004532
2012-10-06,0.00443
2012-10-07,0.004195
2012-10-08,0.004133
2012-10-09,0.004155
2012-10-10,0.004241
2012-10-11,0.004215
2012-10-12,0.004189
2012-10-13,0.004142
2012-10-14,0.004035
2012-10-15,0.004113
2012-10-16,0.004081
2012-10-17,0.004094
2012-10-18,0.004085
2012-10-19,0.004016
2012-10-20,0.003984
2012-10-21,0.00396
2012-10-22,0.003978
2012-10-23,0.003956
2012-10-24,0.00392
2012-10-25,0.003615
2012-10-26,0.003398
2012-10-27,0.0035
2012-10-28,0.003576
2012-10-29,0.003541
2012-10-30,0.003608
2012-10-31,0.003694
2012-11-01,0.003509
2012-11-02,0.003474
2012-11-03,0.003505
2012-11-04,0.003544
2012-11-05,0.003517
2012-11-06,0.00355
2012-11-07,0.003569
2012-11-08,0.003541
2012-11-09,0.003507
2012-11-10,0.003514
2012-11-11,0.003498
2012-11-12,0.00355
2012-11-13,0.003531
2012-11-14,0.00351
2012-11-15,0.00357
2012-11-16,0.003729
2012-11-17,0.003733
2012-11-18,0.003696
2012-11-19,0.003713
2012-11-20,0.003687
2012-11-21,0.003686
2012-11-22,0.003852
2012-11-23,0.003837
2012-11-24,0.003867
2012-11-25,0.003892
2012-11-26,0.003774
2012-11-27,0.003756
2012-11-28,0.003799
2012-11-29,0.003839
2012-11-30,0.003855
2012-12-01,0.003846
