date,value
2012-01-01,1.0570689307
2012-01-02,0.9628753237
2012-01-03,1.0255674462
2012-01-04,1.0660674212
2012-01-05,1.0965199018
2012-01-06,1.0706749763
2012-01-07,1.0515983042
2012-01-08,1.0733894616
2012-01-09,1.0626742455
2012-01-10,0.9975671397
2012-01-11,1.0428942695
2012-01-12,1.0865205877
2012-01-13,1.0333770312
2012-01-14,1.0313773196
2012-01-15,1.0180283772
2012-01-16,1.0258545119
2012-01-17,1.0117092984
2012-01-18,0.9709897911
2012-01-19,1.0403402793
2012-01-20,0.9928512998
2012-01-21,1.0064354121
2012-01-22,1.0010575529
2012-01-23,1.0043352766
2012-01-24,1.0114803609
2012-01-25,0.9914741083
2012-01-26,0.9567461679
2012-01-27,0.9543007668
2012-01-28,0.9854201474
2012-01-29,0.9776818848
2012-01-30,0.9848992688
2012-01-31,0.9727840233
2012-02-01,1.0107549196
2012-02-02,1.0136787851
2012-02-03,1.0042252958
2012-02-04,1.0015221943
2012-02-05,0.9922833618
2012-02-06,0.9641944689
2012-02-07,0.9929826045
2012-02-08,0.9956916174
2012-02-09,0.9993454929
2012-02-10,0.9896018795
2012-02-11,1.0368846967
2012-02-12,0.9987008953
2012-02-13,0.8710621852
2012-02-14,0.9544291634
2012-02-15,0.981090154
2012-02-16,0.9785689987
2012-02-17,0.9839700698
2012-02-18,0.9551907102
2012-02-19,0.9707968774
2012-02-20,0.9818137573
2012-02-21,0.9719559651
2012-02-22,0.9922601553
2012-02-23,1.0116521964
2012-02-24,1.0060098597
2012-02-25,1.0138963304
2012-02-26,1.0018501058
2012-02-27,1.0076163046
2012-02-28,1.0083090472
2012-02-29,0.8359267658
2012-03-01,1.0038271862
2012-03-02,0.9712284017
2012-03-03,0.9924688313
2012-03-04,1.0012088911
2012-03-05,1.0066714362
2012-03-06,1.0060515885
2012-03-07,1.0063990571
2012-03-08,0.9940236417
2012-03-09,0.9985992037
2012-03-10,0.9790408202
2012-03-11,0.9921754907
2012-03-12,0.9961508605
2012-03-13,1.0138095207
2012-03-14,1.0204695733
2012-03-15,1.0151931281
2012-03-16,1.0193658015
2012-03-17,0.9922823354
2012-03-18,0.9991840215
2012-03-19,0.981183196
2012-03-20,0.9815322205
2012-03-21,0.9627207308
2012-03-22,0.9884729529
2012-03-23,1.0002957519
2012-03-24,0.985081889
2012-03-25,0.9764282358
2012-03-26,0.9904026824
2012-03-27,0.9934583626
2012-03-28,1.0011232905
2012-03-29,0.9944715905
2012-03-30,0.8773025972
2012-03-31,1.0015719486
2012-04-01,0.9969784172
2012-04-02,1.0025695542
2012-04-03,0.9709112496
2012-04-04,1.0020727674
2012-04-05,1.0020244186
2012-04-06,1.0089444997
2012-04-07,0.9918124165
2012-04-08,0.998751053
2012-04-09,1.0038526316
2012-04-10,0.9982346536
2012-04-11,1.0016754395
2012-04-12,1.005337212
2012-04-13,1.0002489167
2012-04-14,1.0039032452
2012-04-15,1.0041316074
2012-04-16,1.0028138949
2012-04-17,1.0017532499
2012-04-18,1.0084960703
2012-04-19,1.008948795
2012-04-20,1.0037085382
2012-04-21,1.0016482587
2012-04-22,1.0089819489
2012-04-23,0.9893503523
2012-04-24,1.0002922067
2012-04-25,1.0387433755
2012-04-26,0.9938828883
2012-04-27,1.0000825582
2012-04-28,0.9959380264
2012-04-29,0.9806908604
2012-04-30,0.9928531086
2012-05-01,0.9995726347
2012-05-02,1.0013265794
2012-05-03,1.0013685382
2012-05-04,1.0013868841
2012-05-05,1.0002033022
2012-05-06,0.9671366213
2012-05-07,0.9998868115
2012-05-08,0.9992099904
2012-05-09,1.0002604329
2012-05-10,0.999158212
2012-05-11,0.9963325917
2012-05-12,1.0073562945
2012-05-13,0.992269855
2012-05-14,0.9981233515
2012-05-15,0.9996721548
2012-05-16,0.99803229
2012-05-17,0.9966508492
2012-05-18,0.9910930787
2012-05-19,0.9995586716
2012-05-20,0.9834305641
2012-05-21,0.9938799944
2012-05-22,0.9988254256
2012-05-23,1.001719885
2012-05-24,0.9787725524
2012-05-25,1.0003724836
2012-05-26,0.9943540752
2012-05-27,1.0010702992
2012-05-28,0.9997078309
2012-05-29,0.9999350631
2012-05-30,0.9998831863
2012-05-31,0.9924265057
2012-06-01,1.0015631856
2012-06-02,1.0009527583
2012-06-03,1.0002361478
2012-06-04,1.0004469651
2012-06-05,1.0019563274
2012-06-06,1.002425927
2012-06-07,1.0015755481
2012-06-08,1.0017855623
2012-06-09,1.0033941789
2012-06-10,1.0001126397
2012-06-11,1.0021502654
2012-06-12,1.0038012837
2012-06-13,1.0055807473
2012-06-14,1.0006530376
2012-06-15,1.0077746808
2012-06-16,1.0044846031
2012-06-17,1.0071978654
2012-06-18,1.0022859576
2012-06-19,1.003796739
2012-06-20,1.0017612329
2012-06-21,1.0102051074
2012-06-22,1.0047335978
2012-06-23,1.0015359024
2012-06-24,1.000523242
2012-06-25,0.9988311166
2012-06-26,1.0058281176
2012-06-27,1.0036901416
2012-06-28,1.0018043986
2012-06-29,1.0020133205
2012-06-30,1.0032586842
2012-07-01,1.0019045113
2012-07-02,1.0074800391
2012-07-03,0.9994206929
2012-07-04,1.0021302478
2012-07-05,1.0022863707
2012-07-06,1.0034570643
2012-07-07,0.9980758372
2012-07-08,1.0099416319
2012-07-09,1.0037199821
2012-07-10,0.9751169677
2012-07-11,1.011525313
2012-07-12,1.0074261487
2012-07-13,1.0102227599
2012-07-14,0.982388219
2012-07-15,1.0030568365
2012-07-16,1.0159071161
2012-07-17,1.0250884567
2012-07-18,1.0205089419
2012-07-19,1.022317367
2012-07-20,0.9994151136
2012-07-21,1.0083097272
2012-07-22,1.0033807781
