date,value
2013-01-01,0.1716
2013-01-02,0.1768
2013-01-03,0.1785
2013-01-04,0.1771
2013-01-05,0.1788
2013-01-06,0.1809
2013-01-07,0.1917
2013-01-08,0.1925
2013-01-09,0.2054
2013-01-10,0.2097
2013-01-11,0.2079
2013-01-12,0.2036
2013-01-13,0.2112
2013-01-14,0.2094
2013-01-15,0.2289
2013-01-16,0.2715
2013-01-17,0.2746
2013-01-18,0.2659
2013-01-19,0.2685
2013-01-20,0.3137
2013-01-21,0.332
2013-01-22,0.3395
2013-01-23,0.3121
2013-01-24,0.3308
2013-01-25,0.3355
2013-01-26,0.3452
2013-01-27,0.3755
2013-01-28,0.3961
2013-01-29,0.4003
2013-01-30,0.4217
2013-01-31,0.418
2013-02-01,0.3927
2013-02-02,0.4201
2013-02-03,0.4155
2013-02-04,0.4209
2013-02-05,0.435
2013-02-06,0.4573
2013-02-07,0.4723
2013-02-08,0.4927
2013-02-09,0.4956
2013-02-10,0.5074
2013-02-11,0.5167
2013-02-12,0.5095
2013-02-13,0.5567
2013-02-14,0.5545
2013-02-15,0.5569
2013-02-16,0.5496
2013-02-17,0.5494
2013-02-18,0.5872
2013-02-19,0.5925
2013-02-20,0.5923
2013-02-21,0.6008
2013-02-22,0.5641
2013-02-23,0.5335
2013-02-24,0.5066
2013-02-25,0.4985
2013-02-26,0.4914
2013-02-27,0.5077
2013-02-28,0.5162
2013-03-01,0.504
2013-03-02,0.5046
2013-03-03,0.5226
2013-03-04,0.5644
2013-03-05,0.5801
2013-03-06,0.5572
2013-03-07,0.573
2013-03-08,0.596
2013-03-09,0.5858
2013-03-10,0.5953
2013-03-11,0.4753
2013-03-12,0.4909
2013-03-13,0.4697
2013-03-14,0.4596
2013-03-15,0.447
2013-03-16,0.4508
2013-03-17,0.4888
2013-03-18,0.5368
2013-03-19,0.5468
2013-03-20,0.5658
2013-03-21,0.5027
2013-03-22,0.4549
2013-03-23,0.4939
2013-03-24,0.4933
2013-03-25,0.5167
2013-03-26,0.5495
2013-03-27,0.5225
2013-03-28,0.5232
2013-03-29,0.5135
2013-03-30,0.5117
2013-03-31,0.5117
2013-04-01,0.5524
2013-04-02,0.5674
2013-04-03,0.5545
2013-04-04,0.5509
2013-04-05,0.5433
2013-04-06,0.5805
2013-04-07,0.6042
2013-04-08,0.632
2013-04-09,0.3765
2013-04-10,-0.2198
2013-04-11,0.1537
2013-04-12,0.0265
2013-04-13,-0.0755
2013-04-14,-0.1761
2013-04-15,-0.3717
2013-04-16,-0.0028
2013-04-17,0.136
2013-04-18,0.2091
2013-04-19,0.2601
2013-04-20,0.1939
2013-04-21,0.2398
2013-04-22,0.3168
2013-04-23,0.3526
2013-04-24,0.2766
2013-04-25,0.2519
2013-04-26,0.1892
2013-04-27,0.2252
2013-04-28,0.2667
2013-04-29,0.24
2013-04-30,0.0933
2013-05-01,0.0159
2013-05-02,-0.0687
2013-05-03,0.0825
2013-05-04,0.1072
2013-05-05,0.0716
2013-05-06,0.0662
2013-05-07,0.0718
2013-05-08,0.0608
2013-05-09,0.1109
2013-05-10,0.0824
2013-05-11,0.0759
2013-05-12,0.0968
2013-05-13,0.0126
2013-05-14,0.0266
2013-05-15,0.0617
2013-05-16,0.1012
2013-05-17,0.1044
2013-05-18,0.0966
2013-05-19,0.0979
2013-05-20,0.0897
2013-05-21,0.094
2013-05-22,0.1257
2013-05-23,0.1556
2013-05-24,0.1576
2013-05-25,0.164
2013-05-26,0.1374
2013-05-27,0.134
2013-05-28,0.1571
2013-05-29,0.1342
2013-05-30,0.1395
2013-05-31,0.1471
2013-06-01,0.0985
2013-06-02,0.1002
2013-06-03,0.0788
2013-06-04,0.0828
2013-06-05,0.0657
2013-06-06,-0.0103
2013-06-07,-0.0265
2013-06-08,-0.12
2013-06-09,-0.0692
2013-06-10,-0.0421
2013-06-11,-0.0535
2013-06-12,-0.1068
2013-06-13,-0.1255
2013-06-14,-0.1202
2013-06-15,-0.1274
2013-06-16,-0.1173
2013-06-17,-0.0781
2013-06-18,-0.0787
2013-06-19,-0.0808
2013-06-20,-0.1168
2013-06-21,-0.1345
2013-06-22,-0.1305
2013-06-23,-0.1445
2013-06-24,-0.1556
2013-06-25,-0.1514
2013-06-26,-0.1745
2013-06-27,-0.2711
2013-06-28,-0.2795
2013-06-29,-0.2712
2013-06-30,-0.3689
2013-07-01,-0.2894
2013-07-02,-0.4628
2013-07-03,-0.4374
2013-07-04,-0.6734
2013-07-05,-0.7087
2013-07-06,-0.5701
2013-07-07,-0.5341
2013-07-08,-0.5169
2013-07-09,-0.3342
2013-07-10,-0.299
2013-07-11,-0.2661
2013-07-12,-0.2546
2013-07-13,-0.284
2013-07-14,-0.23
2013-07-15,-0.2589
2013-07-16,-0.2708
2013-07-17,-0.3582
2013-07-18,-0.3351
