date,open_interest,open_interest_usd
2026-02-09,80494.101,5660635723.444036
2026-02-10,78783.924,5523580303.602
2026-02-11,79253.897,5453080233.8644
2026-02-12,80997.519,5432681793.8718
2026-02-13,79782.231,5285030284.5792
2026-02-14,79203.463,5453426457.234442
2026-02-15,77778.239,5428547746.6528
2026-02-16,77130.018,5305413472.757684
2026-02-17,75734.731,5215287408.1794405
2026-02-18,79067.561,5335154839.2799
2026-02-19,80180.36,5327423387.564345
2026-02-20,80783.175,5410372362.45
2026-02-21,80199.657,5452680747.034957
2026-02-22,80844.246,5494674778.297016
2026-02-23,78625.705,5316159105.0175
2026-02-24,79623.121,5146082716.079162
2026-02-25,79798.787,5109292895.0064
2026-02-26,80112.54,5443964929.053371
2026-02-27,79068.239,5333010397.7198
2026-02-28,79180.596,5213380080.169036
2026-03-01,77361.251,5179889735.565613
2026-03-02,77832.776,5116796743.7384
2026-03-03,82214.751,5656522855.3518
2026-03-04,79135.725,5404964066.263987
2026-03-05,91427.871,6643426773.967079
2026-03-06,83431.399,5911950970.558959
2026-03-07,83334.539,5674898107.464616
2026-03-08,83750.58,5630727369.618
