feature,importance
funding_rate_14,164
high_50d_dist,75
low_50d_dist,49
ext_btc_vix_corr_20d,34
ext_tnx_ret_20d,34
return_14d,34
bb_pctb_20,32
macd,30
ext_btc_ndx_corr_20d,27
return_3d,27
ext_dxy_ret_20d,20
ext_dxy_vs_ma50,20
obv,19
sma_cross_5_20,18
cvd_ma_7,18
ext_dxy_ret_5d,17
price_vs_vwap_20,17
obv_sma_10,15
atr_21,14
low_21d_dist,13
cvd_change_7,13
macd_signal,12
sma_200,12
ext_btc_vix_corr_60d,12
ext_vix,11
cvd_change_14,11
cvd_ma_14,11
buy_pressure_ma_5,11
ext_funding_rate_mean,11
buy_pressure_ma_20,10
vol_volatility_20,10
high_14d_dist,10
ext_fr_std_7,10
ext_dxy_vol_20d,10
ext_fgi,9
ext_funding_rate_min,9
ext_fr_ma_30,9
ext_tnx_vs_ma10,9
ext_gold_ret_5d,9
atr_pct_21,9
vol_volatility_10,9
stoch_d_14,9
low_14d_dist,8
ext_dxy_vs_ma10,8
return_21d,8
vol_price_corr_20,8
atr_pct_14,8
return_1d,8
ext_fr_zscore,8
stablecoin_inflow_proxy,8
funding_rate_24,8
funding_rate_7,8
cvd,7
ext_fgi_change_7d,7
ext_fr_ma_14,7
ext_fr_ma_7,7
stoch_k_14,7
high_21d_dist,7
ext_ndx_vol_20d,7
ext_vix_ret_10d,7
ext_vix_vol_20d,7
ext_tnx_ret_5d,7
ext_tnx_vs_ma50,7
ext_btc_dxy_corr_60d,7
ext_fgi_ma7,6
ema_200,6
vol_price_corr_10,6
flow_momentum_20,6
ext_ndx_vs_ma20,6
ext_ndx_ret_5d,6
ext_btc_spx_corr_60d,6
ext_tnx_vs_ma20,6
ext_btc_tnx_corr_20d,6
ext_btc_gold_corr_20d,5
ext_gold_vs_ma10,5
ext_btc_tnx_corr_60d,5
volatility_20d,5
obv_sma_20,5
trades_sma_5,5
volatility_10d,5
volatility_5d,5
flow_change_5d,5
buy_pressure_ma_10,5
flow_price_divergence_20,5
ext_dxy_ret_10d,5
flow_momentum_5,5
flow_momentum_10,5
ext_fr_std_30,5
ext_gold_ret_10d,4
ext_tnx_ret_1d,4
ext_dxy_vs_ma20,4
ext_funding_rate_sum,4
ext_gold_vs_ma50,4
ext_vix_vs_ma50,4
ext_btc_spx_corr_20d,4
ext_dxy,4
ext_fgi_ma30,4
ext_fgi_price_divergence,4
trades_change_5d,4
ema_100,4
vol_change_5d,4
ext_fgi_std_14,4
ext_spx_vs_ma10,3
ext_gold_ret_20d,3
ext_btc_ndx_corr_60d,3
ext_tnx_ret_10d,3
ext_spx_vs_ma50,3
ext_ndx_vs_ma10,3
ext_btc_dxy_corr_20d,3
volume_density,3
flow_price_divergence_10,3
volume_density_ma_10,3
ext_fgi_ma14,3
ext_fr_cumsum_30,3
ext_btc_gold_corr_60d,3
cvd_ma_21,3
vol_sma_20,3
qvol_sma_20,3
sma_10,3
bb_upper_20,3
price_vs_vwap_10,3
qvol_sma_10,3
ext_spx_ret_5d,3
return_5d,3
qvol_sma_5,2
avg_trade_size_sma_10,2
avg_trade_size_ratio_10,2
vol_sma_50,2
sma_5,2
bb_width_20,2
vol_sma_5,2
qvol_ratio_5,2
ext_fr_std_14,2
ext_vix_ret_1d,2
ext_ndx_ret_10d,2
ext_spx_ret_10d,2
ext_gold_vol_20d,2
ext_spx_vs_ma20,2
cvd_change_21,2
vol_ratio_5,2
macd_hist,1
bb_lower_20,1
ema_10,1
avg_trade_size,1
trades_sma_20,1
trades_ratio_20,1
avg_trade_size_sma_5,1
ext_spx_vol_20d,1
ext_gold_vs_ma20,1
ext_tnx,1
ext_gold_ret_1d,1
ext_ndx_ret_20d,1
ext_vix_ret_20d,1
ext_spx,1
ext_ndx_vs_ma50,1
ext_tnx_vol_20d,1
ext_vix_ret_5d,1
ext_fr_cumsum_14,1
ext_fr_cumsum_7,1
avg_trade_size_ratio_20,1
flow_change_3d,1
volume_density_sma_5,1
ext_funding_rate_max,1
flow_change_10d,1
volume_density_sma_10,1
open_interest_24,1
sma_50,1
vol_ratio_50,1
atr_14,1
trades_change_1d,1
ema_5,0
ema_50,0
sma_100,0
sma_20,0
vol_sma_10,0
vol_ratio_20,0
vol_change_3d,0
vol_change_1d,0
ema_20,0
avg_trade_size_sma_20,0
avg_trade_size_ratio_5,0
trades_ratio_10,0
trades_sma_10,0
trades_ratio_5,0
qvol_ratio_20,0
vwap_20,0
qvol_ratio_10,0
vwap_10,0
vol_ratio_10,0
return_7d,0
open_interest_7,0
open_interest_14,0
avg_trade_size_ma_5,0
buy_pressure,0
flow_change_1d,0
ext_dxy_ret_1d,0
ext_fr_extreme_low,0
ext_fr_extreme_high,0
avg_trade_size_ma_10,0
avg_trade_size_ma_20,0
ext_fgi_change_14d,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
volume_density_ma_5,0
ext_ndx,0
ext_vix_vs_ma10,0
ext_vix_vs_ma20,0
ext_ndx_ret_1d,0
ext_gold,0
ext_spx_ret_20d,0
ext_spx_ret_1d,0
