feature,importance
funding_rate_14,129
high_50d_dist,77
low_50d_dist,76
macd,55
return_14d,45
ext_fgi_ma30,34
return_3d,31
low_21d_dist,30
flow_momentum_10,25
ext_fgi_std_14,24
price_vs_vwap_20,24
return_21d,23
obv_sma_20,23
vol_volatility_10,22
bb_pctb_20,21
volatility_5d,21
funding_rate_24,21
volatility_10d,20
high_14d_dist,20
low_14d_dist,19
bb_width_20,19
qvol_ratio_5,17
flow_change_5d,16
stoch_d_14,16
sma_cross_5_20,16
ema_200,16
buy_pressure_ma_5,16
atr_pct_14,15
flow_price_divergence_20,15
vol_ratio_50,15
trades_sma_20,15
price_vs_vwap_10,15
cvd_change_14,15
obv_sma_10,15
vol_price_corr_10,14
atr_pct_21,14
vol_change_5d,14
trades_sma_5,13
flow_momentum_20,13
sma_200,13
cvd_ma_14,13
stoch_k_14,12
buy_pressure_ma_20,12
atr_21,11
macd_signal,11
ext_fgi_ma14,10
ext_fgi_price_divergence,10
atr_14,10
volatility_20d,10
flow_momentum_5,9
high_21d_dist,9
vol_price_corr_20,9
qvol_sma_20,9
stablecoin_inflow_proxy,9
return_7d,8
vol_volatility_20,8
macd_hist,8
funding_rate_7,8
volume_density_sma_5,8
trades_ratio_20,8
cvd_change_7,7
cvd,7
volume_density_sma_10,7
qvol_ratio_10,7
qvol_sma_5,7
buy_pressure,7
vol_sma_10,7
ext_fgi,7
ema_5,6
cvd_change_21,6
sma_50,6
buy_pressure_ma_10,6
ext_fgi_ma7,6
ext_fgi_change_7d,6
return_1d,6
avg_trade_size_sma_20,5
sma_100,5
flow_price_divergence_10,5
vol_ratio_20,5
flow_change_10d,5
sma_5,5
vwap_10,5
trades_change_5d,5
return_5d,5
volume_density,4
cvd_ma_21,4
cvd_ma_7,4
vol_ratio_5,4
open_interest_14,4
obv,4
trades_ratio_5,4
trades_ratio_10,4
vol_sma_5,4
avg_trade_size_ma_5,4
vol_sma_20,4
vol_change_3d,4
avg_trade_size,3
vol_ratio_10,3
avg_trade_size_ratio_5,3
open_interest_24,3
ext_fgi_change_14d,3
vol_sma_50,3
avg_trade_size_ma_20,2
volume_density_ma_5,2
avg_trade_size_sma_5,2
ema_20,1
avg_trade_size_ratio_10,1
ema_50,1
trades_change_1d,1
avg_trade_size_ratio_20,1
flow_change_3d,1
avg_trade_size_sma_10,1
vwap_20,1
ema_100,1
open_interest_7,1
qvol_ratio_20,1
trades_sma_10,0
bb_upper_20,0
avg_trade_size_ma_10,0
bb_lower_20,0
flow_change_1d,0
sma_20,0
ema_10,0
vol_change_1d,0
qvol_sma_10,0
sma_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
volume_density_ma_10,0
