feature,importance
funding_rate_14,152
macd,87
high_50d_dist,80
low_50d_dist,78
return_14d,51
volatility_5d,29
ext_fgi_ma30,26
price_vs_vwap_20,26
volatility_10d,24
buy_pressure_ma_5,23
obv,22
trades_sma_5,22
bb_width_20,22
vol_volatility_20,22
volatility_20d,21
macd_signal,21
flow_momentum_5,20
obv_sma_20,20
vol_volatility_10,20
stoch_d_14,19
atr_pct_14,18
atr_21,18
volume_density,18
atr_14,18
flow_momentum_20,17
return_3d,17
cvd,17
volume_density_sma_10,17
funding_rate_7,17
trades_sma_20,16
low_21d_dist,16
return_7d,16
low_14d_dist,14
vol_price_corr_10,14
funding_rate_24,14
flow_change_5d,13
flow_momentum_10,13
high_14d_dist,12
high_21d_dist,12
atr_pct_21,12
sma_cross_5_20,11
avg_trade_size_sma_20,11
vol_ratio_20,10
price_vs_vwap_10,10
ext_fgi_std_14,9
macd_hist,9
vol_sma_20,9
open_interest_24,9
stoch_k_14,9
cvd_ma_21,9
vol_sma_10,8
qvol_sma_10,8
volume_density_sma_5,8
return_21d,8
bb_pctb_20,8
cvd_change_21,7
cvd_change_7,7
open_interest_14,7
avg_trade_size_ratio_20,7
return_1d,7
qvol_sma_20,7
flow_change_3d,6
ext_fgi_price_divergence,6
flow_price_divergence_20,6
vol_change_5d,6
vol_change_3d,6
bb_upper_20,6
ema_200,6
stablecoin_inflow_proxy,6
buy_pressure_ma_10,6
ext_fgi_ma7,6
ext_fgi_change_14d,5
avg_trade_size_sma_10,5
sma_5,5
vol_sma_5,5
vol_ratio_5,5
trades_sma_10,5
return_5d,5
obv_sma_10,4
avg_trade_size,4
ext_fgi_change_7d,4
sma_50,4
cvd_change_14,4
qvol_ratio_20,4
volume_density_ma_10,3
vwap_10,3
sma_200,3
ext_fgi_ma14,3
ext_fgi,3
sma_100,3
cvd_ma_14,3
avg_trade_size_ratio_5,3
avg_trade_size_sma_5,3
trades_change_5d,3
ema_100,2
volume_density_ma_5,2
buy_pressure,2
ema_50,2
avg_trade_size_ma_20,2
sma_20,2
sma_10,2
cvd_ma_7,2
qvol_ratio_5,2
trades_change_1d,2
vol_ratio_50,2
trades_ratio_5,2
ema_5,2
vol_price_corr_20,2
qvol_sma_5,2
vol_ratio_10,2
qvol_ratio_10,1
flow_change_10d,1
trades_ratio_10,1
ema_10,1
avg_trade_size_ratio_10,1
open_interest_7,1
flow_change_1d,1
vol_sma_50,1
trades_ratio_20,1
avg_trade_size_ma_5,1
buy_pressure_ma_20,1
bb_lower_20,0
ema_20,0
avg_trade_size_ma_10,0
vwap_20,0
flow_price_divergence_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
vol_change_1d,0
