feature,importance
sth_sopr_std30,205
rsi_14_std30,145
sma_cross_50_200,134
buy_pressure_std30,132
lth_sopr_ma30,125
macd_hist_std30,121
low_50d_dist,121
dist_from_low_180d,119
buy_pressure_ma30,116
dist_from_low_365d,109
cvd_ma_21,108
vol_price_corr_20,108
fgi_std30,108
buy_pressure_std14,106
fgi_std14,105
lth_sopr_std30,105
rsi_14_lag14,102
vol_volatility_20,101
liquidity_proxy,100
volume_density_ma30,100
vol_volatility_10,99
dist_from_low_30d,99
lth_sopr_std14,98
avg_trade_size_sma_20,90
mvrv_std30,90
dist_from_high_30d,89
rsi_14_std14,88
atr_pct_21,87
gtrend_proxy_ma_14,85
buy_pressure_std7,84
trades_sma_20,84
vix_proxy_14,82
fgi_std7,81
dist_from_low_90d,78
mvrv,78
stoch_k_14,77
atr_14_std30,75
miner_outflow_ma_14,75
macd_hist_lag14,74
obv,73
vix_proxy_change_7,73
dist_from_high_90d,72
buy_pressure_ma_10,71
atr_14_std14,70
macd_hist_ma30,69
rsi_14_ma30,68
flow_momentum_20,68
sma_200,68
price_vs_sma_50,67
mvrv_dev_ma7,66
macd_ma30,65
price_vs_sma_200,63
avg_trade_size_sma_10,63
cvd_change_14,61
low_14d_dist,61
trades_sma_10,61
sth_sopr_std14,61
macd_roc_7,60
rsi_14_std3,60
vix_proxy_60,60
volatility_20d,58
fgi_std3,58
bb_width_20,57
low_21d_dist,57
atr_14_roc_7,56
rsi_14_std7,56
obv_sma_10,56
macd_hist_ma14,56
sma_100,55
sth_sopr_lag14,54
cvd_change_21,53
lth_sopr,52
volume_density_dev_ma7,52
vol_price_corr_10,52
difficulty_ribbon_proxy,52
mvrv_std14,52
sth_sopr,51
stoch_d_14,51
macd_roc_1,51
vol_sma_20,50
active_addr_change_7,49
cvd_change_7,49
dist_from_high_365d,48
fgi_roc_3,48
stablecoin_inflow_proxy,48
fgi_ma30,48
rsi_28,47
buy_pressure_ma_20,47
atr_pct_14,47
sth_sopr_ma30,47
fgi_ma_14,47
vix_proxy_30,47
cvd_ma_14,46
sth_sopr_change_7,46
dist_from_high_180d,45
buy_pressure_roc_7,45
mvrv_std7,45
macd_std30,44
rsi_14_ma14,44
macd_hist_std14,44
lth_sopr_lag14,44
fgi_roc_1,44
high_50d_dist,44
buy_pressure_lag2,44
fgi_lag14,43
macd_std14,43
buy_pressure_dev_ma7,43
trades_change_1d,43
open_interest_14,43
avg_trade_size_sma_5,42
ema_200,42
cvd_ma_7,41
volume_density_roc_3,41
vol_sma_50,41
sth_sopr_std3,41
fgi_lag7,40
buy_pressure_lag14,40
buy_pressure_std3,40
sth_sopr_lag7,40
buy_pressure_roc_1,40
fgi_roc_7,40
price_vs_vwap_10,39
gtrend_proxy,39
macd_roc_3,39
rsi_14_roc_1,39
rsi_14_roc_7,39
buy_pressure_ma7,39
sth_sopr_ma14,39
lth_sopr_std7,39
obv_sma_20,39
volatility_5d,38
flow_momentum_5,38
atr_14_lag1,38
high_21d_dist,37
rsi_14_dev_ma7,37
sth_sopr_std7,37
volume_density_std3,37
macd_hist,36
bb_pctb_20,36
macd_hist_std7,36
atr_14_std3,36
macd_lag14,35
macd_hist_ma7,35
macd_hist_lag7,35
ema_100,35
active_addr_change_14,35
macd_std7,35
macd_hist_std3,34
volatility_10d,34
atr_14_lag14,34
atr_14_std7,34
volume_density_std30,34
ema_10,33
avg_trade_size_ratio_5,33
buy_pressure_roc_3,33
rsi_14_roc_3,33
lth_sopr_change_7,33
sth_sopr_roc_3,33
lth_sopr_ma_7,33
mvrv_ma30,32
