feature,importance
sma_cross_50_200,989
low_50d_dist,954
vol_volatility_20,832
price_vs_sma_200,808
atr_pct_21,802
vol_price_corr_20,791
vol_volatility_10,768
obv_sma_20,752
volatility_20d,723
bb_width_20,681
obv,665
obv_sma_10,661
vol_sma_50,651
vol_price_corr_10,648
atr_21,602
low_14d_dist,595
sma_200,590
high_50d_dist,584
low_21d_dist,579
rsi_28,560
vol_sma_20,541
sma_100,541
price_vs_sma_50,528
macd_hist,527
volatility_5d,524
qvol_sma_20,520
volatility_10d,514
return_1d,510
return_21d,473
atr_pct_14,473
stoch_k_14,460
macd_signal,454
atr_14,439
return_3d,435
vol_change_3d,418
rsi_6,413
stoch_d_14,394
vol_change_5d,393
vol_sma_10,387
vol_ratio_50,385
ema_200,385
sma_cross_5_20,381
qvol_sma_5,366
vol_change_1d,362
vol_sma_5,348
bb_pctb_20,347
return_7d,346
price_vs_vwap_10,337
qvol_sma_10,334
high_21d_dist,326
return_5d,323
macd,320
sma_50,284
high_14d_dist,283
rsi_14,278
bb_lower_20,273
return_14d,270
qvol_ratio_5,268
sma_cross_10_50,264
price_vs_sma_20,259
price_vs_vwap_20,257
vol_ratio_10,255
sma_5,248
ema_100,248
vol_ratio_5,241
qvol_ratio_20,239
qvol_ratio_10,227
ema_5,208
bb_upper_20,195
vol_ratio_20,174
ema_50,174
ema_10,144
sma_20,137
sma_10,136
vwap_20,131
ema_20,124
vwap_10,110
