指标,h,事件N,事命中率,事均反弹,事超额,低估天数,日命中率,日均反弹,日超额,统一基线,子样本IC,子t,子N
MVRV-Z分数,30,4,0.5,0.06948716077376957,0.026646465709682446,358,0.5921787709497207,0.051431191217510414,0.008590496153423291,0.04284069506408712,-0.31468531468531474,-1.0483844031216039,12.0
MVRV-Z分数,90,3,0.3333333333333333,0.20698637634362027,0.05833081825309158,358,0.6201117318435754,0.31011437346309967,0.16145881537257098,0.1486555580905287,,,
MVRV-Z分数,180,3,0.6666666666666666,0.41078447860735084,0.06550979681365515,358,0.8296089385474861,0.8147537497344648,0.4694790679407691,0.3452746817936957,,,
NUPL(净未实现盈亏),30,5,0.4,0.0632783346168125,0.020437639552725373,411,0.583941605839416,0.04059971124030915,-0.0022409838237779714,0.04284069506408712,0.1032967032967033,0.3597547533256879,14.0
NUPL(净未实现盈亏),90,5,0.6,0.1411829329468722,-0.007472625143656486,406,0.6182266009852216,0.280629233115857,0.13197367502532834,0.1486555580905287,,,
NUPL(净未实现盈亏),180,3,0.3333333333333333,0.15236419288307043,-0.19291048891062526,395,0.8075949367088607,0.7488323693851746,0.4035576875914789,0.3452746817936957,,,
SOPR(花费产出利润),30,15,0.5333333333333333,0.042087760569858704,-0.0007529344942284188,543,0.58195211786372,0.04153680176607885,-0.0013038932980082713,0.04284069506408712,-0.3350877192982456,-1.4663778590805447,19.0
SOPR(花费产出利润),90,6,0.5,-0.02009147025531414,-0.16874702834584282,526,0.5950570342205324,0.12854983029397277,-0.020105727796555922,0.1486555580905287,,,
SOPR(花费产出利润),180,4,0.5,-0.013643847710048035,-0.3589185295037437,484,0.5847107438016529,0.38334264846991245,0.03806796667621676,0.3452746817936957,,,
Puell倍数(矿工营收),30,8,0.625,0.08735673523673883,0.044516040172651705,690,0.553623188405797,0.01725763278287681,-0.025583062281210312,0.04284069506408712,0.15316205533596838,0.7102569736853898,23.0
Puell倍数(矿工营收),90,6,0.8333333333333334,0.19378796394545797,0.04513240585492928,651,0.5898617511520737,0.1534911978780033,0.004835639787474616,0.1486555580905287,-0.5476190476190477,-1.6031345813218425,8.0
Puell倍数(矿工营收),180,5,0.6,0.2691649398440831,-0.07610974194961262,624,0.6810897435897436,0.6427569436312189,0.29748226183752324,0.3452746817936957,,,
Reserve Risk,30,5,0.8,0.179133609803373,0.1362929147392859,728,0.6373626373626373,0.06486680449300515,0.022026109428918028,0.04284069506408712,-0.004615384615384616,-0.022134842787651605,25.0
Reserve Risk,90,4,0.25,0.07388697738247071,-0.07476858070805797,728,0.6936813186813187,0.2345661912088055,0.08591063311827682,0.1486555580905287,-0.11666666666666665,-0.3107933544211514,9.0
Reserve Risk,180,4,0.75,0.4688837616926896,0.12360907989899389,728,0.8241758241758241,0.5843525496213618,0.23907786782766616,0.3452746817936957,,,
LTH-NUPL(长持),30,4,0.0,-0.22743058343560513,-0.27027127849969224,417,0.6019184652278178,0.04801220277036421,0.005171507706277084,0.04284069506408712,-0.4769230769230769,-1.8796510940315803,14.0
LTH-NUPL(长持),90,4,0.5,-0.11127933851807886,-0.2599348966086076,407,0.6461916461916462,0.29094288546661756,0.14228732737608887,0.1486555580905287,,,
LTH-NUPL(长持),180,3,0.6666666666666666,-0.01165237535461768,-0.35692705714831335,405,0.8444444444444444,0.7490934386060057,0.40381875681231005,0.3452746817936957,,,
资金费率(均值),30,9,0.4444444444444444,0.03213425211732316,-0.010706442946763962,462,0.6082251082251082,0.04211777212774721,-0.0007229229363399092,0.04284069506408712,0.06470588235294117,0.24261567327537692,16.0
资金费率(均值),90,4,1.0,0.25690516011395287,0.10824960202342418,458,0.6790393013100436,0.20039840843060852,0.05174285034007983,0.1486555580905287,,,
资金费率(均值),180,3,1.0,1.7414713530529606,1.3961966712592648,423,0.6548463356973995,0.3948526303033567,0.04957794850966102,0.3452746817936957,,,
恐惧贪婪指数,30,10,0.4,0.003598499623703211,-0.03924219544038391,410,0.5926829268292683,0.03261330343379432,-0.0102273916302928,0.04284069506408712,0.19383306932335295,0.6844381422909758,14.0
恐惧贪婪指数,90,6,0.6666666666666666,0.13090517690205464,-0.01775038118847405,367,0.4822888283378747,0.054748980358281116,-0.09390657773224757,0.1486555580905287,,,
恐惧贪婪指数,180,4,0.75,0.8083083230177316,0.4630336412240359,307,0.4788273615635179,0.07762480988209806,-0.2676498719115976,0.3452746817936957,,,
DXY(美元指数),30,1,1.0,0.22125961961877993,0.17841892455469283,199,0.6331658291457286,0.13502658590284775,0.09218589083876062,0.04284069506408712,,,
DXY(美元指数),90,1,1.0,0.35969720480614,0.2110416467156113,199,0.7386934673366834,0.6116938330887053,0.4630382749981766,0.1486555580905287,,,
DXY(美元指数),180,1,1.0,2.718701377676194,2.3734266958824985,199,0.7889447236180904,1.2277065407605554,0.8824318589668597,0.3452746817936957,,,
美债10年(TNX),30,1,1.0,0.17620578034682088,0.13336508528273378,340,0.5147058823529411,0.03324977050243602,-0.009590924561651101,0.04284069506408712,-0.09090909090909093,-0.2886751345948129,12.0
美债10年(TNX),90,1,1.0,0.20404739884393064,0.05539184075340195,340,0.6176470588235294,0.21083191420515174,0.06217635611462305,0.1486555580905287,,,
美债10年(TNX),180,1,0.0,-0.1664739884393064,-0.5117486702330021,340,0.6941176470588235,0.9516147185708601,0.6063400367771644,0.3452746817936957,,,
AVIV比率(估值),30,3,0.3333333333333333,0.026123024746250573,-0.01671767031783655,300,0.6266666666666667,0.051533500996507345,0.008692805932420222,0.04284069506408712,-0.38181818181818183,-1.16847125655678,10.0
AVIV比率(估值),90,3,0.3333333333333333,0.25898598999418715,0.11033043190365846,300,0.6466666666666666,0.2769699759373295,0.12831441784680084,0.1486555580905287,,,
