指标,h,样本N,RankIC,t-stat,符合理论方向
MVRV-Z分数,30,102,-0.10257787629134128,-1.0312184643273044,True
MVRV-Z分数,90,34,-0.2611153552330023,-1.5301770130128336,True
NUPL(净未实现盈亏),30,102,-0.08150929313376798,-0.8178141410683448,True
NUPL(净未实现盈亏),90,34,-0.2504201680672269,-1.4632123579821934,True
SOPR(花费产出利润),30,102,-0.03363848663564244,-0.33657534579902254,True
SOPR(花费产出利润),90,34,-0.05454545454545454,-0.30901572157476287,True
Puell倍数(矿工营收),30,102,-0.04124941334795958,-0.4128455142451882,True
Puell倍数(矿工营收),90,34,-0.2776165011459129,-1.6346926161091222,True
Reserve Risk,30,97,-0.21431201346517986,-2.138543639734237,True
Reserve Risk,90,33,-0.4294786096256685,-2.6478756686910874,True
LTH-NUPL(长持),30,101,-0.11930110658124635,-1.1955696379886087,True
LTH-NUPL(长持),90,33,-0.27038770053475936,-1.563700467021187,True
资金费率(均值),30,80,-0.1378067010063565,-1.2287996311207312,True
资金费率(均值),90,27,0.01566203002637317,0.07831975660723198,False
恐惧贪婪指数,30,101,0.04630516999938501,0.4612253620757589,False
恐惧贪婪指数,90,33,-0.028428100005168443,-0.15834495882735003,True
DXY(美元指数),30,69,-0.007636376927893157,-0.06250826164164318,True
DXY(美元指数),90,23,0.22628458498023715,1.0645801348150556,False
美债10年(TNX),30,69,-0.10533526978215983,-0.8670298326068914,True
美债10年(TNX),90,23,0.04644268774703557,0.21305702994313597,False
AVIV比率(估值),30,102,-0.06783676654358753,-0.6799339385859118,True
AVIV比率(估值),90,34,-0.2137509549274255,-1.2377649911278807,True
CDD(币天销毁),30,101,0.009539895165987185,0.09492507805968031,False
CDD(币天销毁),90,34,-0.17494270435446904,-1.0051258121172046,True
CDD调整(终端),30,101,0.02516016307513104,0.25041973638036347,False
CDD调整(终端),90,34,-0.08357524828113064,-0.47443281626959316,True
LTH-MVRV(长持估值),30,102,-0.11546475695619525,-1.1624223413596948,True
LTH-MVRV(长持估值),90,34,-0.29564553093964857,-1.750683222279638,True
LTH-SOPR(长持获利),30,101,-0.05278974956319161,-0.52598478360954,True
LTH-SOPR(长持获利),90,33,-0.2810828877005348,-1.6307494018366235,True
STH-MVRV(短持估值),30,102,0.04349633153164729,0.4353753603381503,False
STH-MVRV(短持估值),90,34,-0.034993887939140954,-0.1980766404194186,True
STH-NUPL(短持),30,101,0.05386736711545005,0.5367528472947332,False
STH-NUPL(短持),90,33,0.024064171122994655,0.13402244516819925,False
STH-SOPR(短持获利),30,101,0.02430984274898078,0.24195138471629812,False
STH-SOPR(短持获利),90,33,0.17747326203208558,1.0040682621206942,False
