feature,importance
dist_from_low_365d,269
vol_volatility_20,204
sma_cross_50_200,195
sma_200,194
vix_proxy_change_7,192
fgi_ma_14,188
low_14d_dist,187
dist_from_low_180d,185
vix_proxy_14,183
obv_sma_20,183
obv,182
return_1d,172
dist_from_low_90d,161
low_50d_dist,159
vol_price_corr_20,144
vol_price_corr_10,142
vol_volatility_10,140
macd_hist,140
dist_from_low_30d,139
vix_proxy_60,137
flow_momentum_20,132
liquidity_proxy,123
atr_21,122
vol_sma_20,122
bb_width_20,121
obv_sma_10,119
gtrend_proxy_ma_14,119
avg_trade_size_sma_20,119
gtrend_proxy,118
atr_14,116
rsi_28,116
price_vs_sma_200,116
vol_sma_50,114
atr_pct_21,114
volatility_20d,114
fgi_ma_7,112
low_21d_dist,111
flow_momentum_10,110
dist_from_high_180d,107
rsi_6,105
vix_proxy_30,103
high_14d_dist,101
volatility_5d,100
high_50d_dist,100
flow_momentum_5,96
dist_from_high_90d,94
trades_sma_20,93
dist_from_high_365d,92
avg_trade_size_ratio_5,91
price_vs_sma_50,87
return_3d,86
dist_from_high_30d,86
qvol_sma_20,85
fgi,84
flow_price_divergence_20,84
ema_200,84
avg_trade_size_sma_10,81
atr_pct_14,78
avg_trade_size_ratio_20,78
trades_sma_10,77
trades_sma_5,75
volatility_10d,75
sma_cross_5_20,74
vol_sma_10,74
bb_pctb_20,71
stoch_k_14,70
qvol_sma_10,69
sma_100,69
volume_density_sma_5,69
trades_change_1d,66
price_vs_vwap_10,66
flow_price_divergence_10,66
sma_cross_10_50,65
flow_change_10d,64
high_21d_dist,64
return_5d,63
vol_change_3d,59
stoch_d_14,59
trades_ratio_20,58
return_21d,56
return_7d,56
vol_change_5d,56
vol_sma_5,53
macd,53
volume_density_sma_10,52
rsi_14,52
vol_change_1d,51
price_vs_sma_20,50
ema_100,49
avg_trade_size,49
flow_change_5d,48
volume_density,48
avg_trade_size_ratio_10,47
bb_lower_20,47
price_vs_vwap_20,47
sma_50,47
avg_trade_size_sma_5,47
macd_signal,47
bb_upper_20,45
ema_5,44
flow_change_3d,44
vol_ratio_50,43
qvol_sma_5,43
flow_change_1d,43
ema_20,42
trades_ratio_5,42
sma_5,41
trades_ratio_10,40
return_14d,36
sma_20,36
qvol_ratio_10,35
qvol_ratio_20,33
sma_10,30
vwap_10,28
trades_change_5d,28
volume_spike_30,27
vol_ratio_5,25
vol_ratio_10,24
ema_10,18
vol_ratio_20,18
qvol_ratio_5,16
ema_50,15
vwap_20,14
consecutive_down_days,11
fgi_extreme_fear,5
volume_spike_10,5
consecutive_up_days,4
fgi_extreme_greed,0
