feature,importance
vol_volatility_20,253
dist_from_low_365d,219
sma_cross_50_200,197
fgi_ma_14,195
vol_price_corr_20,184
dist_from_low_90d,172
vix_proxy_change_7,171
obv,168
dist_from_low_30d,162
vix_proxy_14,161
vol_volatility_10,158
trades_sma_20,156
rsi_28,156
flow_momentum_20,149
obv_sma_20,145
sma_200,145
dist_from_high_30d,139
vol_price_corr_10,136
return_1d,135
avg_trade_size_sma_20,133
vix_proxy_60,132
low_50d_dist,132
dist_from_low_180d,131
atr_21,129
dist_from_high_180d,129
low_21d_dist,123
macd_hist,122
price_vs_sma_50,120
volatility_5d,118
volatility_20d,115
price_vs_sma_200,114
atr_pct_21,112
gtrend_proxy,112
vol_sma_20,111
high_50d_dist,110
return_3d,109
low_14d_dist,109
obv_sma_10,106
ema_200,106
dist_from_high_90d,103
bb_width_20,102
fgi_ma_7,101
liquidity_proxy,99
gtrend_proxy_ma_14,98
vix_proxy_30,98
qvol_sma_20,94
atr_14,93
dist_from_high_365d,89
stoch_k_14,88
high_21d_dist,86
volatility_10d,85
fgi,84
vol_ratio_50,84
vol_sma_50,84
sma_cross_5_20,83
trades_sma_10,81
flow_momentum_10,81
avg_trade_size_sma_5,80
rsi_6,77
atr_pct_14,75
flow_price_divergence_20,75
return_7d,75
ema_100,75
sma_100,74
flow_momentum_5,73
vol_sma_10,69
bb_upper_20,69
trades_sma_5,67
qvol_sma_5,67
return_21d,65
high_14d_dist,64
return_5d,63
price_vs_vwap_10,62
ema_20,61
return_14d,60
avg_trade_size_sma_10,60
volume_density,59
trades_change_1d,58
avg_trade_size,58
qvol_sma_10,56
macd_signal,54
rsi_14,53
sma_cross_10_50,50
flow_price_divergence_10,50
stoch_d_14,50
vol_sma_5,49
bb_pctb_20,47
avg_trade_size_ratio_5,45
trades_ratio_10,45
flow_change_5d,45
avg_trade_size_ratio_10,43
bb_lower_20,42
avg_trade_size_ratio_20,42
trades_change_5d,42
ema_5,41
trades_ratio_20,39
macd,38
vol_ratio_5,38
volume_density_sma_10,36
ema_10,36
price_vs_sma_20,36
sma_5,36
price_vs_vwap_20,36
volume_density_sma_5,34
flow_change_10d,32
ema_50,31
vol_change_3d,30
qvol_ratio_20,29
volume_spike_30,27
vol_change_1d,27
flow_change_3d,27
qvol_ratio_5,26
sma_50,25
vwap_10,24
vwap_20,23
vol_ratio_10,22
vol_change_5d,20
vol_ratio_20,20
flow_change_1d,19
trades_ratio_5,19
sma_20,19
qvol_ratio_10,18
sma_10,16
consecutive_up_days,5
consecutive_down_days,5
volume_spike_10,2
fgi_extreme_fear,0
fgi_extreme_greed,0
