prob_threshold,dip_threshold,tp,sl,monitor_days,sharpe,total_return,max_dd,calmar,win_rate,annual_return,annual_vol,num_trades
0.8,0.05,0.04,0.03,7,0.7736134913463036,2.0968403387242924,0.10780133472497343,7.176288617575781,0.03827615537283811,0.08411554490868545,0.11236135136581413,50
0.8,0.05,0.04,0.03,14,0.6742625334575818,1.837182334260624,0.17477184508064708,3.857958546735309,0.046498440601077405,0.07735358440929008,0.12126689764251739,63
0.8,0.05,0.04,0.03,10,0.6553471723804511,1.5998110256863964,0.17232457006785865,3.802981618479512,0.04224553444853984,0.07064896631355055,0.11384729985002966,55
0.8,0.05,0.04,0.05,14,0.5763392849292719,1.5762376870675863,0.1627317044597575,3.5416533418771934,0.05755599659767508,0.06995240939783298,0.13233737171812401,63
0.7,0.05,0.04,0.03,10,0.6657942474174475,2.060978088715182,0.19344876715440124,3.4417084027526705,0.05613836121349589,0.08321369241441423,0.1331296799782832,74
0.7,0.05,0.04,0.03,7,0.556750865780277,1.420967195134713,0.19344876715440107,2.878027469339758,0.05188545506095832,0.06521078624303489,0.1278734031716869,68
0.8,0.04,0.04,0.03,7,0.5487107541592093,1.4373654870886097,0.19577972854273784,2.802694427270228,0.04252906152537567,0.06572468596720715,0.13105864452200192,63
0.8,0.05,0.04,0.07,14,0.5243849367794207,1.4551525859704761,0.18853230721763883,2.7814062455305266,0.06492770059540687,0.066278491784318,0.14115696145324727,63
0.8,0.04,0.04,0.03,14,0.5510153944267083,1.592941858066029,0.20017949225826817,2.7526066142469663,0.05443719875248086,0.07044660017543203,0.1411252264958338,74
0.7,0.05,0.04,0.03,14,0.5314711342852129,1.5332777060897005,0.21007009547327196,2.5299704514716805,0.06464417351857102,0.06866764567100403,0.14427929406587853,87
