prob_threshold,dip_threshold,tp,sl,monitor_days,sharpe,total_return,max_dd,calmar,win_rate,annual_return,annual_vol,num_trades
0.8,0.05,0.04,0.03,7,0.7736134913463036,2.0968403387242924,0.10780133472497343,7.176288617575781,0.03827615537283811,0.08411554490868545,0.11236135136581413,50
0.8,0.05,0.04,0.03,14,0.6742625334575818,1.837182334260624,0.17477184508064708,3.857958546735309,0.046498440601077405,0.07735358440929008,0.12126689764251739,63
0.6,0.05,0.04,0.03,10,0.6733442456030115,2.6867744102821254,0.26745826175461923,2.517567568059551,0.07853700028352707,0.09770648591734488,0.15628574691724328,104
0.7,0.05,0.04,0.03,10,0.6657942474174475,2.060978088715182,0.19344876715440124,3.4417084027526705,0.05613836121349589,0.08321369241441423,0.1331296799782832,74
0.8,0.05,0.04,0.03,10,0.6553471723804511,1.5998110256863964,0.17232457006785865,3.802981618479512,0.04224553444853984,0.07064896631355055,0.11384729985002966,55
0.6,0.05,0.04,0.03,7,0.6528567532748119,2.294883778170236,0.26867169346989306,2.4299424507404237,0.06577828182591437,0.08892775107974815,0.14676442914217272,86
0.6,0.05,0.04,0.05,14,0.5958537010340734,2.5940906114459943,0.32693947293687936,1.822519916856635,0.11936489934788773,0.0957114043818581,0.18050434495688245,118
0.8,0.05,0.08,0.07,14,0.5859961075220264,1.9728422514918385,0.33250082860145985,1.7623899164005077,0.07995463566770626,0.08095489614033036,0.15251135559425788,52
0.8,0.05,0.04,0.05,14,0.5763392849292719,1.5762376870675863,0.1627317044597575,3.5416533418771934,0.05755599659767508,0.06995240939783298,0.13233737171812401,63
0.8,0.05,0.08,0.03,14,0.557320634515972,1.4655105359629834,0.38588324802381496,1.444272684471591,0.05727246952083924,0.06659927516719688,0.13091001819096354,53
