序号,入场日期,入场价格,入场概率,入场仓位,出场日期,出场价格,持仓天数,盈亏
1,2023-04-19,28797.1,0.3148411714104206,0.16509492691511918,2023-10-01,27992.57,165,-0.02793788263401519
2,2023-05-15,27162.14,0.2021170002357291,0.16509492691511918,2023-11-09,36701.09,178,0.35118551042001833
3,2023-09-18,26762.51,0.5825474634575596,0.16509492691511918,2023-12-14,43022.26,87,0.6075569892360622
4,2023-10-30,34474.73,0.9030810439303605,0.806162087860721,2023-12-14,43022.26,45,0.24793609696145547
5,2023-12-11,41253.4,0.6397289453075014,0.2794578906150027,2024-01-03,42845.23,23,0.03858663770743749
6,2023-12-11,41253.4,0.7801934188560924,0.5603868377121848,2024-03-07,66823.17,87,0.619822123752224
7,2024-01-01,44179.55,0.7082902031070379,0.4165804062140759,2024-03-07,66823.17,66,0.5125362299978156
8,2024-01-12,42782.73,0.2958319607471559,0.7919761809943686,2024-08-02,61498.33,203,0.43745688973097313
9,2024-03-05,63724.01,0.8959880904971843,0.7919761809943686,2024-09-01,57301.86,180,-0.10078069474912206
10,2024-03-05,63724.01,0.9230973236341723,0.8461946472683446,2024-08-21,61156.03,169,-0.04029846834811562
11,2024-07-31,64628.0,0.6844096463089769,0.3688192926179539,2024-09-01,57301.86,32,-0.11335860617688927
13,2024-08-15,57541.06,0.7825909762173111,0.5651819524346222,2024-09-01,57301.86,17,-0.004157031518015085
15,2024-08-19,59438.5,0.7738900394761363,0.5477800789522727,2024-09-13,60498.0,25,0.017825147000681378
12,2024-08-27,59415.0,0.6934639538674916,0.3869279077349832,2024-08-23,64037.24,-4,0.07779584280063953
14,2024-08-27,59415.0,0.7602825803509038,0.5205651607018076,2024-10-14,66083.99,48,0.1122442144239671
16,2024-08-27,59415.0,0.7546440981063028,0.5092881962126057,2024-11-06,75571.99,71,0.271934528317765
18,2024-09-09,57042.0,0.8429471037218005,0.685894207443601,2024-11-06,75571.99,58,0.324848182041303
20,2024-09-30,63327.59,0.8689081883131462,0.7378163766262924,2024-11-06,75571.99,37,0.19335016538605068
17,2024-10-01,60805.78,0.6511482028244625,0.302296405648925,2024-10-01,60805.78,0,0.0
19,2024-11-03,68775.99,0.637896820786827,0.27579364157365394,2024-11-29,97460.0,26,0.4170642981656824
21,2024-11-03,68775.99,0.5818500008286407,0.16370000165728138,2024-11-27,95863.11,24,0.3938455847745702
23,2024-11-03,68775.99,0.5797154234327906,0.15943084686558118,2025-03-05,90606.01,122,0.31740757203204184
22,2024-11-25,93010.01,0.7472972337353495,0.494594467470699,2024-11-29,97460.0,4,0.047844205155982734
25,2024-11-25,93010.01,0.7469394632485777,0.4938789264971555,2025-03-05,90606.01,100,-0.025846680373435075
24,2024-11-26,91965.16,0.7264980892916891,0.45299617858337826,2025-03-14,83983.2,108,-0.0867933030291037
26,2025-02-02,97700.59,0.4849618193786215,0.7427666559845547,2025-04-06,78430.0,63,-0.19724128585098613
29,2025-02-24,91552.88,0.2638907627529006,0.5974493624128387,2025-03-24,87498.16,28,-0.044288284541130776
27,2025-03-03,86220.61,0.8713833279922774,0.7427666559845547,2025-03-05,90606.01,2,0.05086254898915693
30,2025-03-03,86220.61,0.7987246812064194,0.5974493624128387,2025-04-06,78430.0,34,-0.09035670241720628
33,2025-03-03,86220.61,0.8234884586830299,0.6469769173660598,2025-06-12,105671.73,101,0.2255971049149385
28,2025-03-09,80734.37,0.548339526292179,0.09667905258435794,2025-04-06,78430.0,28,-0.02854261450234882
31,2025-03-09,80734.37,0.400682808528579,0.06026317320988306,2025-04-08,76322.42,30,-0.05464772933757949
34,2025-03-09,80734.37,0.41589034849916146,0.2570736881821316,2025-09-01,109237.42,176,0.3530472833317459
36,2025-03-17,84010.03,0.8063770347155156,0.6127540694310312,2025-12-02,91277.88,260,0.08651169390131162
32,2025-03-29,82648.54,0.5301315866049415,0.06026317320988306,2025-06-05,101508.68,68,0.22819689252828906
35,2025-03-29,82648.54,0.6285368440910658,0.2570736881821316,2025-12-02,91277.88,248,0.10441007185365903
