序号,入场日期,入场价格,入场概率,入场仓位,出场日期,出场价格,持仓天数,盈亏
1,2025-02-02,97700.59,0.4849618193786215,0.7427666559845547,2025-04-06,78430.0,63,-0.19724128585098613
2,2025-02-24,91552.88,0.2638907627529006,0.5974493624128387,2025-03-24,87498.16,28,-0.044288284541130776
3,2025-03-03,86220.61,0.8713833279922774,0.7427666559845547,2025-03-05,90606.01,2,0.05086254898915693
4,2025-03-03,86220.61,0.7987246812064194,0.5974493624128387,2025-04-06,78430.0,34,-0.09035670241720628
5,2025-03-03,86220.61,0.8234884586830299,0.6469769173660598,2025-06-12,105671.73,101,0.2255971049149385
6,2025-03-09,80734.37,0.548339526292179,0.09667905258435794,2025-04-06,78430.0,28,-0.02854261450234882
7,2025-03-09,80734.37,0.400682808528579,0.06026317320988306,2025-04-08,76322.42,30,-0.05464772933757949
8,2025-03-09,80734.37,0.41589034849916146,0.2570736881821316,2025-09-01,109237.42,176,0.3530472833317459
9,2025-03-17,84010.03,0.8063770347155156,0.6127540694310312,2025-12-02,91277.88,260,0.08651169390131162
10,2025-03-29,82648.54,0.5301315866049415,0.06026317320988306,2025-06-05,101508.68,68,0.22819689252828906
11,2025-03-29,82648.54,0.6285368440910658,0.2570736881821316,2025-12-02,91277.88,248,0.10441007185365903
