feature,importance
price_mom_smooth_14,94
sma_200,36
vol_volatility_10,35
high_50d_dist,34
obv,33
volatility_20d,32
cvd_ma_21,30
macd,29
trades_sma_5,28
low_50d_dist,28
ema_5,25
vol_sma_50,25
stoch_k_14,24
cvd_change_21,23
ext_fgi_std_14,23
buy_pressure_ma_20,22
price_mom_smooth_24,22
ema_100,21
qvol_sma_20,21
atr_pct_21,21
volatility_10d,21
return_14d,20
vol_price_corr_20,20
cvd_change_14,20
flow_change_10d,19
volume_density_sma_10,19
low_21d_dist,19
qvol_sma_10,18
atr_14,18
obv_sma_10,18
trades_sma_20,17
price_vs_vwap_20,17
return_3d,17
macd_hist,17
cvd_ma_7,17
sma_50,17
macd_signal,15
vol_volatility_20,15
obv_sma_20,15
down_volume_proxy,15
volatility_5d,14
stoch_d_14,14
flow_momentum_5,14
ext_fgi_change_7d,14
ext_fgi_ma30,14
ema_10,13
bb_width_20,13
volume_cumsum_14,13
return_1d,12
qvol_sma_5,12
bb_pctb_20,12
volume_density,12
return_21d,12
buy_pressure_ma_5,12
cvd_change_7,11
flow_price_divergence_10,11
price_vs_vwap_10,11
cvd_ma_14,11
flow_momentum_10,10
flow_momentum_20,10
flow_price_divergence_20,10
return_5d,10
ext_fgi_ma7,10
atr_21,9
ema_200,9
avg_trade_size_sma_20,9
atr_pct_14,9
buy_pressure,8
cvd,8
volume_cumsum_24,8
trades_change_1d,8
sma_cross_5_20,7
volume_density_sma_5,7
volume_density_ma_10,7
avg_trade_size_ratio_20,7
avg_trade_size_ratio_10,7
sma_5,7
trades_change_5d,7
buy_pressure_ma_10,7
vol_change_5d,6
return_7d,6
avg_trade_size_sma_10,6
trades_ratio_10,6
trades_sma_10,6
high_14d_dist,6
price_mom_smooth_7,6
high_21d_dist,6
vol_sma_5,6
vol_sma_20,6
vol_ratio_50,6
vol_price_corr_10,6
ext_fgi,5
ext_fgi_change_14d,5
ext_fgi_price_divergence,5
avg_trade_size,5
trades_ratio_20,5
sma_100,5
bb_upper_20,5
vwap_20,5
ema_50,4
ext_fgi_ma14,4
volume_cumsum_7,4
low_14d_dist,4
vol_change_3d,4
vol_change_1d,4
flow_change_5d,3
vol_ratio_10,3
sma_20,3
bb_lower_20,3
vol_sma_10,3
avg_trade_size_ratio_5,3
trades_ratio_5,3
flow_change_3d,2
sma_10,2
ema_20,2
avg_trade_size_ma_10,2
avg_trade_size_sma_5,2
qvol_ratio_10,2
vol_ratio_20,1
qvol_ratio_5,1
volume_density_ma_5,1
avg_trade_size_ma_20,1
avg_trade_size_ma_5,1
vol_ratio_5,1
vwap_10,0
flow_change_1d,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
qvol_ratio_20,0
