feature,importance
price_mom_smooth_14,75
volatility_20d,47
ext_btc_tnx_corr_20d,43
low_21d_dist,31
return_14d,30
high_50d_dist,24
obv,23
ext_tnx_vs_ma50,21
price_vs_vwap_20,20
macd,19
vol_price_corr_10,19
buy_pressure_ma_5,19
flow_change_10d,18
ext_btc_ndx_corr_60d,18
ext_dxy_vs_ma20,18
cvd_change_21,17
low_50d_dist,17
return_3d,17
qvol_sma_10,17
ext_btc_spx_corr_20d,16
qvol_sma_20,16
ext_vix_vs_ma10,16
ext_btc_gold_corr_60d,15
ext_fr_std_14,14
ext_fr_zscore,14
vol_volatility_20,14
ext_fr_ma_14,14
buy_pressure_ma_10,14
return_1d,14
flow_momentum_10,13
ext_btc_dxy_corr_60d,13
atr_pct_21,13
ext_fr_std_30,12
bb_width_20,12
ext_dxy_vol_20d,12
trades_sma_20,12
ext_btc_ndx_corr_20d,12
cvd_change_14,12
down_volume_proxy,12
ext_btc_vix_corr_60d,11
price_mom_smooth_24,11
sma_200,11
atr_14,11
macd_signal,11
price_vs_vwap_10,11
atr_21,11
ext_vix,11
ext_gold_ret_10d,10
ext_funding_rate_max,10
ext_gold_vol_20d,10
volatility_10d,10
cvd_ma_7,10
ema_100,10
vol_price_corr_20,10
ext_fgi_std_14,10
ext_tnx_ret_20d,10
stoch_k_14,10
ext_fgi_change_14d,9
vol_volatility_10,9
cvd,9
ext_gold_vs_ma50,9
obv_sma_20,9
ext_btc_gold_corr_20d,9
ext_dxy_ret_20d,8
ext_fr_ma_30,8
ext_vix_vs_ma50,8
flow_momentum_20,8
return_7d,8
ext_ndx_vol_20d,8
macd_hist,8
trades_sma_10,8
buy_pressure_ma_20,8
ext_spx_vol_20d,7
flow_price_divergence_10,7
ext_fgi_change_7d,7
ext_btc_dxy_corr_20d,7
obv_sma_10,7
ext_btc_spx_corr_60d,7
cvd_change_7,6
flow_change_3d,6
ext_vix_ret_10d,6
cvd_ma_21,6
ext_spx_ret_1d,6
trades_sma_5,6
stoch_d_14,6
ext_ndx_vs_ma50,6
ext_ndx_ret_10d,6
ext_fgi_ma30,5
sma_5,5
ext_fr_ma_7,5
ext_fr_cumsum_14,5
ext_dxy,5
ext_dxy_ret_10d,5
ext_vix_vol_20d,5
ext_btc_vix_corr_20d,5
ext_ndx,5
ext_ndx_ret_20d,5
ext_spx_ret_20d,5
ext_spx_vs_ma20,5
ext_gold_vs_ma10,5
ext_tnx,5
ext_tnx_ret_10d,5
ext_vix_ret_20d,5
ext_btc_tnx_corr_60d,5
sma_100,5
sma_50,5
atr_pct_14,5
vol_change_3d,5
sma_cross_5_20,5
volatility_5d,5
return_21d,5
trades_ratio_5,5
volume_cumsum_7,5
qvol_sma_5,4
ema_5,4
ext_dxy_vs_ma50,4
trades_change_1d,4
ext_vix_ret_5d,4
ext_vix_vs_ma20,4
avg_trade_size_ratio_10,4
vol_change_1d,4
trades_ratio_10,4
vol_sma_10,4
ext_fgi_price_divergence,4
ext_vix_ret_1d,4
ext_dxy_ret_1d,4
ext_dxy_ret_5d,4
ema_200,4
volume_cumsum_14,4
return_5d,4
bb_pctb_20,4
ext_gold_ret_1d,4
buy_pressure,4
volume_density,4
ext_tnx_vol_20d,3
ext_dxy_vs_ma10,3
ext_tnx_vs_ma20,3
ext_tnx_ret_1d,3
vol_change_5d,3
vwap_10,3
high_14d_dist,3
ext_gold_ret_5d,3
ext_gold,3
high_21d_dist,3
ext_spx,3
ext_spx_vs_ma50,3
ext_spx_vs_ma10,3
cvd_ma_14,3
flow_momentum_5,3
flow_change_5d,3
flow_price_divergence_20,3
avg_trade_size_ratio_20,3
avg_trade_size_sma_10,3
avg_trade_size_sma_5,3
ext_funding_rate_mean,2
ext_spx_ret_5d,2
flow_change_1d,2
trades_ratio_20,2
ext_ndx_vs_ma20,2
ext_fgi_ma14,2
ext_fgi_ma7,2
ext_gold_ret_20d,2
ext_gold_vs_ma20,2
ema_50,2
volume_density_sma_10,2
low_14d_dist,2
volume_cumsum_24,2
vol_ratio_20,2
qvol_ratio_10,2
vol_ratio_50,2
trades_change_5d,2
vol_sma_20,1
avg_trade_size_ratio_5,1
sma_10,1
ema_10,1
ext_tnx_vs_ma10,1
ext_fr_cumsum_30,1
avg_trade_size_ma_5,1
avg_trade_size_ma_10,1
bb_lower_20,1
ext_ndx_ret_1d,1
vwap_20,1
avg_trade_size,1
ext_fgi,1
ext_fr_std_7,1
vol_sma_50,1
avg_trade_size_sma_20,1
ext_ndx_vs_ma10,1
vol_sma_5,1
ext_spx_ret_10d,1
ext_fr_extreme_low,0
volume_density_sma_5,0
ext_ndx_ret_5d,0
price_mom_smooth_7,0
vol_ratio_10,0
ext_fr_extreme_high,0
ext_fr_cumsum_7,0
sma_20,0
ema_20,0
ext_tnx_ret_5d,0
qvol_ratio_20,0
volume_density_ma_10,0
vol_ratio_5,0
ext_fgi_extreme_fear,0
avg_trade_size_ma_20,0
ext_funding_rate_sum,0
bb_upper_20,0
qvol_ratio_5,0
ext_funding_rate_min,0
volume_density_ma_5,0
ext_fgi_extreme_greed,0
