feature,importance
price_mom_smooth_14,145
high_50d_dist,80
return_14d,44
low_50d_dist,44
obv,42
return_3d,41
buy_pressure_ma_20,39
bb_pctb_20,37
macd,35
high_14d_dist,31
cvd_ma_7,26
vol_volatility_10,24
return_21d,23
obv_sma_10,23
trades_sma_5,21
vol_volatility_20,20
price_vs_vwap_20,20
buy_pressure_ma_5,18
atr_14,17
bb_width_20,16
down_volume_proxy,16
atr_21,15
obv_sma_20,15
macd_signal,14
volatility_5d,14
atr_pct_21,13
price_mom_smooth_7,13
volatility_10d,13
sma_200,13
stoch_k_14,13
ema_100,12
trades_sma_10,12
flow_momentum_20,12
ext_fgi_std_14,12
flow_price_divergence_10,11
cvd_change_7,11
ext_fgi_price_divergence,11
sma_cross_5_20,11
ext_fgi_ma14,11
ext_fgi_ma30,11
return_1d,11
ext_fgi_change_7d,10
high_21d_dist,10
flow_momentum_10,10
stoch_d_14,9
volatility_20d,9
cvd_change_21,9
volume_cumsum_24,9
cvd_ma_14,9
vol_change_5d,9
vol_price_corr_10,9
low_21d_dist,8
atr_pct_14,8
volume_density_sma_10,8
ext_fgi_ma7,8
vol_sma_50,8
vol_sma_20,8
flow_change_5d,8
flow_momentum_5,7
trades_change_5d,7
flow_price_divergence_20,7
avg_trade_size_ratio_5,7
trades_sma_20,7
price_mom_smooth_24,7
return_5d,7
buy_pressure_ma_10,7
cvd_change_14,7
cvd,7
ema_200,6
avg_trade_size_sma_10,6
avg_trade_size,6
return_7d,6
flow_change_10d,6
macd_hist,6
ext_fgi_change_14d,5
bb_upper_20,5
cvd_ma_21,5
avg_trade_size_sma_5,5
qvol_sma_20,5
volume_density_sma_5,5
ext_fgi,5
volume_cumsum_14,4
sma_5,4
vol_sma_10,4
avg_trade_size_sma_20,4
low_14d_dist,4
vol_price_corr_20,4
trades_ratio_10,4
price_vs_vwap_10,4
volume_density,3
buy_pressure,3
vol_ratio_50,3
vol_ratio_5,3
vol_ratio_20,3
trades_change_1d,3
ema_5,3
sma_100,2
volume_density_ma_10,2
avg_trade_size_ma_20,2
avg_trade_size_ma_10,2
bb_lower_20,2
trades_ratio_20,2
avg_trade_size_ratio_10,2
flow_change_1d,2
sma_50,1
volume_density_ma_5,1
ema_10,1
vol_sma_5,1
sma_10,1
avg_trade_size_ratio_20,1
qvol_ratio_5,1
vol_change_3d,1
flow_change_3d,1
vwap_20,1
trades_ratio_5,1
qvol_sma_10,1
vol_change_1d,1
ema_20,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
sma_20,0
vol_ratio_10,0
qvol_ratio_20,0
ema_50,0
qvol_sma_5,0
volume_cumsum_7,0
avg_trade_size_ma_5,0
vwap_10,0
qvol_ratio_10,0
