feature,importance
price_mom_smooth_14,89
high_50d_dist,34
cvd_ma_21,29
vol_volatility_10,29
return_14d,28
price_vs_vwap_20,26
atr_14,24
volatility_20d,23
sma_200,23
ext_lth_sopr_ma_30,23
cvd_change_21,23
buy_pressure_ma_20,22
macd,21
obv,21
low_50d_dist,21
bb_width_20,21
vol_price_corr_20,20
ext_sth_sopr_change_30,18
vol_sma_50,18
trades_sma_5,17
cvd_change_14,17
volume_density_sma_10,17
ext_lth_mvrv_slope_30,16
qvol_sma_10,16
atr_pct_21,16
qvol_sma_20,16
ext_lth_nupl,16
down_volume_proxy,16
ext_sth_mvrv_change_30,15
stoch_k_14,15
price_mom_smooth_24,15
obv_sma_20,15
return_3d,15
ext_sth_mvrv_slope_30,15
low_21d_dist,15
ema_100,15
volatility_10d,14
volume_density_sma_5,14
ext_lth_nupl_change_30,14
ema_200,13
ext_sth_sopr_ma_7,13
vol_price_corr_10,13
ext_lth_sopr_slope_30,12
vol_sma_5,12
ext_sth_sopr,12
ext_lth_mvrv_ma_7,12
vol_volatility_20,12
cvd_ma_7,12
buy_pressure,12
volume_cumsum_24,12
macd_signal,12
return_1d,11
obv_sma_10,11
qvol_sma_5,11
ext_sth_mvrv_ma_7,11
flow_change_10d,11
ext_sth_nupl_change_7,11
stoch_d_14,11
cvd_change_7,11
trades_sma_10,10
ext_lth_sopr_change_30,10
ext_sth_sopr_ma_30,10
ext_fgi_std_14,10
flow_momentum_5,10
atr_21,10
ext_sth_nupl_ma_30,10
ext_sth_sopr_slope_30,9
ext_lth_nupl_slope_30,9
flow_price_divergence_20,9
macd_hist,9
flow_momentum_20,9
flow_momentum_10,9
volatility_5d,9
volume_cumsum_7,9
bb_pctb_20,9
avg_trade_size_ratio_20,9
return_7d,8
atr_pct_14,8
cvd_ma_14,8
ext_sth_nupl_change_30,8
vol_change_1d,8
ext_fgi_ma30,8
ext_fgi_change_14d,8
ext_sth_nupl_ma_7,7
high_14d_dist,7
ext_lth_nupl_change_7,7
vol_ratio_50,7
ext_fgi_change_7d,7
ext_sth_mvrv,7
ext_lth_sopr_ma_7,6
cvd,6
ext_sth_nupl_slope_30,6
ext_sth_mvrv_ma_30,6
ext_lth_mvrv,6
avg_trade_size_sma_20,6
trades_sma_20,6
return_21d,6
ema_5,6
trades_ratio_20,6
sma_20,5
vol_change_5d,5
buy_pressure_ma_10,5
price_vs_vwap_10,5
ext_sth_nupl,4
trades_change_5d,4
buy_pressure_ma_5,4
ext_fgi_price_divergence,4
ext_lth_mvrv_change_30,4
ext_fgi_ma14,4
avg_trade_size_sma_5,4
ext_lth_sopr_change_7,4
avg_trade_size_sma_10,4
ext_sth_sopr_change_7,4
ext_lth_nupl_ma_30,4
flow_price_divergence_10,4
qvol_ratio_20,3
sma_cross_5_20,3
sma_100,3
trades_ratio_5,3
volume_density,3
ext_fgi_ma7,3
avg_trade_size_ratio_10,3
volume_density_ma_10,3
sma_50,3
trades_change_1d,3
volume_cumsum_14,3
ext_lth_nupl_ma_7,2
vol_ratio_10,2
flow_change_3d,2
vol_ratio_20,2
ext_sth_mvrv_change_7,2
vol_change_3d,2
return_5d,2
ext_lth_mvrv_change_7,2
avg_trade_size_ratio_5,2
ext_fgi,2
ext_lth_sopr,2
qvol_ratio_10,2
trades_ratio_10,2
bb_lower_20,1
ema_10,1
ema_20,1
ema_50,1
sma_10,1
high_21d_dist,1
vwap_20,1
avg_trade_size_ma_20,1
flow_change_5d,1
vol_sma_20,1
ext_lth_mvrv_ma_30,1
avg_trade_size,1
price_mom_smooth_7,1
qvol_ratio_5,1
vol_sma_10,1
avg_trade_size_ma_10,1
vol_ratio_5,0
flow_change_1d,0
avg_trade_size_ma_5,0
ext_fgi_extreme_greed,0
volume_density_ma_5,0
ext_fgi_extreme_fear,0
bb_upper_20,0
vwap_10,0
low_14d_dist,0
sma_5,0
