feature,importance
price_mom_smooth_14,82
volatility_20d,45
cvd_change_21,40
obv,33
high_50d_dist,32
low_50d_dist,30
flow_change_10d,29
atr_pct_21,27
trades_sma_20,26
ext_sth_sopr_ma_30,25
return_14d,24
low_21d_dist,23
ext_sth_sopr_change_30,22
ema_200,22
sma_200,21
cvd_ma_21,20
cvd_change_7,20
vol_price_corr_10,19
price_vs_vwap_20,19
obv_sma_20,19
atr_21,18
return_1d,18
vol_volatility_20,18
qvol_sma_10,18
qvol_sma_20,18
ema_100,18
volatility_10d,17
vol_volatility_10,16
macd_hist,16
ext_sth_mvrv_ma_7,16
obv_sma_10,15
avg_trade_size_ratio_5,15
ext_sth_mvrv_ma_30,15
macd,15
ext_lth_sopr_ma_30,15
qvol_sma_5,14
return_3d,14
macd_signal,13
price_vs_vwap_10,13
atr_14,13
flow_momentum_20,12
ext_sth_nupl_ma_7,12
buy_pressure_ma_5,12
ext_lth_nupl_slope_30,12
buy_pressure_ma_10,12
ext_sth_mvrv,12
bb_width_20,12
stoch_k_14,11
trades_sma_5,11
low_14d_dist,11
cvd_ma_7,11
ext_fgi_std_14,10
ext_sth_nupl_ma_30,10
volume_cumsum_7,10
stoch_d_14,10
price_mom_smooth_24,10
cvd,9
ext_sth_nupl_slope_30,9
sma_100,9
ext_lth_nupl_change_30,9
ext_lth_nupl_change_7,9
trades_sma_10,9
ext_lth_mvrv_ma_7,9
ext_lth_mvrv_change_30,9
cvd_change_14,9
flow_price_divergence_10,8
ema_50,8
ext_lth_sopr_slope_30,8
ext_sth_sopr_ma_7,8
ext_sth_sopr_slope_30,8
ext_sth_mvrv_slope_30,8
flow_momentum_10,8
ext_fgi_change_7d,8
trades_ratio_5,7
down_volume_proxy,7
return_21d,7
ext_sth_nupl_change_7,7
ext_fgi_price_divergence,7
ext_sth_sopr,7
atr_pct_14,7
bb_pctb_20,7
trades_change_1d,7
buy_pressure,7
ext_sth_nupl,7
cvd_ma_14,6
ext_lth_mvrv_ma_30,6
ext_fgi,6
ext_lth_sopr_change_30,6
sma_5,6
avg_trade_size_ratio_10,6
sma_cross_5_20,6
return_5d,6
volatility_5d,6
vol_sma_5,5
buy_pressure_ma_20,5
flow_change_5d,5
ext_lth_mvrv_slope_30,5
trades_ratio_20,5
ext_sth_mvrv_change_30,5
avg_trade_size,5
ext_lth_nupl,5
ext_fgi_ma7,5
return_7d,5
ext_sth_nupl_change_30,5
ext_lth_sopr,5
ext_lth_sopr_ma_7,5
ext_sth_sopr_change_7,5
flow_change_3d,5
vwap_10,4
ext_lth_nupl_ma_7,4
ext_sth_mvrv_change_7,4
sma_50,4
ext_lth_mvrv_change_7,4
vol_change_3d,4
vol_change_5d,4
flow_momentum_5,4
avg_trade_size_sma_20,4
ema_5,4
volume_density_sma_10,4
trades_ratio_10,4
trades_change_5d,4
price_mom_smooth_7,3
vwap_20,3
volume_density_sma_5,3
vol_price_corr_20,3
avg_trade_size_sma_10,3
high_14d_dist,3
sma_10,3
vol_sma_50,3
qvol_ratio_20,2
volume_cumsum_14,2
avg_trade_size_ratio_20,2
vol_sma_20,2
flow_change_1d,2
high_21d_dist,2
volume_cumsum_24,2
ext_lth_mvrv,2
ext_lth_sopr_change_7,2
ext_fgi_change_14d,2
volume_density,2
bb_lower_20,1
bb_upper_20,1
sma_20,1
flow_price_divergence_20,1
volume_density_ma_5,1
avg_trade_size_sma_5,1
vol_ratio_5,1
vol_change_1d,1
avg_trade_size_ma_20,1
avg_trade_size_ma_10,1
ext_fgi_ma14,1
ext_lth_nupl_ma_30,1
qvol_ratio_5,1
qvol_ratio_10,1
vol_ratio_20,1
vol_sma_10,1
vol_ratio_50,0
ext_fgi_extreme_fear,0
avg_trade_size_ma_5,0
ext_fgi_ma30,0
ema_20,0
vol_ratio_10,0
ema_10,0
volume_density_ma_10,0
ext_fgi_extreme_greed,0
