fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.9047619047619048,0.0,0.0,0.0,0.0
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8412698412698413,0.0,0.0,0.0,0.0
7,947,63,0.8412698412698413,0.0,0.0,0.0,0.0
8,968,63,1.0,0.0,0.0,0.0,
9,989,63,0.7936507936507936,0.0,0.0,0.0,0.0
10,1010,63,0.7777777777777778,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.41666666666666663
11,1031,63,0.8571428571428571,0.64,0.5,0.8888888888888888,0.5594405594405594
12,1052,63,0.9047619047619048,0.5,1.0,0.3333333333333333,0.46153846153846156
13,1073,63,1.0,0.0,0.0,0.0,
14,1094,63,0.8095238095238095,0.3333333333333333,0.2,1.0,0.27586206896551735
15,1115,63,0.7936507936507936,0.3157894736842105,0.1875,1.0,0.2561307901907356
16,1136,63,0.9365079365079365,0.6,0.42857142857142855,1.0,0.5714285714285714
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,0.9841269841269841,0.0,0.0,0.0,0.0
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.873015873015873,0.2,1.0,0.1111111111111111,0.17647058823529416
22,1262,63,0.8571428571428571,0.0,0.0,0.0,0.0
23,1283,63,0.9206349206349206,0.0,0.0,0.0,0.0
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.8571428571428571,0.6666666666666666,1.0,0.5,0.5882352941176471
30,1430,63,0.8253968253968254,0.717948717948718,0.9333333333333333,0.5833333333333334,0.6010362694300517
31,1451,63,0.9206349206349206,0.8148148148148148,1.0,0.6875,0.7664936990363231
32,1472,63,0.9523809523809523,0.8888888888888888,0.9230769230769231,0.8571428571428571,0.8586387434554974
33,1493,63,0.9523809523809523,0.8421052631578947,0.8888888888888888,0.8,0.8141592920353982
34,1514,63,0.9365079365079365,0.6,0.6,0.6,0.5655172413793104
35,1535,63,0.9523809523809523,0.5714285714285714,0.4,1.0,0.5510688836104513
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9047619047619048,0.4,1.0,0.25,0.36789297658862874
38,1598,63,0.8888888888888888,0.36363636363636365,0.6666666666666666,0.25,0.3162790697674418
39,1619,63,0.6825396825396826,0.16666666666666666,0.125,0.25,-0.0031847133757960666
40,1640,63,0.6031746031746031,0.07407407407407407,0.038461538461538464,1.0,0.04487568223165561
41,1661,63,0.5079365079365079,0.16216216216216217,0.08823529411764706,1.0,0.08180535966149494
42,1682,63,0.7301587301587301,0.45161290322580644,0.2916666666666667,1.0,0.33766233766233755
43,1703,63,0.9523809523809523,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7428571428571429
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.9523809523809523,0.7272727272727273,1.0,0.5714285714285714,0.7032967032967032
49,1829,63,0.9365079365079365,0.7777777777777778,0.6363636363636364,1.0,0.7428571428571429
50,1850,63,0.9365079365079365,0.7777777777777778,0.6363636363636364,1.0,0.7428571428571429
51,1871,63,0.873015873015873,0.0,0.0,0.0,0.0
52,1892,63,0.6190476190476191,0.2,0.1111111111111111,1.0,0.1250000000000001
