feature,importance
price_mom_smooth_14,75
volatility_20d,52
flow_change_10d,35
high_50d_dist,34
obv,28
sma_200,27
vol_price_corr_10,26
ext_fr_zscore,26
cvd_change_21,24
low_50d_dist,24
return_14d,22
ext_fr_std_14,22
obv_sma_20,21
low_21d_dist,21
macd,21
price_vs_vwap_20,20
vol_volatility_10,20
price_mom_smooth_24,20
trades_sma_20,20
ema_100,20
cvd_change_14,19
qvol_sma_5,19
ema_200,19
qvol_sma_20,18
stoch_d_14,18
atr_14,17
ext_fr_std_30,17
ext_fr_ma_14,17
buy_pressure_ma_10,16
cvd_change_7,16
vol_volatility_20,16
trades_sma_5,15
flow_momentum_20,15
buy_pressure_ma_5,15
return_3d,15
trades_sma_10,14
bb_pctb_20,14
volatility_10d,14
ext_fr_ma_30,14
ext_fgi_std_14,14
down_volume_proxy,13
cvd_ma_14,13
buy_pressure_ma_20,13
obv_sma_10,13
atr_21,13
bb_width_20,13
price_vs_vwap_10,12
qvol_sma_10,12
buy_pressure,12
cvd_ma_21,12
volatility_5d,12
low_14d_dist,12
atr_pct_21,12
return_1d,11
ext_fgi_ma7,11
volume_density_sma_10,11
avg_trade_size_ratio_5,11
stoch_k_14,11
ext_funding_rate_max,10
avg_trade_size_sma_20,9
ext_fgi_price_divergence,9
sma_100,9
trades_ratio_5,9
return_5d,9
macd_hist,8
trades_change_1d,8
volume_cumsum_7,8
volume_cumsum_14,8
cvd_ma_7,8
cvd,7
atr_pct_14,7
ext_fgi,7
macd_signal,7
flow_momentum_10,7
flow_momentum_5,6
ext_fgi_change_14d,6
ext_fr_ma_7,6
high_14d_dist,6
ext_fgi_change_7d,6
sma_50,6
return_7d,6
ext_funding_rate_min,6
sma_20,5
ema_50,5
return_21d,5
vol_price_corr_20,5
avg_trade_size,5
avg_trade_size_ratio_10,5
vol_sma_50,5
vol_change_1d,5
trades_ratio_10,5
ext_funding_rate_mean,4
ext_fr_std_7,4
sma_5,4
avg_trade_size_sma_10,4
trades_change_5d,4
vol_sma_10,4
high_21d_dist,4
avg_trade_size_ratio_20,4
trades_ratio_20,4
vwap_10,3
vol_ratio_50,3
vol_sma_20,3
qvol_ratio_20,3
vol_sma_5,3
vol_change_5d,3
avg_trade_size_sma_5,3
sma_cross_5_20,3
flow_change_5d,3
flow_price_divergence_20,3
ext_fr_cumsum_30,3
vol_change_3d,3
volume_density,2
bb_upper_20,2
ema_20,2
volume_density_sma_5,2
price_mom_smooth_7,2
avg_trade_size_ma_10,2
ema_5,2
vwap_20,2
flow_price_divergence_10,2
vol_ratio_10,1
volume_cumsum_24,1
bb_lower_20,1
flow_change_1d,1
vol_ratio_5,1
ema_10,1
avg_trade_size_ma_20,1
qvol_ratio_5,1
sma_10,1
ext_fgi_ma30,1
ext_fgi_ma14,1
volume_density_ma_10,1
flow_change_3d,1
ext_fr_cumsum_14,0
ext_fr_cumsum_7,0
ext_fr_extreme_high,0
ext_funding_rate_sum,0
volume_density_ma_5,0
qvol_ratio_10,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
vol_ratio_20,0
avg_trade_size_ma_5,0
ext_fr_extreme_low,0
