fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.8888888888888888,0.0,0.0,0.0,-0.027972027972027913
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8412698412698413,0.0,0.0,0.0,0.0
7,947,63,0.8571428571428571,0.18181818181818182,1.0,0.1,0.1575037147102527
8,968,63,0.9682539682539683,0.0,0.0,0.0,0.0
9,989,63,0.8095238095238095,0.0,0.0,0.0,0.0
10,1010,63,0.8095238095238095,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.4683544303797468
11,1031,63,0.8253968253968254,0.56,0.4375,0.7777777777777778,0.46153846153846145
12,1052,63,0.9682539682539683,0.875,1.0,0.7777777777777778,0.8571428571428572
13,1073,63,1.0,0.0,0.0,0.0,
14,1094,63,0.7936507936507936,0.3157894736842105,0.1875,1.0,0.2561307901907356
15,1115,63,0.7936507936507936,0.3157894736842105,0.1875,1.0,0.2561307901907356
16,1136,63,0.9365079365079365,0.6,0.42857142857142855,1.0,0.5714285714285714
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,1.0,0.0,0.0,0.0,
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.8571428571428571,0.0,0.0,0.0,0.0
22,1262,63,0.8571428571428571,0.0,0.0,0.0,0.0
23,1283,63,0.9206349206349206,0.0,0.0,0.0,0.0
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.7301587301587301,0.10526315789473684,1.0,0.05555555555555555,0.07751937984496138
30,1430,63,0.6666666666666666,0.36363636363636365,0.6666666666666666,0.25,0.19672131147540994
31,1451,63,0.873015873015873,0.7142857142857143,0.8333333333333334,0.625,0.6347826086956522
32,1472,63,0.8571428571428571,0.7272727272727273,0.631578947368421,0.8571428571428571,0.6334841628959276
33,1493,63,0.9523809523809523,0.8421052631578947,0.8888888888888888,0.8,0.8141592920353982
34,1514,63,0.9523809523809523,0.6666666666666666,0.75,0.6,0.6413662239089184
35,1535,63,0.9841269841269841,0.8,0.6666666666666666,1.0,0.7920792079207921
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
38,1598,63,0.9206349206349206,0.6153846153846154,0.8,0.5,0.5737483085250338
39,1619,63,0.746031746031746,0.3333333333333333,0.25,0.5,0.197452229299363
40,1640,63,0.5873015873015873,0.07142857142857142,0.037037037037037035,1.0,0.04210526315789487
41,1661,63,0.49206349206349204,0.15789473684210525,0.08571428571428572,1.0,0.0769230769230771
42,1682,63,0.7142857142857143,0.4375,0.28,1.0,0.31932773109243695
43,1703,63,0.9682539682539683,0.8571428571428571,0.75,1.0,0.8396946564885497
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.8888888888888888,0.0,0.0,0.0,0.0
49,1829,63,0.9206349206349206,0.7058823529411765,0.6,0.8571428571428571,0.6616541353383458
50,1850,63,0.9206349206349206,0.7058823529411765,0.6,0.8571428571428571,0.6616541353383458
51,1871,63,0.9682539682539683,0.0,0.0,0.0,0.0
52,1892,63,0.6507936507936508,0.15384615384615385,0.08695652173913043,0.6666666666666666,0.07600000000000007
