feature,importance
price_mom_smooth_14,90
volatility_20d,49
ext_puell_zscore_90,48
atr_pct_21,36
cvd_change_21,35
obv,32
low_50d_dist,31
return_14d,30
flow_change_10d,29
obv_sma_20,28
high_50d_dist,28
qvol_sma_20,27
low_21d_dist,26
flow_momentum_20,25
qvol_sma_5,25
volatility_10d,24
cvd_change_14,24
vol_volatility_10,23
price_vs_vwap_20,23
sma_200,22
return_1d,22
price_mom_smooth_24,20
trades_sma_20,20
macd,19
stoch_k_14,18
obv_sma_10,18
cvd_ma_21,18
price_vs_vwap_10,18
return_3d,18
cvd_ma_7,17
vol_price_corr_10,17
stoch_d_14,17
ext_fgi_std_14,17
buy_pressure_ma_10,16
atr_21,16
cvd_change_7,16
atr_14,16
avg_trade_size_ratio_5,16
vol_volatility_20,16
ema_100,15
qvol_sma_10,15
ema_200,13
down_volume_proxy,13
flow_change_3d,12
trades_sma_5,12
trades_sma_10,12
ext_fgi_ma7,12
ext_fgi_change_7d,12
low_14d_dist,12
ext_puell_slope_30,12
macd_hist,11
buy_pressure,11
sma_100,11
bb_width_20,11
volume_cumsum_7,11
cvd_ma_14,10
vol_price_corr_20,10
vol_sma_5,10
cvd,10
buy_pressure_ma_5,9
return_5d,9
ema_50,8
vol_sma_50,8
ext_fgi_price_divergence,8
ext_fgi_ma30,8
volatility_5d,8
return_7d,8
volume_density_sma_10,8
avg_trade_size_ratio_10,7
ext_fgi_change_14d,7
atr_pct_14,7
bb_pctb_20,7
trades_ratio_5,7
return_21d,7
high_21d_dist,7
ext_fgi,7
flow_momentum_10,7
trades_ratio_20,6
avg_trade_size,6
buy_pressure_ma_20,6
volume_density,6
avg_trade_size_sma_10,6
flow_momentum_5,6
sma_50,5
vol_change_1d,5
avg_trade_size_sma_20,5
macd_signal,5
volume_cumsum_24,5
flow_price_divergence_10,5
volume_cumsum_14,4
flow_price_divergence_20,4
ext_puell_slope_7,4
sma_5,4
vol_change_3d,4
vol_change_5d,4
avg_trade_size_ratio_20,4
avg_trade_size_ma_10,3
avg_trade_size_sma_5,3
bb_upper_20,3
trades_change_1d,3
trades_ratio_10,3
volume_density_sma_5,3
ema_5,3
ext_fgi_ma14,3
vol_ratio_5,3
vol_sma_10,3
volume_density_ma_10,2
flow_change_5d,2
ema_20,2
ext_puell_zscore_30,2
high_14d_dist,2
vol_ratio_10,2
vwap_10,2
vol_ratio_20,2
vol_sma_20,1
qvol_ratio_20,1
sma_10,1
flow_change_1d,1
sma_cross_5_20,1
trades_change_5d,1
ext_puell_momentum_7,1
qvol_ratio_10,0
qvol_ratio_5,0
vwap_20,0
volume_density_ma_5,0
avg_trade_size_ma_20,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
price_mom_smooth_7,0
vol_ratio_50,0
sma_20,0
ema_10,0
avg_trade_size_ma_5,0
bb_lower_20,0
