fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.8888888888888888,0.0,0.0,0.0,-0.027972027972027913
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8571428571428571,0.18181818181818182,1.0,0.1,0.1575037147102527
7,947,63,0.8412698412698413,0.0,0.0,0.0,0.0
8,968,63,1.0,0.0,0.0,0.0,
9,989,63,0.7936507936507936,0.0,0.0,0.0,0.0
10,1010,63,0.8253968253968254,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.49673202614379086
11,1031,63,0.8571428571428571,0.64,0.5,0.8888888888888888,0.5594405594405594
12,1052,63,0.9365079365079365,0.75,0.8571428571428571,0.6666666666666666,0.7142857142857143
13,1073,63,0.9682539682539683,0.0,0.0,0.0,0.0
14,1094,63,0.7619047619047619,0.2857142857142857,0.16666666666666666,1.0,0.2222222222222222
15,1115,63,0.7777777777777778,0.3,0.17647058823529413,1.0,0.23834196891191706
16,1136,63,0.9365079365079365,0.6,0.42857142857142855,1.0,0.5714285714285714
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,0.9841269841269841,0.0,0.0,0.0,0.0
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.8571428571428571,0.0,0.0,0.0,0.0
22,1262,63,0.8571428571428571,0.0,0.0,0.0,0.0
23,1283,63,0.9523809523809523,0.5714285714285714,1.0,0.4,0.5510688836104513
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.7777777777777778,0.36363636363636365,1.0,0.2222222222222222,0.2898550724637682
30,1430,63,0.8095238095238095,0.7142857142857143,0.8333333333333334,0.625,0.5757575757575757
31,1451,63,0.9365079365079365,0.8666666666666667,0.9285714285714286,0.8125,0.8252427184466019
32,1472,63,0.9047619047619048,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7244897959183674
33,1493,63,0.9365079365079365,0.7777777777777778,0.875,0.7,0.7412731006160165
34,1514,63,0.9523809523809523,0.6666666666666666,0.75,0.6,0.6413662239089184
35,1535,63,0.9682539682539683,0.6666666666666666,0.5,1.0,0.6519337016574586
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9047619047619048,0.4,1.0,0.25,0.36789297658862874
38,1598,63,0.9047619047619048,0.4,1.0,0.25,0.36789297658862874
39,1619,63,0.7301587301587301,0.2608695652173913,0.2,0.375,0.11414392059553347
40,1640,63,0.6031746031746031,0.07407407407407407,0.038461538461538464,1.0,0.04487568223165561
41,1661,63,0.47619047619047616,0.15384615384615385,0.08333333333333333,1.0,0.07228915662650592
42,1682,63,0.7301587301587301,0.45161290322580644,0.2916666666666667,1.0,0.33766233766233755
43,1703,63,0.9523809523809523,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7428571428571429
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.9365079365079365,0.6,1.0,0.42857142857142855,0.5714285714285714
49,1829,63,0.9365079365079365,0.7777777777777778,0.6363636363636364,1.0,0.7428571428571429
50,1850,63,0.9206349206349206,0.7058823529411765,0.6,0.8571428571428571,0.6616541353383458
51,1871,63,0.9841269841269841,0.0,0.0,0.0,0.0
52,1892,63,0.6984126984126984,0.17391304347826086,0.1,0.6666666666666666,0.09932279909706543
