feature,importance
price_mom_smooth_14,80
volatility_20d,58
vol_volatility_10,39
high_50d_dist,34
obv_sma_20,33
cvd_change_21,32
flow_change_10d,32
atr_pct_21,32
return_14d,30
obv,29
volatility_10d,28
ext_fgi_std_14,28
buy_pressure_ma_10,27
low_50d_dist,26
low_21d_dist,25
cvd_change_14,24
qvol_sma_20,23
qvol_sma_10,23
buy_pressure_ma_5,23
sma_200,22
cvd_ma_21,21
macd,21
atr_21,21
trades_sma_20,21
vol_price_corr_10,21
cvd_change_7,20
atr_pct_14,20
price_mom_smooth_24,20
bb_width_20,19
return_21d,18
price_vs_vwap_20,18
ema_100,17
vol_volatility_20,17
return_3d,16
return_1d,16
avg_trade_size_ratio_5,16
trades_sma_10,15
trades_sma_5,15
atr_14,15
down_volume_proxy,15
ext_fgi_change_7d,15
qvol_sma_5,14
stoch_d_14,14
cvd_ma_7,14
ext_fgi_change_14d,14
return_5d,14
stoch_k_14,13
return_7d,13
macd_hist,13
ema_200,13
flow_momentum_20,13
avg_trade_size,12
obv_sma_10,12
ext_fgi_price_divergence,12
cvd,12
vol_price_corr_20,11
volatility_5d,11
bb_pctb_20,11
flow_momentum_10,10
volume_cumsum_7,10
avg_trade_size_sma_10,10
low_14d_dist,10
price_vs_vwap_10,9
cvd_ma_14,9
high_21d_dist,9
buy_pressure,9
sma_100,9
volume_cumsum_14,8
buy_pressure_ma_20,8
sma_5,8
vol_sma_50,8
volume_density_sma_10,7
ext_fgi_ma7,7
flow_change_3d,6
high_14d_dist,6
ext_fgi,6
flow_price_divergence_10,6
avg_trade_size_ratio_10,6
vwap_10,5
macd_signal,5
avg_trade_size_sma_5,5
vwap_20,5
vol_change_5d,5
flow_price_divergence_20,5
trades_ratio_10,5
vol_sma_5,4
flow_momentum_5,4
avg_trade_size_ratio_20,4
sma_cross_5_20,4
sma_50,4
vol_ratio_50,4
avg_trade_size_sma_20,4
trades_change_5d,4
sma_10,4
ext_fgi_ma30,3
vol_ratio_10,3
trades_ratio_5,3
vol_ratio_20,3
price_mom_smooth_7,3
trades_change_1d,3
volume_density_sma_5,3
volume_density,3
vol_change_1d,3
flow_change_5d,2
ext_fgi_ma14,2
ema_5,2
avg_trade_size_ma_5,2
qvol_ratio_20,2
ema_50,2
qvol_ratio_5,2
vol_change_3d,2
vol_sma_20,2
volume_cumsum_24,2
bb_upper_20,2
volume_density_ma_10,1
ema_10,1
sma_20,1
trades_ratio_20,1
vol_sma_10,1
vol_ratio_5,1
bb_lower_20,1
flow_change_1d,1
ema_20,1
volume_density_ma_5,0
avg_trade_size_ma_20,0
avg_trade_size_ma_10,0
qvol_ratio_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
