feature,importance
price_mom_smooth_14,81
volatility_20d,56
obv,46
high_50d_dist,40
low_50d_dist,34
sma_200,33
return_14d,31
cvd_change_21,28
price_mom_smooth_24,28
flow_change_10d,27
ema_100,27
return_3d,26
low_21d_dist,25
vol_volatility_10,25
vol_price_corr_10,24
qvol_sma_20,24
atr_pct_21,24
buy_pressure_ma_10,23
volatility_10d,23
cvd_change_7,23
macd,22
price_vs_vwap_20,22
ext_fgi_std_14,22
buy_pressure,22
obv_sma_10,22
cvd_ma_7,20
buy_pressure_ma_5,20
trades_sma_20,18
trades_sma_10,18
obv_sma_20,18
avg_trade_size_ratio_5,18
ema_200,17
qvol_sma_5,17
vol_volatility_20,16
down_volume_proxy,16
return_1d,16
bb_width_20,15
atr_14,15
macd_hist,14
stoch_d_14,14
price_vs_vwap_10,14
qvol_sma_10,14
atr_pct_14,13
ext_fgi_change_7d,13
flow_momentum_20,12
cvd_ma_21,12
bb_pctb_20,12
atr_21,11
vol_sma_50,11
volume_density_sma_10,11
sma_100,10
flow_momentum_10,10
buy_pressure_ma_20,9
trades_sma_5,9
ext_fgi_ma7,9
ext_fgi_price_divergence,9
return_21d,9
volatility_5d,9
high_14d_dist,9
return_5d,8
volume_cumsum_14,8
stoch_k_14,8
avg_trade_size,8
trades_change_1d,7
sma_cross_5_20,7
cvd_change_14,7
return_7d,7
vol_price_corr_20,6
ext_fgi_ma30,6
volume_cumsum_7,6
low_14d_dist,6
sma_5,6
trades_ratio_5,6
vol_change_1d,6
flow_momentum_5,5
ext_fgi_change_14d,5
ema_20,5
ema_50,5
macd_signal,5
cvd_ma_14,5
cvd,5
volume_cumsum_24,5
flow_price_divergence_20,5
flow_price_divergence_10,5
trades_ratio_10,5
vol_sma_5,5
flow_change_1d,4
sma_50,4
avg_trade_size_ratio_10,4
avg_trade_size_ratio_20,4
ext_fgi_ma14,4
sma_10,4
vwap_10,3
volume_density,3
trades_ratio_20,3
vol_change_5d,3
vol_change_3d,3
vol_ratio_5,3
volume_density_ma_10,3
avg_trade_size_sma_20,3
high_21d_dist,3
trades_change_5d,3
sma_20,2
vol_sma_10,2
avg_trade_size_sma_5,2
flow_change_5d,2
vol_ratio_20,2
flow_change_3d,2
qvol_ratio_20,2
avg_trade_size_sma_10,2
vol_sma_20,2
bb_upper_20,1
price_mom_smooth_7,1
ext_fgi,1
bb_lower_20,1
avg_trade_size_ma_5,1
vol_ratio_50,1
ema_5,1
vwap_20,1
vol_ratio_10,1
ema_10,0
volume_density_sma_5,0
qvol_ratio_5,0
