fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.873015873015873,0.0,0.0,0.0,-0.050000000000000044
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8412698412698413,0.0,0.0,0.0,0.0
7,947,63,0.8412698412698413,0.0,0.0,0.0,0.0
8,968,63,0.9682539682539683,0.0,0.0,0.0,0.0
9,989,63,0.8095238095238095,0.0,0.0,0.0,0.0
10,1010,63,0.7619047619047619,0.4827586206896552,0.35,0.7777777777777778,0.35582822085889565
11,1031,63,0.8412698412698413,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.527027027027027
12,1052,63,0.9682539682539683,0.875,1.0,0.7777777777777778,0.8571428571428572
13,1073,63,1.0,0.0,0.0,0.0,
14,1094,63,0.7619047619047619,0.2857142857142857,0.16666666666666666,1.0,0.2222222222222222
15,1115,63,0.7777777777777778,0.3,0.17647058823529413,1.0,0.23834196891191706
16,1136,63,0.9206349206349206,0.5454545454545454,0.375,1.0,0.5116279069767442
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,1.0,0.0,0.0,0.0,
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.8571428571428571,0.0,0.0,0.0,0.0
22,1262,63,0.8571428571428571,0.0,0.0,0.0,0.0
23,1283,63,0.9206349206349206,0.0,0.0,0.0,0.0
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.8412698412698413,0.6428571428571429,0.9,0.5,0.5512820512820513
30,1430,63,0.7619047619047619,0.6511627906976745,0.7368421052631579,0.5833333333333334,0.4741235392320534
31,1451,63,0.873015873015873,0.7647058823529411,0.7222222222222222,0.8125,0.6781609195402298
32,1472,63,0.8571428571428571,0.7272727272727273,0.631578947368421,0.8571428571428571,0.6334841628959276
33,1493,63,0.9523809523809523,0.8421052631578947,0.8888888888888888,0.8,0.8141592920353982
34,1514,63,0.9523809523809523,0.6666666666666666,0.75,0.6,0.6413662239089184
35,1535,63,0.9682539682539683,0.6666666666666666,0.5,1.0,0.6519337016574586
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
38,1598,63,0.9047619047619048,0.5,0.75,0.375,0.45375722543352603
39,1619,63,0.7301587301587301,0.2608695652173913,0.2,0.375,0.11414392059553347
40,1640,63,0.6031746031746031,0.07407407407407407,0.038461538461538464,1.0,0.04487568223165561
41,1661,63,0.47619047619047616,0.15384615384615385,0.08333333333333333,1.0,0.07228915662650592
42,1682,63,0.7142857142857143,0.4375,0.28,1.0,0.31932773109243695
43,1703,63,0.9682539682539683,0.8571428571428571,0.75,1.0,0.8396946564885497
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.9523809523809523,0.7272727272727273,1.0,0.5714285714285714,0.7032967032967032
49,1829,63,0.9206349206349206,0.7368421052631579,0.5833333333333334,1.0,0.6938775510204082
50,1850,63,0.8888888888888888,0.6666666666666666,0.5,1.0,0.6086956521739131
51,1871,63,0.9523809523809523,0.0,0.0,0.0,0.0
52,1892,63,0.6507936507936508,0.08333333333333333,0.047619047619047616,0.3333333333333333,0.0
