feature,importance
price_mom_smooth_14,81
volatility_20d,56
obv,40
flow_change_10d,36
vol_volatility_20,35
qvol_sma_20,31
return_14d,31
vol_volatility_10,31
ext_fgi_std_14,30
high_50d_dist,30
obv_sma_10,28
low_50d_dist,28
cvd_ma_21,27
sma_200,27
cvd_change_21,26
vol_price_corr_10,26
avg_trade_size_ratio_5,25
price_mom_smooth_24,25
low_21d_dist,24
trades_sma_5,23
macd,23
price_vs_vwap_20,22
qvol_sma_5,22
stoch_d_14,22
atr_pct_21,22
return_3d,22
cvd_change_7,21
ema_100,21
cvd_ma_7,20
return_1d,20
bb_width_20,19
bb_pctb_20,19
atr_21,19
obv_sma_20,19
buy_pressure_ma_5,19
volatility_10d,19
trades_sma_20,18
cvd_change_14,18
buy_pressure_ma_10,18
trades_sma_10,17
ema_200,16
buy_pressure,15
vol_sma_50,15
qvol_sma_10,15
atr_14,15
sma_100,15
down_volume_proxy,14
return_7d,14
ext_fgi_change_7d,14
buy_pressure_ma_20,14
flow_momentum_20,13
trades_ratio_10,13
return_5d,13
atr_pct_14,12
volume_cumsum_7,12
macd_hist,12
ext_fgi_ma7,12
flow_momentum_10,12
volume_density_sma_10,11
low_14d_dist,11
sma_5,10
vol_price_corr_20,10
flow_change_3d,10
avg_trade_size_ratio_10,10
return_21d,10
avg_trade_size,10
volatility_5d,10
stoch_k_14,10
vwap_10,9
volume_cumsum_14,9
price_vs_vwap_10,9
macd_signal,8
vwap_20,8
ext_fgi_change_14d,7
flow_price_divergence_20,7
cvd_ma_14,7
avg_trade_size_sma_10,7
vol_change_5d,6
high_14d_dist,6
ext_fgi,6
ext_fgi_price_divergence,6
flow_price_divergence_10,5
high_21d_dist,5
avg_trade_size_sma_5,4
cvd,4
