feature,importance
price_mom_smooth_14,86
volatility_20d,62
obv,52
ema_100,43
obv_sma_20,38
cvd_change_21,37
buy_pressure_ma_10,36
flow_change_10d,36
atr_14,35
atr_pct_21,35
vol_volatility_10,33
sma_200,32
trades_sma_20,31
return_3d,30
return_14d,29
obv_sma_10,29
bb_width_20,28
return_1d,28
low_21d_dist,28
trades_sma_5,27
vol_price_corr_10,27
ext_fgi_std_14,27
high_50d_dist,27
low_50d_dist,27
qvol_sma_20,26
price_vs_vwap_20,26
ema_200,26
volatility_10d,26
cvd_change_14,25
vol_volatility_20,25
macd,24
volume_cumsum_7,24
flow_momentum_20,24
ext_fgi_price_divergence,23
avg_trade_size,23
qvol_sma_5,22
cvd_ma_21,21
cvd_change_7,21
cvd_ma_7,21
price_mom_smooth_24,21
stoch_d_14,21
avg_trade_size_ratio_5,20
atr_21,20
trades_sma_10,20
qvol_sma_10,18
stoch_k_14,17
return_7d,16
volatility_5d,14
return_21d,14
flow_momentum_10,14
bb_pctb_20,13
macd_hist,13
down_volume_proxy,13
ext_fgi_change_14d,13
atr_pct_14,13
vol_price_corr_20,13
cvd,10
avg_trade_size_sma_10,10
return_5d,10
ext_fgi_change_7d,10
buy_pressure_ma_5,9
low_14d_dist,5
