fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.9047619047619048,0.0,0.0,0.0,0.0
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8412698412698413,0.0,0.0,0.0,0.0
7,947,63,0.8412698412698413,0.0,0.0,0.0,0.0
8,968,63,0.9682539682539683,0.0,0.0,0.0,0.0
9,989,63,0.8253968253968254,0.0,0.0,0.0,0.0
10,1010,63,0.8095238095238095,0.5714285714285714,0.42105263157894735,0.8888888888888888,0.4683544303797468
11,1031,63,0.8412698412698413,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.527027027027027
12,1052,63,0.8888888888888888,0.36363636363636365,1.0,0.2222222222222222,0.3287671232876711
13,1073,63,1.0,0.0,0.0,0.0,
14,1094,63,0.8095238095238095,0.3333333333333333,0.2,1.0,0.27586206896551735
15,1115,63,0.8095238095238095,0.3333333333333333,0.2,1.0,0.27586206896551735
16,1136,63,0.9206349206349206,0.5454545454545454,0.375,1.0,0.5116279069767442
17,1157,63,0.9841269841269841,0.0,0.0,0.0,0.0
18,1178,63,0.9841269841269841,0.0,0.0,0.0,0.0
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.8888888888888888,0.36363636363636365,1.0,0.2222222222222222,0.3287671232876711
22,1262,63,0.9047619047619048,0.5,1.0,0.3333333333333333,0.46153846153846156
23,1283,63,0.9523809523809523,0.5714285714285714,1.0,0.4,0.5510688836104513
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.8888888888888888,0.8,0.8235294117647058,0.7777777777777778,0.7231638418079096
30,1430,63,0.8253968253968254,0.7317073170731707,0.8823529411764706,0.625,0.6078098471986418
31,1451,63,0.9523809523809523,0.9142857142857143,0.8421052631578947,1.0,0.8816530995616781
32,1472,63,0.873015873015873,0.75,0.6666666666666666,0.8571428571428571,0.6666666666666667
33,1493,63,0.9365079365079365,0.7777777777777778,0.875,0.7,0.7412731006160165
34,1514,63,0.9523809523809523,0.6666666666666666,0.75,0.6,0.6413662239089184
35,1535,63,0.9841269841269841,0.8,0.6666666666666666,1.0,0.7920792079207921
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9523809523809523,0.7692307692307693,1.0,0.625,0.7442489851150202
38,1598,63,0.9365079365079365,0.7142857142857143,0.8333333333333334,0.625,0.6793893129770993
39,1619,63,0.7142857142857143,0.35714285714285715,0.25,0.625,0.21468144044321313
40,1640,63,0.5238095238095238,0.0625,0.03225806451612903,1.0,0.032753326509723735
41,1661,63,0.49206349206349204,0.15789473684210525,0.08571428571428572,1.0,0.0769230769230771
42,1682,63,0.746031746031746,0.4666666666666667,0.30434782608695654,1.0,0.3571428571428571
43,1703,63,0.9523809523809523,0.8,0.6666666666666666,1.0,0.7741935483870968
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.9365079365079365,0.6,1.0,0.42857142857142855,0.5714285714285714
49,1829,63,0.9523809523809523,0.8235294117647058,0.7,1.0,0.7969924812030076
50,1850,63,0.9365079365079365,0.75,0.6666666666666666,0.8571428571428571,0.7142857142857143
51,1871,63,0.9523809523809523,0.0,0.0,0.0,0.0
52,1892,63,0.6666666666666666,0.08695652173913043,0.05,0.3333333333333333,0.004514672686230181
