feature,importance
price_mom_smooth_14,140
high_50d_dist,88
low_50d_dist,55
return_3d,45
bb_pctb_20,45
obv,43
return_14d,34
macd,33
buy_pressure_ma_20,31
high_14d_dist,29
vol_volatility_10,26
cvd_ma_7,23
return_21d,23
obv_sma_10,22
vol_volatility_20,22
down_volume_proxy,20
volatility_5d,20
volume_cumsum_24,19
ema_100,19
volume_density_sma_5,17
price_mom_smooth_7,17
flow_price_divergence_10,17
buy_pressure_ma_5,16
atr_21,16
trades_sma_5,16
obv_sma_20,16
return_1d,16
stoch_k_14,15
avg_trade_size,15
ext_fgi_ma30,15
price_vs_vwap_20,15
low_21d_dist,14
trades_sma_10,14
flow_momentum_10,14
volume_density_sma_10,14
vol_change_5d,14
bb_width_20,14
ext_fgi_ma7,14
sma_200,13
macd_signal,13
return_5d,12
flow_momentum_5,12
stoch_d_14,12
flow_price_divergence_20,12
atr_14,11
volatility_10d,11
cvd_change_7,10
atr_pct_21,10
trades_sma_20,10
price_mom_smooth_24,10
avg_trade_size_sma_10,10
flow_change_10d,10
ext_fgi_ma14,9
buy_pressure_ma_10,9
ext_fgi_price_divergence,9
avg_trade_size_ratio_5,9
ema_200,9
vol_sma_20,9
high_21d_dist,9
bb_upper_20,9
cvd_change_21,8
volatility_20d,8
ext_fgi_std_14,8
cvd,8
cvd_change_14,8
cvd_ma_21,8
ext_fgi_change_14d,6
sma_cross_5_20,6
flow_momentum_20,6
vol_sma_50,6
trades_change_5d,6
avg_trade_size_sma_5,6
flow_change_5d,5
return_7d,5
cvd_ma_14,5
vol_price_corr_10,5
ext_fgi_change_7d,5
atr_pct_14,4
qvol_sma_20,4
macd_hist,3
ext_fgi,1
