feature,importance
price_mom_smooth_14,111
obv,80
volatility_20d,79
sma_200,72
ext_puell_zscore_90,63
trades_sma_20,63
vol_volatility_10,60
high_50d_dist,58
low_21d_dist,57
flow_change_10d,54
cvd_change_21,51
obv_sma_20,50
atr_21,48
buy_pressure_ma_10,47
volatility_10d,47
qvol_sma_10,47
low_50d_dist,46
cvd_change_14,43
ext_fgi_std_14,42
buy_pressure_ma_5,41
qvol_sma_20,39
return_14d,37
cvd_ma_21,36
atr_pct_21,36
vol_price_corr_10,33
macd,31
price_mom_smooth_24,27
cvd_change_7,25
atr_pct_14,24
ext_puell_slope_7,20
ext_puell_slope_30,14
ext_puell_zscore_30,11
ext_puell_momentum_7,7
