fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.9047619047619048,0.0,0.0,0.0,0.0
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8888888888888888,0.46153846153846156,1.0,0.3,0.4189723320158103
7,947,63,0.9047619047619048,0.5714285714285714,1.0,0.4,0.5286783042394015
8,968,63,0.9841269841269841,0.0,0.0,0.0,0.0
9,989,63,0.746031746031746,0.0,0.0,0.0,0.0
10,1010,63,0.7301587301587301,0.48484848484848486,0.3333333333333333,0.8888888888888888,0.3497267759562842
11,1031,63,0.8412698412698413,0.6153846153846154,0.47058823529411764,0.8888888888888888,0.527027027027027
12,1052,63,0.9206349206349206,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.6236559139784945
13,1073,63,1.0,0.0,0.0,0.0,
14,1094,63,0.7777777777777778,0.3,0.17647058823529413,1.0,0.23834196891191706
15,1115,63,0.7936507936507936,0.3157894736842105,0.1875,1.0,0.2561307901907356
16,1136,63,0.9047619047619048,0.5,0.3333333333333333,1.0,0.46153846153846156
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,0.9841269841269841,0.0,0.0,0.0,0.0
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.5,0.5,0.5,0.4661016949152542
21,1241,63,0.9206349206349206,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.6236559139784945
22,1262,63,0.9206349206349206,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.6236559139784945
23,1283,63,0.9682539682539683,0.75,1.0,0.6,0.7341772151898733
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.873015873015873,0.3333333333333333,1.0,0.2,0.2960893854748603
27,1367,63,0.8888888888888888,0.46153846153846156,1.0,0.3,0.4189723320158103
28,1388,63,0.7936507936507936,0.43478260869565216,1.0,0.2777777777777778,0.35460992907801425
29,1409,63,0.8571428571428571,0.7272727272727273,0.8,0.6666666666666666,0.631578947368421
30,1430,63,0.8253968253968254,0.8135593220338984,0.6857142857142857,1.0,0.6597938144329898
31,1451,63,0.9047619047619048,0.8421052631578947,0.7272727272727273,1.0,0.7763313609467455
32,1472,63,0.873015873015873,0.75,0.6666666666666666,0.8571428571428571,0.6666666666666667
33,1493,63,0.9523809523809523,0.8421052631578947,0.8888888888888888,0.8,0.8141592920353982
34,1514,63,0.9523809523809523,0.6666666666666666,0.75,0.6,0.6413662239089184
35,1535,63,0.9841269841269841,0.8,0.6666666666666666,1.0,0.7920792079207921
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
38,1598,63,0.9365079365079365,0.6666666666666666,1.0,0.5,0.6358381502890174
39,1619,63,0.7777777777777778,0.36363636363636365,0.2857142857142857,0.5,0.24096385542168663
40,1640,63,0.6825396825396826,0.09090909090909091,0.047619047619047616,1.0,0.06250000000000011
41,1661,63,0.49206349206349204,0.15789473684210525,0.08571428571428572,1.0,0.0769230769230771
42,1682,63,0.6984126984126984,0.42424242424242425,0.2692307692307692,1.0,0.30204081632653057
43,1703,63,0.9523809523809523,0.8,0.6666666666666666,1.0,0.7741935483870968
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9365079365079365,0.0,0.0,0.0,-0.032786885245901676
47,1787,63,0.9365079365079365,0.0,0.0,0.0,-0.032786885245901676
48,1808,63,0.9682539682539683,0.8333333333333334,1.0,0.7142857142857143,0.8163265306122449
49,1829,63,0.9206349206349206,0.7368421052631579,0.5833333333333334,1.0,0.6938775510204082
50,1850,63,0.8888888888888888,0.6666666666666666,0.5,1.0,0.6086956521739131
51,1871,63,0.9365079365079365,0.0,0.0,0.0,0.0
52,1892,63,0.7142857142857143,0.25,0.14285714285714285,1.0,0.18181818181818177
