feature,importance
price_mom_smooth_14,94
sma_200,82
volatility_20d,67
low_21d_dist,67
cvd_change_21,63
obv,60
flow_change_10d,59
high_50d_dist,57
atr_21,55
ext_fgi_std_14,49
return_14d,49
buy_pressure_ma_5,48
buy_pressure_ma_10,47
volatility_10d,45
vol_volatility_10,44
trades_sma_20,43
qvol_sma_20,43
low_50d_dist,42
qvol_sma_10,42
obv_sma_20,36
macd,33
cvd_ma_21,32
ext_sopr_data_slope_30,31
cvd_change_14,30
ext_cdd_terminal_ajusted_slope_30,29
ext_cdd_slope_30,27
price_mom_smooth_24,27
atr_pct_14,25
cvd_change_7,24
atr_pct_21,24
ext_cdd_slope_7,21
vol_price_corr_10,19
ext_cdd_terminal_ajusted_zscore_90,17
ext_sopr_data_momentum_7,12
ext_cdd_zscore_30,12
ext_cdd_momentum_7,12
ext_sopr_data_zscore_90,10
ext_sopr_data_slope_7,10
ext_sopr_data_zscore_30,10
ext_cdd_terminal_ajusted_momentum_7,10
ext_cdd_zscore_90,9
ext_cdd_terminal_ajusted_zscore_30,7
ext_cdd_terminal_ajusted_slope_7,7
