feature,importance
sma_200,360
obv,342
price_vs_sma_200,296
sma_cross_50_200,292
atr_pct_14,266
vol_volatility_20,243
low_50d_dist,218
vol_sma_50,216
ema_200,204
atr_pct_21,199
trades_sma_20,194
vol_price_corr_20,185
buy_pressure_ma_20,179
ema_5,170
ext_fgi_ma30,164
avg_trade_size_sma_10,164
sma_100,164
avg_trade_size_sma_20,163
flow_momentum_20,163
price_vs_sma_50,156
cvd_change_21,154
volume_cumsum_14,152
ext_fgi_ma14,149
macd_signal,148
vol_volatility_10,140
volatility_10d,138
obv_sma_20,137
vol_price_corr_10,136
ext_fgi_ma7,134
bb_width_20,132
ext_fgi_std_14,131
obv_sma_10,130
sma_cross_10_50,128
high_50d_dist,127
qvol_sma_20,126
rsi_28,126
macd,123
cvd_ma_21,123
volume_cumsum_24,122
bb_upper_20,121
return_1d,119
low_14d_dist,118
volatility_20d,117
return_5d,116
cvd_ma_7,116
return_21d,115
volatility_5d,108
trades_sma_10,104
cvd_change_14,103
volume_density_sma_10,103
bb_lower_20,99
macd_hist,97
avg_trade_size_ratio_20,92
buy_pressure_ma_10,91
atr_21,90
atr_14,89
low_21d_dist,88
cvd_ma_14,86
flow_price_divergence_20,86
high_14d_dist,83
cvd,81
sma_5,79
down_volume_proxy,78
sma_50,77
ema_100,75
qvol_sma_10,75
rsi_14,75
cvd_change_7,74
buy_pressure,74
price_mom_smooth_24,73
sma_cross_5_20,73
vol_sma_20,73
avg_trade_size_sma_5,73
high_21d_dist,72
trades_sma_5,71
rsi_6,71
flow_momentum_10,71
ema_50,71
ext_fgi_change_14d,70
stoch_d_14,69
ema_10,69
vol_ratio_50,66
volume_density_sma_5,66
price_vs_vwap_10,64
price_vs_sma_20,63
ext_fgi_change_7d,58
return_3d,57
flow_momentum_5,57
vol_sma_5,57
trades_ratio_20,56
stoch_k_14,55
return_14d,55
ema_20,54
buy_pressure_ma_5,54
qvol_sma_5,54
trades_change_1d,53
vwap_20,52
ext_fgi_price_divergence,50
vol_sma_10,50
volume_density,49
sma_20,48
avg_trade_size,47
sma_10,46
vol_ratio_20,45
price_vs_vwap_20,44
vwap_10,44
flow_price_divergence_10,44
price_mom_smooth_14,43
ext_fgi,42
return_7d,39
avg_trade_size_ratio_10,38
bb_pctb_20,37
volume_cumsum_7,36
trades_change_5d,36
vol_change_3d,33
avg_trade_size_ma_20,32
flow_change_10d,31
avg_trade_size_ratio_5,31
trades_ratio_10,29
flow_change_3d,27
price_mom_smooth_7,26
vol_change_1d,25
avg_trade_size_ma_10,25
vol_ratio_5,21
qvol_ratio_5,20
qvol_ratio_20,19
volume_density_ma_10,17
qvol_ratio_10,16
vol_ratio_10,16
flow_change_1d,16
vol_change_5d,14
flow_change_5d,13
volume_density_ma_5,12
avg_trade_size_ma_5,12
trades_ratio_5,11
ext_fgi_extreme_fear,1
ext_fgi_extreme_greed,1
