feature,importance
dist_from_low_365d,825
vol_volatility_20,710
dist_from_low_90d,647
dist_from_low_180d,564
vix_proxy_change_7,516
obv,515
low_50d_dist,500
vix_proxy_60,461
dist_from_high_30d,459
obv_sma_20,445
vol_volatility_10,425
sma_cross_50_200,417
trades_sma_20,404
vol_price_corr_20,395
dist_from_low_30d,386
obv_sma_10,382
return_1d,379
vol_sma_20,365
sma_200,365
high_14d_dist,358
dist_from_high_90d,354
price_vs_sma_200,349
fgi_ma_14,343
flow_momentum_20,341
low_21d_dist,340
gtrend_proxy,334
volatility_5d,332
flow_momentum_5,330
macd_hist,329
dist_from_high_180d,327
trades_sma_10,309
vix_proxy_14,301
flow_momentum_10,297
rsi_28,293
volatility_20d,289
atr_pct_21,288
atr_21,286
liquidity_proxy,285
vol_sma_50,274
price_vs_sma_50,274
return_5d,265
high_50d_dist,259
sma_100,258
vol_price_corr_10,254
flow_change_10d,251
trades_sma_5,239
qvol_sma_20,238
gtrend_proxy_ma_14,236
bb_width_20,233
price_vs_vwap_10,231
dist_from_high_365d,230
ema_100,229
vix_proxy_30,225
sma_cross_5_20,225
fgi,217
trades_change_1d,215
volatility_10d,213
sma_cross_10_50,211
low_14d_dist,211
ema_200,206
rsi_6,203
sma_50,203
bb_pctb_20,201
stoch_k_14,201
return_3d,193
high_21d_dist,188
flow_price_divergence_20,187
ema_5,186
fgi_ma_7,181
macd_signal,177
stoch_d_14,173
atr_pct_14,172
return_21d,167
vol_sma_10,167
atr_14,167
avg_trade_size_sma_20,161
return_7d,161
volume_density_sma_10,160
avg_trade_size_ratio_20,160
vol_change_1d,157
flow_change_5d,156
vol_change_5d,156
bb_upper_20,154
avg_trade_size_sma_10,153
trades_ratio_20,152
volume_density,152
vol_change_3d,144
vol_ratio_50,144
macd,141
qvol_sma_5,137
flow_price_divergence_10,131
avg_trade_size_ratio_5,126
return_14d,124
avg_trade_size_ratio_10,121
volume_density_sma_5,120
sma_20,120
rsi_14,120
qvol_sma_10,113
vol_sma_5,111
trades_ratio_5,110
flow_change_3d,106
avg_trade_size,104
vol_ratio_5,102
ema_20,101
sma_5,101
avg_trade_size_sma_5,101
trades_ratio_10,95
trades_change_5d,92
ema_50,91
price_vs_sma_20,90
flow_change_1d,83
volume_spike_30,78
price_vs_vwap_20,70
vol_ratio_10,66
qvol_ratio_10,64
bb_lower_20,64
vol_ratio_20,63
qvol_ratio_5,62
qvol_ratio_20,54
consecutive_up_days,49
sma_10,48
ema_10,39
vwap_10,36
vwap_20,35
consecutive_down_days,15
volume_spike_10,9
fgi_extreme_greed,0
fgi_extreme_fear,0
