fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,0.0
1,842,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.0
2,884,63,0.4444444444444444,0.5569620253164557,0.7096774193548387,0.4583333333333333,-0.10194902548725637
3,926,63,0.5238095238095238,0.53125,0.9444444444444444,0.3695652173913043,0.20454545454545436
4,968,63,0.6507936507936508,0.7317073170731707,0.6,0.9375,0.29501525940996953
5,1010,63,0.4603174603174603,0.6136363636363636,0.47368421052631576,0.8709677419354839,-0.06567164179104479
6,1052,63,0.6031746031746031,0.13793103448275862,0.18181818181818182,0.1111111111111111,-0.10062893081761004
7,1094,63,0.7777777777777778,0.7407407407407407,0.625,0.9090909090909091,0.5576730190571715
8,1136,63,0.49206349206349204,0.30434782608695654,0.3888888888888889,0.25,-0.06666666666666665
9,1178,63,0.36507936507936506,0.3548387096774194,0.2894736842105263,0.4583333333333333,-0.21037463976945237
10,1220,63,0.3333333333333333,0.08695652173913043,0.2,0.05555555555555555,-0.2148760330578514
11,1262,63,0.30158730158730157,0.15384615384615385,0.21052631578947367,0.12121212121212122,-0.370919881305638
12,1304,63,0.5396825396825397,0.6133333333333333,0.6571428571428571,0.575,0.050909090909090904
13,1346,63,0.38095238095238093,0.3157894736842105,0.391304347826087,0.2647058823529412,-0.21213616181549066
14,1388,63,0.5396825396825397,0.17142857142857143,0.6,0.1,0.04094488188976386
15,1430,63,0.6666666666666666,0.8,0.6666666666666666,1.0,0.0
16,1472,63,0.6349206349206349,0.7766990291262136,0.6349206349206349,1.0,0.0
17,1514,63,0.49206349206349204,0.6,0.5,0.75,-0.024390243902439046
18,1556,63,0.6190476190476191,0.7073170731707317,0.6904761904761905,0.725,0.16279069767441867
19,1598,63,0.6031746031746031,0.7252747252747253,0.673469387755102,0.7857142857142857,0.02597402597402587
20,1640,63,0.47619047619047616,0.49230769230769234,0.37209302325581395,0.7272727272727273,0.0562868815251929
21,1682,63,0.3968253968253968,0.5581395348837209,0.3870967741935484,1.0,0.019656019656019597
22,1724,63,0.5396825396825397,0.2564102564102564,0.2777777777777778,0.23809523809523808,-0.07407407407407418
23,1766,63,0.5555555555555556,0.0,0.0,0.0,0.0
24,1808,63,0.4126984126984127,0.0975609756097561,0.5,0.05405405405405406,-0.01923917796239616
25,1850,63,0.7301587301587301,0.6909090909090909,0.7916666666666666,0.6129032258064516,0.45827010622154774
26,1892,63,0.6349206349206349,0.7012987012987013,0.54,1.0,0.32635983263598334
27,1934,63,0.38095238095238093,0.5063291139240507,0.4166666666666667,0.6451612903225806,-0.22788605697151443
