fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.5396825396825397,0.12121212121212122,1.0,0.06451612903225806,0.06547314578005115
1,821,63,0.5238095238095238,0.16666666666666666,0.75,0.09375,0.060636182902584546
2,842,63,0.6984126984126984,0.6122448979591837,0.8823529411764706,0.46875,0.40120060030015003
3,863,63,0.5555555555555556,0.4166666666666667,1.0,0.2631578947368421,0.2208480565371025
4,884,63,0.7142857142857143,0.6086956521739131,1.0,0.4375,0.43356643356643354
5,905,63,0.6031746031746031,0.5901639344262295,1.0,0.4186046511627907,0.3137254901960784
6,926,63,0.6825396825396826,0.7058823529411765,1.0,0.5454545454545454,0.41988950276243087
7,947,63,0.7142857142857143,0.7692307692307693,1.0,0.625,0.4424778761061947
8,968,63,0.7936507936507936,0.8169014084507042,0.8529411764705882,0.7837837837837838,0.5815022994379151
9,989,63,0.746031746031746,0.5294117647058824,0.6428571428571429,0.45,0.36283185840707965
10,1010,63,0.7619047619047619,0.4444444444444444,0.5454545454545454,0.375,0.29948109710896953
11,1031,63,0.8253968253968254,0.7924528301886793,0.9545454545454546,0.6774193548387096,0.649113924050633
12,1052,63,0.8412698412698413,0.7727272727272727,1.0,0.6296296296296297,0.6601941747572816
13,1073,63,0.9365079365079365,0.8666666666666667,1.0,0.7647058823529411,0.8259668508287292
14,1094,63,0.9841269841269841,0.9333333333333333,1.0,0.875,0.9243697478991597
15,1115,63,0.7619047619047619,0.6511627906976745,1.0,0.4827586206896552,0.5018450184501846
16,1136,63,0.6825396825396826,0.7058823529411765,1.0,0.5454545454545454,0.41988950276243087
17,1157,63,0.6984126984126984,0.8041237113402062,1.0,0.6724137931034483,0.2457466918714556
18,1178,63,0.8888888888888888,0.9345794392523364,1.0,0.8771929824561403,0.5763688760806918
19,1199,63,0.9365079365079365,0.9666666666666667,0.9354838709677419,1.0,0.3152173913043479
20,1220,63,0.9206349206349206,0.946236559139785,0.9166666666666666,0.9777777777777777,0.7953216374269005
21,1241,63,0.8412698412698413,0.8863636363636364,0.8478260869565217,0.9285714285714286,0.625
22,1262,63,0.8888888888888888,0.9263157894736842,0.8979591836734694,0.9565217391304348,0.7014218009478672
23,1283,63,0.9841269841269841,0.9914529914529915,1.0,0.9830508474576272,0.8804554079696395
24,1304,63,0.7619047619047619,0.8514851485148515,1.0,0.7413793103448276,0.31272727272727263
25,1325,63,0.5396825396825397,0.6027397260273972,0.9565217391304348,0.44,0.20530665506742063
26,1346,63,0.2222222222222222,0.07547169811320754,0.6666666666666666,0.04,-0.015794669299111552
27,1367,63,0.3492063492063492,0.0,0.0,0.0,0.0
28,1388,63,0.5396825396825397,0.2926829268292683,1.0,0.17142857142857143,0.15533980582524276
29,1409,63,0.873015873015873,0.8709677419354839,0.9642857142857143,0.7941176470588235,0.7482517482517483
30,1430,63,0.9523809523809523,0.967032967032967,0.9777777777777777,0.9565217391304348,0.8813559322033898
31,1451,63,0.9523809523809523,0.9714285714285714,0.9622641509433962,0.9807692307692307,0.828649138712602
32,1472,63,0.9682539682539683,0.9814814814814815,0.9636363636363636,1.0,0.8706365503080082
33,1493,63,0.9523809523809523,0.9719626168224299,0.9454545454545454,1.0,0.8148873653281097
34,1514,63,0.9682539682539683,0.9833333333333333,0.9672131147540983,1.0,0.6519337016574586
35,1535,63,0.9841269841269841,0.9915966386554622,0.9833333333333333,1.0,0.8489208633093526
36,1556,63,0.9365079365079365,0.9672131147540983,0.9365079365079365,1.0,0.0
37,1577,63,0.8412698412698413,0.9038461538461539,0.8245614035087719,1.0,0.4723618090452262
38,1598,63,0.8571428571428571,0.912621359223301,0.8392857142857143,1.0,0.5371428571428571
39,1619,63,0.6507936507936508,0.7317073170731707,0.5769230769230769,1.0,0.32258064516129026
40,1640,63,0.873015873015873,0.8918918918918919,0.868421052631579,0.9166666666666666,0.7383177570093458
41,1661,63,0.8412698412698413,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6818181818181819
42,1682,63,0.9047619047619048,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.7244897959183674
43,1703,63,0.9047619047619048,0.9444444444444444,0.9807692307692307,0.9107142857142857,0.6142857142857143
44,1724,63,0.9841269841269841,0.9902912621359223,1.0,0.9807692307692307,0.9468354430379747
45,1745,63,0.9206349206349206,0.9411764705882353,1.0,0.8888888888888888,0.8205128205128205
46,1766,63,0.9206349206349206,0.9411764705882353,1.0,0.8888888888888888,0.8205128205128205
47,1787,63,0.8888888888888888,0.9135802469135802,1.0,0.8409090909090909,0.7612344342176502
48,1808,63,0.9365079365079365,0.9333333333333333,0.9655172413793104,0.9032258064516129,0.8728557013118062
49,1829,63,0.9047619047619048,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.7947882736156352
50,1850,63,0.8412698412698413,0.782608695652174,0.6428571428571429,1.0,0.6666666666666667
51,1871,63,0.6984126984126984,0.6779661016949152,0.5128205128205128,1.0,0.44506258692628653
52,1892,63,0.6984126984126984,0.4864864864864865,0.3333333333333333,0.9,0.3316582914572864
53,1913,63,0.7777777777777778,0.7666666666666667,0.6388888888888888,0.9583333333333334,0.5701754385964912
54,1934,63,0.8412698412698413,0.8333333333333334,0.7352941176470589,0.9615384615384616,0.6868787276341948
55,1955,63,0.7142857142857143,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.4473684210526315
