feature,importance
rsi_14,61
price_vs_sma_50,61
volatility_20d,36
qvol_sma_10,35
obv,33
price_vs_sma_200,33
trades_sma_20,29
funding_rate_24,23
buy_pressure_ma_10,23
volatility_10d,23
sma_200,23
trades_sma_5,22
sma_cross_50_200,20
cvd_ma_21,20
qvol_sma_20,20
atr_pct_21,20
obv_sma_20,20
ema_200,19
vol_volatility_20,19
vol_change_5d,19
flow_change_10d,18
cvd_change_21,18
qvol_sma_5,18
low_21d_dist,18
volume_density_sma_10,17
ema_100,17
stoch_k_14,16
atr_14,16
cvd_change_7,16
ext_fgi_std_14,16
trades_sma_10,16
cvd_change_14,16
return_14d,15
vol_price_corr_10,15
price_vs_vwap_10,15
vol_sma_5,14
low_50d_dist,14
bb_width_20,13
sma_100,13
sma_cross_10_50,12
rsi_28,12
cvd,12
flow_momentum_5,11
low_14d_dist,11
return_5d,11
return_3d,11
obv_sma_10,11
vol_sma_50,10
return_7d,10
vol_volatility_10,10
sma_cross_5_20,10
bb_pctb_20,10
cvd_ma_14,9
stoch_d_14,9
high_50d_dist,9
ext_fgi_change_7d,9
flow_price_divergence_10,9
return_1d,9
rsi_6,9
flow_momentum_10,9
open_interest_24,9
atr_pct_14,8
buy_pressure_ma_20,8
price_vs_vwap_20,8
macd_hist,8
open_interest_14,8
funding_rate_14,8
avg_trade_size_sma_10,8
trades_change_1d,7
flow_momentum_20,7
ext_fgi_price_divergence,7
high_21d_dist,7
vol_sma_10,7
macd_signal,7
vol_price_corr_20,7
sma_5,6
buy_pressure,6
cvd_ma_7,6
return_21d,6
vwap_20,6
ext_fgi_change_14d,6
avg_trade_size_ratio_5,5
open_interest_7,5
volume_density_ma_10,5
trades_change_5d,5
macd,5
trades_ratio_5,5
ema_50,5
sma_50,4
atr_21,4
flow_price_divergence_20,4
sma_10,4
stablecoin_inflow_proxy,4
trades_ratio_10,4
buy_pressure_ma_5,4
volatility_5d,4
avg_trade_size_sma_5,4
avg_trade_size,4
ext_fgi_ma30,3
sma_20,3
bb_lower_20,3
avg_trade_size_ma_20,3
ext_fgi_ma7,3
ext_fgi_ma14,3
funding_rate_7,3
vol_ratio_20,3
vol_change_3d,3
vol_ratio_50,3
flow_change_1d,2
vol_change_1d,2
avg_trade_size_ratio_10,2
avg_trade_size_sma_20,2
avg_trade_size_ratio_20,2
qvol_ratio_5,2
bb_upper_20,2
price_vs_sma_20,1
flow_change_3d,1
vwap_10,1
qvol_ratio_20,1
volume_density_sma_5,1
ema_5,1
vol_sma_20,1
flow_change_5d,1
high_14d_dist,0
avg_trade_size_ma_5,0
avg_trade_size_ma_10,0
vol_ratio_5,0
ema_20,0
trades_ratio_20,0
ext_fgi,0
volume_density,0
vol_ratio_10,0
ema_10,0
qvol_ratio_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
volume_density_ma_5,0
