fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.8888888888888888,0.0,0.0,0.0,-0.027972027972027913
1,821,63,0.9047619047619048,0.0,0.0,0.0,0.0
2,842,63,0.7777777777777778,0.0,0.0,0.0,0.0
3,863,63,0.873015873015873,0.0,0.0,0.0,0.0
4,884,63,0.873015873015873,0.0,0.0,0.0,0.0
5,905,63,0.8412698412698413,0.0,0.0,0.0,0.0
6,926,63,0.8412698412698413,0.0,0.0,0.0,0.0
7,947,63,0.8412698412698413,0.0,0.0,0.0,0.0
8,968,63,1.0,0.0,0.0,0.0,
9,989,63,0.8571428571428571,0.0,0.0,0.0,0.0
10,1010,63,0.8253968253968254,0.5925925925925926,0.4444444444444444,0.8888888888888888,0.49673202614379086
11,1031,63,0.9047619047619048,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.671875
12,1052,63,0.9841269841269841,0.9411764705882353,1.0,0.8888888888888888,0.9320388349514563
13,1073,63,0.873015873015873,0.0,0.0,0.0,0.0
14,1094,63,0.7142857142857143,0.25,0.14285714285714285,1.0,0.18181818181818177
15,1115,63,0.7301587301587301,0.2608695652173913,0.15,1.0,0.19413092550790068
16,1136,63,0.9206349206349206,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.4067796610169492
17,1157,63,1.0,0.0,0.0,0.0,
18,1178,63,1.0,0.0,0.0,0.0,
19,1199,63,1.0,0.0,0.0,0.0,
20,1220,63,0.9365079365079365,0.0,0.0,0.0,0.0
21,1241,63,0.8571428571428571,0.0,0.0,0.0,0.0
22,1262,63,0.8571428571428571,0.0,0.0,0.0,0.0
23,1283,63,0.9206349206349206,0.0,0.0,0.0,0.0
24,1304,63,1.0,0.0,0.0,0.0,
25,1325,63,0.9206349206349206,0.0,0.0,0.0,0.0
26,1346,63,0.8412698412698413,0.0,0.0,0.0,0.0
27,1367,63,0.8412698412698413,0.0,0.0,0.0,0.0
28,1388,63,0.7142857142857143,0.0,0.0,0.0,0.0
29,1409,63,0.7619047619047619,0.2857142857142857,1.0,0.16666666666666666,0.2222222222222222
30,1430,63,0.7777777777777778,0.631578947368421,0.8571428571428571,0.5,0.4878048780487805
31,1451,63,0.9365079365079365,0.8823529411764706,0.8333333333333334,0.9375,0.8390804597701149
32,1472,63,0.873015873015873,0.7777777777777778,0.6363636363636364,1.0,0.6949152542372881
33,1493,63,0.9841269841269841,0.9473684210526315,1.0,0.9,0.9380530973451328
34,1514,63,0.9841269841269841,0.9090909090909091,0.8333333333333334,1.0,0.9004739336492891
35,1535,63,0.9841269841269841,0.8,0.6666666666666666,1.0,0.7920792079207921
36,1556,63,1.0,0.0,0.0,0.0,
37,1577,63,0.9523809523809523,0.7692307692307693,1.0,0.625,0.7442489851150202
38,1598,63,0.9206349206349206,0.6153846153846154,0.8,0.5,0.5737483085250338
39,1619,63,0.7301587301587301,0.32,0.23529411764705882,0.5,0.17805065234075212
40,1640,63,0.5555555555555556,0.06666666666666667,0.034482758620689655,1.0,0.037117903930131146
41,1661,63,0.5079365079365079,0.16216216216216217,0.08823529411764706,1.0,0.08180535966149494
42,1682,63,0.7301587301587301,0.45161290322580644,0.2916666666666667,1.0,0.33766233766233755
43,1703,63,0.9523809523809523,0.8,0.6666666666666666,1.0,0.7741935483870968
44,1724,63,0.9682539682539683,0.6666666666666666,1.0,0.5,0.6519337016574586
45,1745,63,0.9682539682539683,0.0,0.0,0.0,0.0
46,1766,63,0.9682539682539683,0.0,0.0,0.0,0.0
47,1787,63,0.9682539682539683,0.0,0.0,0.0,0.0
48,1808,63,0.9206349206349206,0.4444444444444444,1.0,0.2857142857142857,0.4155844155844156
49,1829,63,0.9523809523809523,0.8235294117647058,0.7,1.0,0.7969924812030076
50,1850,63,0.9047619047619048,0.7,0.5384615384615384,1.0,0.6493506493506493
51,1871,63,0.873015873015873,0.0,0.0,0.0,0.0
52,1892,63,0.5873015873015873,0.1875,0.10344827586206896,1.0,0.11074918566775249
53,1913,63,0.5555555555555556,0.06666666666666667,0.037037037037037035,0.3333333333333333,-0.02083333333333326
54,1934,63,0.6349206349206349,0.41025641025641024,0.2857142857142857,0.7272727272727273,0.21292775665399233
55,1955,63,0.9682539682539683,0.875,0.875,0.875,0.8568181818181818
