feature,importance
funding_rate_14,168
high_50d_dist,81
low_50d_dist,59
bb_pctb_20,42
return_3d,36
return_14d,34
obv,30
buy_pressure_ma_20,29
high_14d_dist,27
macd,27
stoch_d_14,22
obv_sma_10,21
vol_volatility_20,20
return_21d,19
volatility_5d,17
ext_fgi_ma30,17
return_1d,17
cvd_ma_14,16
vol_volatility_10,16
ext_fr_std_30,16
buy_pressure_ma_5,16
atr_21,15
stablecoin_inflow_proxy,15
low_21d_dist,15
macd_signal,15
sma_cross_5_20,15
cvd_ma_7,14
cvd_change_14,14
vol_sma_20,13
buy_pressure_ma_10,13
price_vs_vwap_20,13
trades_sma_5,13
atr_pct_21,13
ext_fgi_ma14,12
cvd_change_7,12
cvd,12
bb_width_20,11
ext_funding_rate_mean,11
ext_funding_rate_min,11
funding_rate_7,10
trades_sma_20,10
ext_fr_ma_7,10
volume_density_sma_10,10
obv_sma_20,10
ext_fr_ma_30,10
ext_fgi_price_divergence,9
ext_fgi_change_7d,9
flow_momentum_10,9
funding_rate_24,9
return_5d,9
atr_pct_14,8
vol_ratio_5,8
flow_momentum_20,8
trades_sma_10,8
volatility_10d,7
avg_trade_size_sma_10,7
atr_14,7
ext_fr_std_14,7
bb_upper_20,7
avg_trade_size_sma_20,7
ext_fgi_change_14d,6
macd_hist,6
ext_fgi_ma7,6
buy_pressure,6
sma_200,5
cvd_change_21,5
ext_fgi,5
flow_change_5d,5
flow_momentum_5,5
flow_price_divergence_20,5
low_14d_dist,5
stoch_k_14,5
high_21d_dist,5
vol_price_corr_10,5
avg_trade_size,5
ema_200,4
volatility_20d,4
vol_sma_50,4
ext_fr_zscore,4
flow_change_1d,4
open_interest_7,4
trades_ratio_5,4
price_vs_vwap_10,4
vol_ratio_20,4
vol_sma_5,4
return_7d,4
ext_fr_std_7,4
ext_fr_ma_14,4
avg_trade_size_sma_5,4
sma_100,3
ema_100,3
qvol_ratio_5,3
trades_change_5d,3
trades_ratio_20,3
vol_change_5d,3
vol_price_corr_20,3
ext_funding_rate_sum,3
open_interest_24,3
volume_density,3
ext_fgi_std_14,3
cvd_ma_21,3
flow_price_divergence_10,2
sma_50,2
ema_10,2
sma_5,2
open_interest_14,2
flow_change_3d,2
avg_trade_size_ratio_10,2
ext_fr_cumsum_7,2
flow_change_10d,2
volume_density_sma_5,2
trades_ratio_10,2
trades_change_1d,2
avg_trade_size_ratio_20,2
avg_trade_size_ma_5,1
ema_20,1
sma_10,1
ema_5,1
ext_funding_rate_max,1
volume_density_ma_10,1
volume_density_ma_5,1
vwap_20,1
vol_change_3d,1
avg_trade_size_ratio_5,1
qvol_ratio_10,1
vol_ratio_10,1
vol_sma_10,1
qvol_sma_20,1
vwap_10,1
sma_20,0
ema_50,0
qvol_ratio_20,0
qvol_sma_10,0
bb_lower_20,0
vol_ratio_50,0
vol_change_1d,0
qvol_sma_5,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
avg_trade_size_ma_20,0
avg_trade_size_ma_10,0
ext_fr_cumsum_14,0
ext_fr_cumsum_30,0
ext_fr_extreme_high,0
ext_fr_extreme_low,0
