feature,importance
funding_rate_14,153
high_50d_dist,68
low_50d_dist,67
return_14d,47
obv,45
bb_pctb_20,35
ext_btc_vix_corr_20d,29
ext_tnx_ret_20d,28
ext_btc_ndx_corr_20d,27
macd,27
return_3d,26
cvd_ma_7,22
ext_dxy_ret_5d,19
sma_200,17
high_14d_dist,17
sma_cross_5_20,16
buy_pressure_ma_5,16
vol_volatility_10,16
macd_signal,15
ext_vix,15
vol_volatility_20,15
ext_tnx_ret_5d,15
ext_dxy_vs_ma50,15
obv_sma_10,14
ext_fgi,14
ext_dxy_vol_20d,13
buy_pressure_ma_20,13
stoch_d_14,13
atr_21,13
ext_tnx_vs_ma20,13
ext_btc_gold_corr_60d,12
return_1d,12
ext_fgi_ma7,11
return_5d,11
price_vs_vwap_20,11
ext_dxy_ret_20d,11
cvd_change_14,11
cvd_change_7,11
return_21d,10
ext_fgi_ma30,10
volume_density_sma_10,10
ext_btc_dxy_corr_60d,9
volatility_5d,9
ext_fgi_std_14,9
avg_trade_size,9
stablecoin_inflow_proxy,9
funding_rate_7,8
ext_dxy_vs_ma10,8
ext_vix_vol_20d,8
cvd_ma_14,8
funding_rate_24,8
flow_momentum_10,8
flow_momentum_20,8
ext_gold_vol_20d,8
ext_gold_vs_ma10,8
buy_pressure_ma_10,7
flow_momentum_5,7
high_21d_dist,7
cvd,7
ext_btc_vix_corr_60d,7
ext_gold_vs_ma50,7
trades_change_5d,7
volatility_20d,6
atr_pct_14,6
bb_width_20,6
low_21d_dist,6
ema_200,6
ext_ndx_vs_ma20,6
ext_tnx_vs_ma10,6
ext_gold_ret_5d,6
ext_vix_ret_10d,6
ext_btc_spx_corr_20d,6
ext_gold_vs_ma20,5
volatility_10d,5
obv_sma_20,5
avg_trade_size_sma_5,5
ext_fgi_change_7d,5
cvd_change_21,5
ext_ndx_vol_20d,4
price_vs_vwap_10,4
stoch_k_14,4
vol_price_corr_10,4
vol_sma_50,4
trades_sma_20,4
ext_fgi_price_divergence,4
ext_btc_ndx_corr_60d,4
ext_spx_vs_ma50,4
ext_spx_vs_ma20,4
ext_spx_vol_20d,4
ext_dxy_ret_10d,4
ext_vix_vs_ma50,4
trades_sma_5,4
ema_100,3
atr_pct_21,3
ext_ndx_vs_ma10,3
qvol_sma_20,3
ext_tnx_vs_ma50,3
ext_spx,3
vol_ratio_20,3
avg_trade_size_ratio_10,2
avg_trade_size_sma_20,2
ext_spx_ret_10d,2
ext_tnx_vol_20d,2
ext_ndx_ret_1d,2
ext_btc_tnx_corr_20d,2
ext_btc_gold_corr_20d,2
ext_ndx_vs_ma50,2
ext_vix_vs_ma20,2
ext_dxy_vs_ma20,2
ext_btc_dxy_corr_20d,2
ext_vix_ret_1d,2
ext_vix_ret_20d,2
ext_ndx_ret_5d,2
ext_ndx_ret_10d,2
ext_gold_ret_20d,2
volume_density_sma_5,2
ext_fgi_ma14,2
flow_change_10d,2
flow_change_1d,2
cvd_ma_21,2
ext_dxy,2
vol_change_3d,2
avg_trade_size_ratio_20,2
sma_10,2
ema_5,2
vol_ratio_50,2
sma_5,1
vol_price_corr_20,1
vwap_10,1
macd_hist,1
sma_20,1
ext_tnx_ret_1d,1
ext_tnx,1
ext_vix_vs_ma10,1
ext_ndx_ret_20d,1
ext_spx_ret_1d,1
ext_gold_ret_10d,1
ext_gold,1
ext_btc_spx_corr_60d,1
ext_btc_tnx_corr_60d,1
vol_change_5d,1
vol_sma_10,1
vol_ratio_5,1
vol_change_1d,1
vwap_20,1
qvol_sma_10,1
qvol_ratio_10,1
sma_100,1
atr_14,1
return_7d,1
low_14d_dist,1
ema_10,1
bb_upper_20,1
flow_change_3d,1
open_interest_24,1
ext_fgi_change_14d,1
open_interest_7,1
avg_trade_size_ma_5,1
flow_change_5d,1
trades_sma_10,1
avg_trade_size_ratio_5,1
trades_change_1d,1
trades_ratio_5,1
volume_density_ma_10,1
buy_pressure,1
avg_trade_size_ma_20,1
qvol_sma_5,0
vol_sma_5,0
ema_20,0
sma_50,0
ema_50,0
bb_lower_20,0
qvol_ratio_5,0
vol_sma_20,0
vol_ratio_10,0
volume_density,0
qvol_ratio_20,0
trades_ratio_10,0
trades_ratio_20,0
ext_dxy_ret_1d,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
avg_trade_size_ma_10,0
volume_density_ma_5,0
open_interest_14,0
flow_price_divergence_10,0
flow_price_divergence_20,0
avg_trade_size_sma_10,0
ext_vix_ret_5d,0
ext_ndx,0
ext_spx_vs_ma10,0
ext_gold_ret_1d,0
ext_spx_ret_5d,0
ext_spx_ret_20d,0
ext_tnx_ret_10d,0
