feature,importance
funding_rate_14,171
high_50d_dist,84
low_50d_dist,63
bb_pctb_20,45
obv,38
return_14d,33
return_3d,33
buy_pressure_ma_20,32
macd,31
high_14d_dist,30
atr_pct_21,25
vol_volatility_20,24
sma_cross_5_20,24
buy_pressure_ma_5,24
volatility_5d,23
obv_sma_10,21
ext_fgi_ma30,21
vol_volatility_10,21
atr_21,18
obv_sma_20,18
cvd_ma_7,18
stablecoin_inflow_proxy,17
flow_momentum_10,16
atr_14,16
return_21d,16
funding_rate_7,15
vol_price_corr_10,15
cvd_change_21,15
sma_200,15
trades_sma_5,14
low_21d_dist,14
cvd,14
volatility_20d,13
vol_sma_20,13
stoch_d_14,13
high_21d_dist,12
cvd_change_14,12
ext_fgi_price_divergence,12
flow_price_divergence_10,12
price_vs_vwap_10,12
flow_momentum_5,12
flow_momentum_20,11
price_vs_vwap_20,11
trades_sma_20,11
ext_fgi_ma7,11
ema_200,10
cvd_ma_14,10
bb_width_20,10
trades_sma_10,10
flow_change_10d,10
volume_density_sma_10,9
avg_trade_size_sma_5,9
bb_upper_20,9
return_1d,9
ema_100,9
vol_change_5d,9
ext_fgi_std_14,9
avg_trade_size_sma_20,8
buy_pressure_ma_10,8
cvd_change_7,8
volume_density_sma_5,8
ext_fgi_ma14,8
macd_signal,8
ema_5,7
ext_fgi_change_14d,7
vol_ratio_5,7
flow_price_divergence_20,7
trades_change_5d,6
return_5d,6
stoch_k_14,6
avg_trade_size,6
funding_rate_24,6
atr_pct_14,5
cvd_ma_21,5
trades_ratio_20,5
avg_trade_size_sma_10,5
trades_change_1d,5
volatility_10d,5
vol_price_corr_20,5
vol_change_3d,4
vol_sma_50,4
qvol_sma_20,4
buy_pressure,4
low_14d_dist,4
macd_hist,4
open_interest_24,4
flow_change_3d,4
flow_change_5d,4
avg_trade_size_ratio_20,3
vol_sma_5,3
sma_5,3
ext_fgi,3
flow_change_1d,3
ema_50,2
qvol_ratio_5,2
vol_sma_10,2
qvol_sma_5,2
vol_ratio_20,1
open_interest_14,1
avg_trade_size_ratio_10,1
avg_trade_size_ma_5,1
trades_ratio_5,0
