feature,importance
funding_rate_14,168
high_50d_dist,86
low_50d_dist,50
return_3d,47
obv,42
macd,37
return_14d,35
buy_pressure_ma_20,34
bb_pctb_20,32
high_14d_dist,29
vol_volatility_10,26
return_21d,25
obv_sma_20,23
stablecoin_inflow_proxy,21
atr_pct_21,21
cvd_change_7,20
volatility_5d,19
obv_sma_10,18
atr_21,18
trades_sma_10,17
vol_volatility_20,17
flow_price_divergence_10,17
ext_fgi_ma30,17
cvd_ma_7,16
volume_density_sma_10,16
cvd_change_14,16
ext_fgi_price_divergence,16
return_1d,16
stoch_d_14,15
macd_signal,14
sma_200,14
cvd,14
flow_momentum_10,14
price_vs_vwap_20,14
funding_rate_7,14
buy_pressure_ma_5,13
avg_trade_size_sma_10,13
low_21d_dist,13
trades_sma_5,13
volatility_20d,13
vol_change_5d,12
vol_sma_20,12
trades_sma_20,12
price_vs_vwap_10,11
vol_ratio_5,11
bb_width_20,11
avg_trade_size_sma_5,10
ema_100,10
flow_momentum_20,10
cvd_change_21,10
buy_pressure_ma_10,9
ext_fgi_ma7,9
vol_price_corr_10,9
flow_momentum_5,9
atr_14,9
stoch_k_14,9
ext_fgi_change_14d,9
cvd_ma_14,9
volume_density_sma_5,9
funding_rate_24,8
vol_sma_5,8
atr_pct_14,8
low_14d_dist,7
return_5d,7
sma_cross_5_20,7
vol_price_corr_20,7
high_21d_dist,7
cvd_ma_21,7
trades_change_5d,7
ext_fgi_ma14,6
qvol_sma_20,6
vol_change_3d,6
ext_fgi,5
ext_fgi_std_14,4
vol_sma_10,4
trades_ratio_20,4
ema_200,3
trades_ratio_5,3
volatility_10d,3
macd_hist,2
vol_sma_50,2
