feature,importance
funding_rate_14,79
volatility_20d,43
obv,33
high_50d_dist,32
ext_fgi_std_14,29
obv_sma_20,29
vol_price_corr_10,26
cvd_change_21,25
sma_200,25
qvol_sma_10,25
ema_100,24
volatility_10d,24
buy_pressure_ma_5,24
qvol_sma_20,23
return_3d,23
low_50d_dist,23
return_14d,23
atr_pct_21,22
trades_sma_20,22
cvd_change_7,22
macd,22
funding_rate_24,22
obv_sma_10,21
cvd_ma_21,21
atr_14,21
vol_volatility_10,21
flow_change_10d,20
vol_volatility_20,20
bb_width_20,20
ema_200,20
cvd_change_14,20
volume_density_sma_10,20
price_vs_vwap_20,19
price_vs_vwap_10,19
cvd_ma_7,18
return_1d,18
buy_pressure_ma_10,17
flow_price_divergence_10,17
avg_trade_size_ratio_5,17
low_21d_dist,17
cvd_ma_14,17
bb_pctb_20,16
volatility_5d,16
macd_hist,16
flow_price_divergence_20,15
stoch_k_14,15
flow_momentum_20,15
atr_21,15
return_7d,14
ext_fgi_price_divergence,14
qvol_sma_5,14
macd_signal,13
trades_sma_10,13
return_21d,13
ext_fgi_change_7d,12
trades_sma_5,12
sma_100,11
flow_momentum_10,10
stoch_d_14,10
vol_sma_50,10
return_5d,10
volume_density_sma_5,9
atr_pct_14,9
avg_trade_size_ratio_10,9
buy_pressure,9
vol_ratio_20,8
trades_change_5d,8
cvd,8
vol_price_corr_20,7
avg_trade_size_sma_20,7
vol_sma_5,7
trades_ratio_5,7
sma_5,6
avg_trade_size,6
ext_fgi,6
sma_cross_5_20,6
ext_fgi_ma30,5
volume_density_ma_5,5
flow_momentum_5,5
stablecoin_inflow_proxy,5
buy_pressure_ma_20,5
flow_change_1d,5
trades_change_1d,5
qvol_ratio_20,5
trades_ratio_10,5
vol_ratio_50,5
high_21d_dist,5
open_interest_7,5
ema_5,4
trades_ratio_20,4
avg_trade_size_ratio_20,4
flow_change_3d,4
low_14d_dist,4
volume_density,4
ema_50,3
vol_ratio_5,3
bb_upper_20,3
ext_fgi_ma14,3
open_interest_24,3
open_interest_14,3
ext_fgi_ma7,3
avg_trade_size_sma_10,3
vol_change_1d,3
vwap_10,3
ext_fgi_change_14d,2
high_14d_dist,2
vol_sma_10,2
sma_50,2
bb_lower_20,2
vol_sma_20,2
vwap_20,2
vol_change_5d,2
qvol_ratio_5,2
funding_rate_7,2
avg_trade_size_ma_5,1
volume_density_ma_10,1
vol_ratio_10,1
ema_20,1
sma_10,1
sma_20,1
avg_trade_size_sma_5,1
avg_trade_size_ma_20,1
ema_10,0
vol_change_3d,0
qvol_ratio_10,0
flow_change_5d,0
avg_trade_size_ma_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
