feature,importance
return_14d,61
high_50d_dist,58
volatility_20d,43
qvol_sma_20,42
macd,41
sma_200,38
low_50d_dist,36
return_21d,36
flow_momentum_20,29
low_21d_dist,29
obv,27
macd_hist,27
atr_14,24
ema_200,24
cvd_change_7,23
sma_100,23
trades_sma_5,23
vol_volatility_10,21
return_1d,21
vol_price_corr_20,21
vol_sma_50,20
cvd_change_21,20
ext_fgi_std_14,19
buy_pressure_ma_20,19
trades_ratio_20,18
ema_100,18
atr_pct_21,18
flow_momentum_10,18
trades_sma_20,17
bb_width_20,17
volume_density_sma_10,16
high_21d_dist,16
atr_pct_14,16
trades_sma_10,16
funding_rate_14,15
qvol_sma_10,15
stoch_d_14,14
price_vs_vwap_10,14
cvd_ma_7,14
bb_pctb_20,13
flow_momentum_5,13
cvd_ma_21,13
ext_fgi_change_14d,13
obv_sma_20,12
vol_volatility_20,12
ext_fgi_price_divergence,12
flow_price_divergence_10,11
avg_trade_size_sma_5,11
stablecoin_inflow_proxy,11
stoch_k_14,11
open_interest_7,10
vol_price_corr_10,10
low_14d_dist,10
volatility_10d,10
volatility_5d,10
vwap_20,10
ema_50,10
flow_change_10d,10
trades_ratio_5,9
atr_21,9
ext_fgi_ma30,9
ext_fgi_ma7,9
avg_trade_size,9
trades_change_5d,9
avg_trade_size_ratio_20,9
high_14d_dist,8
ext_fgi_change_7d,8
buy_pressure_ma_10,8
open_interest_24,8
qvol_sma_5,8
funding_rate_24,8
cvd_change_14,8
volume_density,8
macd_signal,8
price_vs_vwap_20,7
trades_change_1d,7
vol_change_5d,7
cvd_ma_14,7
buy_pressure,7
open_interest_14,7
cvd,7
return_3d,7
bb_upper_20,7
vol_change_1d,7
vol_sma_10,7
volume_density_sma_5,6
avg_trade_size_sma_20,6
sma_50,6
sma_cross_5_20,5
avg_trade_size_ratio_5,5
return_5d,5
ema_10,5
trades_ratio_10,5
vol_ratio_20,5
obv_sma_10,5
sma_5,4
vol_sma_5,4
avg_trade_size_ratio_10,4
avg_trade_size_sma_10,4
flow_change_1d,4
flow_price_divergence_20,4
vwap_10,3
flow_change_5d,3
volume_density_ma_10,3
funding_rate_7,3
return_7d,3
vol_sma_20,3
sma_20,2
ema_20,2
ext_fgi_ma14,2
ext_fgi,2
qvol_ratio_20,2
bb_lower_20,2
ext_fgi_extreme_fear,1
buy_pressure_ma_5,1
avg_trade_size_ma_20,1
vol_change_3d,1
vol_ratio_50,1
sma_10,1
ema_5,1
flow_change_3d,1
qvol_ratio_5,0
vol_ratio_5,0
vol_ratio_10,0
qvol_ratio_10,0
volume_density_ma_5,0
avg_trade_size_ma_10,0
avg_trade_size_ma_5,0
ext_fgi_extreme_greed,0
