feature,importance
sma_200,81
return_14d,76
obv,41
ema_100,33
atr_pct_14,32
vol_volatility_10,31
volatility_20d,31
funding_rate_14,31
trades_sma_20,28
high_50d_dist,27
vol_sma_50,25
low_14d_dist,24
sma_100,24
cvd_change_7,23
funding_rate_24,23
macd_hist,23
low_50d_dist,23
qvol_sma_10,22
volatility_10d,22
trades_sma_10,22
qvol_sma_20,20
ext_fgi_std_14,20
macd,18
volume_density_sma_10,18
obv_sma_20,17
bb_width_20,17
trades_sma_5,16
ema_200,16
return_21d,16
cvd_ma_21,16
stablecoin_inflow_proxy,15
atr_21,15
stoch_d_14,15
low_21d_dist,15
obv_sma_10,14
buy_pressure_ma_5,14
flow_momentum_5,14
atr_14,14
flow_momentum_20,14
vol_price_corr_10,13
cvd_change_21,13
ema_50,13
stoch_k_14,13
ext_fgi_ma14,13
ema_20,12
ext_fgi_change_7d,12
buy_pressure_ma_20,12
avg_trade_size_sma_20,12
cvd_ma_14,12
vol_change_5d,11
atr_pct_21,11
open_interest_24,11
cvd_change_14,11
vol_price_corr_20,10
avg_trade_size_ratio_5,10
sma_50,10
volatility_5d,9
ext_fgi_ma30,9
bb_pctb_20,9
macd_signal,9
buy_pressure_ma_10,9
buy_pressure,9
avg_trade_size_ratio_20,9
cvd_ma_7,9
ext_fgi_change_14d,8
return_3d,8
ext_fgi_ma7,8
cvd,8
return_1d,8
sma_cross_5_20,8
flow_momentum_10,8
volume_density,8
flow_price_divergence_20,8
high_21d_dist,8
vol_sma_20,7
bb_upper_20,7
trades_change_1d,7
trades_change_5d,7
ext_fgi,7
avg_trade_size_sma_5,7
vol_volatility_20,7
vol_sma_5,6
flow_change_10d,6
avg_trade_size_ratio_10,6
open_interest_7,6
ext_fgi_price_divergence,5
vol_ratio_10,5
flow_change_5d,5
return_5d,5
volume_density_sma_5,5
vwap_20,4
bb_lower_20,4
sma_20,4
qvol_sma_5,4
price_vs_vwap_10,4
price_vs_vwap_20,4
vol_ratio_20,4
flow_change_3d,4
volume_density_ma_10,4
qvol_ratio_10,4
return_7d,3
avg_trade_size_sma_10,3
funding_rate_7,3
vol_change_1d,3
vol_change_3d,3
high_14d_dist,3
sma_5,2
avg_trade_size_ma_10,2
open_interest_14,2
avg_trade_size,2
trades_ratio_10,2
qvol_ratio_5,2
ema_5,2
avg_trade_size_ma_5,2
avg_trade_size_ma_20,2
trades_ratio_5,2
flow_change_1d,2
ema_10,1
vol_ratio_5,1
trades_ratio_20,1
vol_ratio_50,1
volume_density_ma_5,1
flow_price_divergence_10,1
sma_10,0
vol_sma_10,0
vwap_10,0
qvol_ratio_20,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
