feature,importance
high_50d_dist,63
return_14d,57
volatility_20d,51
obv,46
sma_200,46
macd,35
low_21d_dist,31
cvd_change_21,29
trades_sma_20,29
low_50d_dist,28
sma_100,27
trades_sma_5,27
ema_100,26
ema_200,25
macd_hist,24
flow_momentum_20,23
return_21d,23
volume_density_sma_10,22
bb_width_20,21
return_1d,20
qvol_sma_20,20
qvol_sma_10,19
funding_rate_24,19
vol_volatility_10,18
atr_pct_21,18
obv_sma_10,18
cvd_change_7,17
vol_sma_50,17
flow_change_10d,17
buy_pressure_ma_10,16
vol_volatility_20,16
low_14d_dist,16
stoch_d_14,16
vol_price_corr_10,16
flow_momentum_10,16
trades_sma_10,16
cvd_change_14,16
flow_price_divergence_10,15
buy_pressure,15
open_interest_14,14
atr_14,14
ext_fgi_std_14,14
flow_momentum_5,14
buy_pressure_ma_20,13
stoch_k_14,13
cvd,13
macd_signal,13
qvol_sma_5,12
volatility_10d,12
obv_sma_20,11
trades_change_1d,11
buy_pressure_ma_5,11
ext_fgi_change_7d,11
ema_50,11
high_21d_dist,11
sma_5,10
funding_rate_14,10
vol_price_corr_20,10
cvd_ma_21,10
stablecoin_inflow_proxy,10
flow_change_5d,10
ext_fgi_ma14,10
high_14d_dist,10
atr_21,9
return_3d,9
trades_ratio_10,9
flow_price_divergence_20,9
open_interest_7,9
avg_trade_size_ratio_5,8
price_vs_vwap_10,8
ext_fgi_price_divergence,8
avg_trade_size_sma_20,8
cvd_ma_7,7
avg_trade_size_ratio_10,7
sma_50,7
atr_pct_14,7
bb_upper_20,7
volume_density_ma_10,7
trades_ratio_20,6
ext_fgi_ma7,6
open_interest_24,6
volatility_5d,6
ext_fgi_change_14d,5
funding_rate_7,5
avg_trade_size,5
avg_trade_size_ratio_20,5
vol_change_1d,5
return_7d,5
vol_sma_10,5
cvd_ma_14,5
ext_fgi_ma30,5
ext_fgi,5
sma_cross_5_20,4
ema_5,4
return_5d,4
vol_change_3d,4
price_vs_vwap_20,4
avg_trade_size_sma_10,4
avg_trade_size_sma_5,4
volume_density_sma_5,4
vwap_20,4
qvol_ratio_10,3
trades_ratio_5,3
bb_pctb_20,3
volume_density,3
vol_ratio_50,3
sma_20,3
vol_change_5d,2
vol_ratio_10,2
sma_10,2
vol_sma_20,2
vol_ratio_20,2
vwap_10,2
flow_change_1d,2
trades_change_5d,1
avg_trade_size_ma_10,1
vol_ratio_5,1
vol_sma_5,1
bb_lower_20,1
qvol_ratio_20,1
ema_10,0
qvol_ratio_5,0
ema_20,0
flow_change_3d,0
avg_trade_size_ma_5,0
volume_density_ma_5,0
avg_trade_size_ma_20,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
