feature,importance
funding_rate_14,166
high_50d_dist,84
low_50d_dist,57
return_3d,46
return_14d,39
bb_pctb_20,39
high_14d_dist,33
buy_pressure_ma_20,31
obv,31
macd,30
vol_volatility_10,27
obv_sma_10,24
return_21d,24
obv_sma_20,23
ext_fgi_ma30,22
cvd_ma_7,21
stablecoin_inflow_proxy,19
buy_pressure_ma_5,19
volatility_5d,18
atr_21,17
trades_sma_5,17
vol_volatility_20,16
ext_fgi_price_divergence,16
atr_pct_21,15
macd_signal,14
cvd_change_7,14
sma_cross_5_20,14
price_vs_vwap_20,14
buy_pressure_ma_10,14
flow_momentum_10,14
cvd_change_14,14
high_21d_dist,13
sma_200,13
low_21d_dist,13
stoch_k_14,13
ema_200,12
funding_rate_7,12
trades_sma_20,12
flow_price_divergence_10,12
cvd,12
stoch_d_14,12
funding_rate_24,12
return_1d,11
atr_14,10
vol_price_corr_10,10
vol_sma_20,10
ema_100,10
low_14d_dist,9
avg_trade_size_sma_5,9
atr_pct_14,9
ext_fgi_std_14,8
vol_price_corr_20,8
return_5d,8
bb_width_20,8
trades_sma_10,8
volume_density_sma_5,7
flow_momentum_5,7
avg_trade_size_sma_10,7
qvol_sma_20,6
cvd_ma_21,6
vol_ratio_5,6
volatility_10d,6
volatility_20d,6
cvd_change_21,6
ext_fgi_ma14,6
ext_fgi_ma7,6
ext_fgi_change_14d,6
volume_density_sma_10,6
trades_ratio_20,6
ext_fgi,6
price_vs_vwap_10,5
flow_momentum_20,5
vol_change_5d,5
vol_sma_50,4
trades_change_5d,4
trades_ratio_5,4
cvd_ma_14,4
macd_hist,4
vol_change_3d,4
vol_sma_10,4
vol_sma_5,4
sma_5,3
qvol_ratio_5,3
vol_ratio_20,3
ema_5,3
avg_trade_size_ratio_20,3
avg_trade_size,3
flow_change_5d,3
flow_price_divergence_20,3
flow_change_1d,2
flow_change_10d,2
trades_change_1d,2
avg_trade_size_ratio_10,2
avg_trade_size_ma_5,2
qvol_sma_5,2
bb_upper_20,2
ema_50,2
open_interest_24,2
open_interest_14,2
flow_change_3d,2
avg_trade_size_sma_20,2
buy_pressure,2
avg_trade_size_ratio_5,1
avg_trade_size_ma_10,1
ext_fgi_change_7d,1
ema_10,1
sma_10,1
sma_20,1
ema_20,1
bb_lower_20,1
return_7d,1
vol_ratio_50,1
vol_change_1d,1
avg_trade_size_ma_20,1
qvol_sma_10,1
volume_density,1
vwap_10,0
sma_50,0
vwap_20,0
vol_ratio_10,0
sma_100,0
qvol_ratio_10,0
trades_ratio_10,0
qvol_ratio_20,0
open_interest_7,0
volume_density_ma_5,0
volume_density_ma_10,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
