feature,importance
high_50d_dist,111
return_14d,84
low_50d_dist,78
macd,69
obv,43
price_vs_vwap_20,41
vol_volatility_20,38
funding_rate_14,37
buy_pressure_ma_10,31
return_3d,27
cvd_ma_7,27
trades_sma_5,26
trades_sma_20,24
ext_fgi_ma7,23
vol_volatility_10,23
ext_fgi_ma30,20
macd_signal,19
sma_cross_5_20,19
return_5d,17
funding_rate_24,17
bb_width_20,17
atr_pct_21,15
obv_sma_10,15
flow_momentum_20,15
flow_momentum_10,15
macd_hist,15
ext_fgi_change_14d,14
low_14d_dist,14
bb_pctb_20,14
low_21d_dist,14
flow_price_divergence_20,14
return_21d,13
volatility_5d,13
trades_sma_10,13
ext_fgi_std_14,13
buy_pressure_ma_20,13
atr_21,12
ext_fgi_change_7d,11
avg_trade_size_ratio_5,11
high_14d_dist,11
sma_100,11
cvd_change_7,11
buy_pressure_ma_5,11
stablecoin_inflow_proxy,10
return_7d,10
volume_density_sma_10,10
cvd_ma_14,10
stoch_d_14,9
avg_trade_size_ratio_20,9
price_vs_vwap_10,9
vol_price_corr_10,8
cvd,8
high_21d_dist,8
avg_trade_size_sma_20,8
funding_rate_7,8
ext_fgi_price_divergence,8
cvd_change_21,7
qvol_sma_20,7
ext_fgi,7
avg_trade_size_sma_10,7
trades_ratio_10,7
atr_pct_14,7
vol_ratio_5,7
ema_100,7
ext_fgi_ma14,6
obv_sma_20,6
volatility_20d,5
qvol_sma_10,5
trades_ratio_20,5
vol_sma_50,5
ema_5,5
vol_ratio_20,4
avg_trade_size_ma_5,4
buy_pressure,4
stoch_k_14,4
qvol_sma_5,4
atr_14,4
qvol_ratio_10,4
avg_trade_size_sma_5,4
volume_density_ma_10,3
open_interest_24,3
trades_change_5d,3
volume_density,3
avg_trade_size_ratio_10,3
trades_change_1d,3
sma_10,3
vol_ratio_50,3
vol_price_corr_20,3
vol_sma_10,3
avg_trade_size_ma_10,3
cvd_ma_21,3
flow_change_5d,2
ema_20,2
volatility_10d,2
return_1d,2
sma_200,2
vol_change_5d,2
vol_sma_20,2
open_interest_14,2
flow_momentum_5,2
flow_change_10d,2
avg_trade_size,2
volume_density_ma_5,1
trades_ratio_5,1
qvol_ratio_20,1
bb_upper_20,1
ema_10,1
sma_20,1
ema_200,1
qvol_ratio_5,1
vwap_20,1
cvd_change_14,1
vwap_10,1
open_interest_7,1
avg_trade_size_ma_20,1
volume_density_sma_5,1
sma_5,0
sma_50,0
ema_50,0
bb_lower_20,0
vol_sma_5,0
vol_change_1d,0
vol_change_3d,0
vol_ratio_10,0
flow_change_1d,0
flow_price_divergence_10,0
flow_change_3d,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
