feature,importance
funding_rate_14,133
low_50d_dist,104
high_50d_dist,87
return_14d,51
bb_width_20,45
buy_pressure,44
volatility_10d,41
funding_rate_24,37
volatility_5d,35
macd,34
vol_volatility_10,26
ext_fgi_ma30,23
return_3d,23
stoch_d_14,23
vol_price_corr_10,23
avg_trade_size_sma_10,19
flow_momentum_5,19
cvd_ma_21,18
trades_sma_20,18
avg_trade_size_ratio_20,17
cvd_change_7,17
bb_pctb_20,16
obv,16
atr_pct_21,16
volatility_20d,16
vol_change_3d,15
trades_sma_10,15
high_21d_dist,15
avg_trade_size,15
low_14d_dist,15
high_14d_dist,15
flow_momentum_20,15
buy_pressure_ma_20,14
ext_fgi_change_14d,14
sma_200,13
macd_signal,13
cvd_change_21,13
vol_ratio_20,12
price_vs_vwap_20,12
trades_change_1d,12
low_21d_dist,12
obv_sma_20,12
flow_change_5d,12
ext_fgi,12
avg_trade_size_sma_5,11
cvd_ma_14,11
return_5d,11
cvd,10
qvol_sma_20,10
trades_sma_5,10
return_7d,10
ext_fgi_ma7,10
atr_pct_14,10
flow_price_divergence_20,9
ext_fgi_ma14,9
open_interest_14,9
flow_momentum_10,9
buy_pressure_ma_10,9
vol_price_corr_20,9
macd_hist,9
ext_fgi_change_7d,9
vol_change_1d,9
avg_trade_size_ratio_5,8
volume_density,8
return_21d,8
ext_fgi_price_divergence,8
price_vs_vwap_10,8
ema_5,8
atr_14,8
cvd_change_14,8
trades_change_5d,7
avg_trade_size_sma_20,7
sma_50,7
ema_200,7
vol_volatility_20,7
open_interest_7,7
stablecoin_inflow_proxy,7
volume_density_sma_5,6
flow_change_3d,6
ema_50,6
qvol_sma_10,6
return_1d,6
flow_change_10d,6
ext_fgi_std_14,5
qvol_ratio_10,5
avg_trade_size_ratio_10,5
vol_sma_10,5
sma_100,5
obv_sma_10,5
volume_density_ma_10,4
volume_density_sma_10,4
sma_5,4
flow_price_divergence_10,4
vol_change_5d,4
sma_10,4
ema_100,4
sma_cross_5_20,4
bb_lower_20,4
flow_change_1d,4
sma_20,3
atr_21,3
qvol_ratio_5,3
trades_ratio_20,3
trades_ratio_5,3
qvol_sma_5,3
avg_trade_size_ma_10,2
buy_pressure_ma_5,2
funding_rate_7,2
qvol_ratio_20,2
cvd_ma_7,2
stoch_k_14,2
vol_sma_5,2
vwap_20,2
open_interest_24,2
vol_ratio_5,1
ema_10,1
trades_ratio_10,1
ema_20,1
vol_ratio_50,1
vol_sma_50,1
bb_upper_20,1
vol_sma_20,1
volume_density_ma_5,1
vol_ratio_10,1
avg_trade_size_ma_20,0
avg_trade_size_ma_5,0
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
vwap_10,0
