feature,importance
funding_rate_14,130
low_50d_dist,118
high_50d_dist,66
return_14d,56
volatility_20d,47
buy_pressure,43
atr_21,40
sma_cross_5_20,38
vol_volatility_10,35
buy_pressure_ma_20,32
stablecoin_inflow_proxy,30
macd,30
ext_fgi_ma30,27
bb_width_20,26
return_21d,25
trades_sma_20,23
cvd,22
cvd_change_14,19
flow_momentum_20,19
vol_price_corr_10,19
return_3d,19
high_14d_dist,18
volatility_5d,18
ext_fgi_std_14,17
vol_volatility_20,16
cvd_change_21,16
ext_fgi,15
price_vs_vwap_20,15
obv_sma_20,15
return_5d,14
vol_price_corr_20,13
price_vs_vwap_10,13
ema_200,13
bb_pctb_20,13
flow_change_3d,13
trades_change_1d,12
funding_rate_24,12
low_21d_dist,12
vol_sma_50,12
macd_hist,12
trades_sma_5,12
sma_100,11
stoch_d_14,11
vol_ratio_10,10
trades_ratio_5,10
avg_trade_size_ratio_10,10
cvd_change_7,10
return_7d,10
cvd_ma_14,9
volatility_10d,9
qvol_sma_5,9
buy_pressure_ma_10,9
avg_trade_size_sma_5,9
high_21d_dist,9
ext_fgi_ma7,9
vol_change_5d,8
vol_change_1d,8
atr_pct_21,7
low_14d_dist,7
avg_trade_size_sma_20,7
ema_50,7
macd_signal,7
cvd_ma_21,7
ext_fgi_price_divergence,6
vol_sma_5,6
atr_14,6
atr_pct_14,6
return_1d,6
trades_sma_10,6
ema_100,6
flow_price_divergence_10,6
vol_ratio_50,6
volume_density,6
cvd_ma_7,6
bb_upper_20,6
sma_200,5
flow_momentum_5,5
ext_fgi_change_7d,5
ext_fgi_change_14d,5
obv_sma_10,5
ema_5,5
buy_pressure_ma_5,5
stoch_k_14,5
qvol_ratio_20,5
qvol_sma_20,5
obv,5
qvol_sma_10,5
vol_sma_20,4
sma_10,4
funding_rate_7,4
avg_trade_size_ratio_5,4
sma_50,4
flow_momentum_10,4
ext_fgi_ma14,4
volume_density_ma_5,3
vol_change_3d,3
volume_density_sma_5,3
volume_density_sma_10,3
avg_trade_size_ratio_20,3
open_interest_7,3
open_interest_14,3
open_interest_24,3
avg_trade_size_sma_10,3
qvol_ratio_5,2
flow_price_divergence_20,2
trades_ratio_20,2
sma_20,2
flow_change_10d,2
trades_ratio_10,2
vol_sma_10,2
avg_trade_size,2
flow_change_5d,2
ema_10,1
avg_trade_size_ma_5,1
avg_trade_size_ma_10,1
flow_change_1d,1
vol_ratio_20,1
ext_fgi_extreme_greed,0
bb_lower_20,0
ema_20,0
ext_fgi_extreme_fear,0
avg_trade_size_ma_20,0
vol_ratio_5,0
volume_density_ma_10,0
vwap_10,0
vwap_20,0
qvol_ratio_10,0
trades_change_5d,0
sma_5,0
